ze2020,ze2020_label,year,establishment_creations,enterprise_creations,communes_count,mask_establishment_creations_available,mask_enterprise_creations_available
0051,Alençon,2012,825,668,184,1,1
0051,Alençon,2013,755,668,184,1,1
0051,Alençon,2014,741,642,184,1,1
0051,Alençon,2015,733,631,184,1,1
0051,Alençon,2016,777,690,184,1,1
0051,Alençon,2017,742,666,184,1,1
0051,Alençon,2018,834,745,184,1,1
0051,Alençon,2019,977,874,184,1,1
0051,Alençon,2020,1009,907,184,1,1
0051,Alençon,2021,1149,1019,184,1,1
0051,Alençon,2022,1208,1067,184,1,1
0051,Alençon,2023,1220,1082,184,1,1
0051,Alençon,2024,1377,1192,184,1,1
0051,Alençon,2025,1448,1222,184,1,1
0052,Arles,2012,1832,1511,20,1,1
0052,Arles,2013,1649,1437,20,1,1
0052,Arles,2014,1552,1448,20,1,1
0052,Arles,2015,1547,1372,20,1,1
0052,Arles,2016,1660,1453,20,1,1
0052,Arles,2017,1677,1484,20,1,1
0052,Arles,2018,1788,1604,20,1,1
0052,Arles,2019,2080,1782,20,1,1
0052,Arles,2020,2104,1896,20,1,1
0052,Arles,2021,2615,2304,20,1,1
0052,Arles,2022,2667,2359,20,1,1
0052,Arles,2023,2619,2358,20,1,1
0052,Arles,2024,2837,2425,20,1,1
0052,Arles,2025,2892,2495,20,1,1
0053,Avignon,2012,3762,3330,36,1,1
0053,Avignon,2013,3434,3115,36,1,1
0053,Avignon,2014,3563,3225,36,1,1
0053,Avignon,2015,3435,2997,36,1,1
0053,Avignon,2016,3432,2986,36,1,1
0053,Avignon,2017,3615,3229,36,1,1
0053,Avignon,2018,4169,3716,36,1,1
0053,Avignon,2019,4765,4325,36,1,1
0053,Avignon,2020,4871,4440,36,1,1
0053,Avignon,2021,5818,5321,36,1,1
0053,Avignon,2022,5945,5362,36,1,1
0053,Avignon,2023,5770,5239,36,1,1
0053,Avignon,2024,6463,5706,36,1,1
0053,Avignon,2025,6543,5732,36,1,1
0054,Beauvais,2012,1923,1747,327,1,1
0054,Beauvais,2013,1851,1681,327,1,1
0054,Beauvais,2014,1949,1773,327,1,1
0054,Beauvais,2015,1931,1720,327,1,1
0054,Beauvais,2016,2036,1795,327,1,1
0054,Beauvais,2017,2163,1929,327,1,1
0054,Beauvais,2018,2287,2095,327,1,1
0054,Beauvais,2019,2566,2350,327,1,1
0054,Beauvais,2020,2624,2425,327,1,1
0054,Beauvais,2021,3320,3034,327,1,1
0054,Beauvais,2022,3429,3165,327,1,1
0054,Beauvais,2023,3518,3266,327,1,1
0054,Beauvais,2024,3779,3395,327,1,1
0054,Beauvais,2025,3871,3469,327,1,1
0055,Bollène-Pierrelatte,2012,750,663,29,1,1
0055,Bollène-Pierrelatte,2013,800,656,29,1,1
0055,Bollène-Pierrelatte,2014,735,654,29,1,1
0055,Bollène-Pierrelatte,2015,668,607,29,1,1
0055,Bollène-Pierrelatte,2016,775,652,29,1,1
0055,Bollène-Pierrelatte,2017,696,602,29,1,1
0055,Bollène-Pierrelatte,2018,849,770,29,1,1
0055,Bollène-Pierrelatte,2019,947,851,29,1,1
0055,Bollène-Pierrelatte,2020,931,837,29,1,1
0055,Bollène-Pierrelatte,2021,1131,1020,29,1,1
0055,Bollène-Pierrelatte,2022,1284,1164,29,1,1
0055,Bollène-Pierrelatte,2023,1246,1142,29,1,1
0055,Bollène-Pierrelatte,2024,1307,1152,29,1,1
0055,Bollène-Pierrelatte,2025,1317,1137,29,1,1
0056,Cosne-Cours-sur-Loire,2012,487,436,119,1,1
0056,Cosne-Cours-sur-Loire,2013,495,435,119,1,1
0056,Cosne-Cours-sur-Loire,2014,510,460,119,1,1
0056,Cosne-Cours-sur-Loire,2015,462,408,119,1,1
0056,Cosne-Cours-sur-Loire,2016,437,400,119,1,1
0056,Cosne-Cours-sur-Loire,2017,484,434,119,1,1
0056,Cosne-Cours-sur-Loire,2018,517,475,119,1,1
0056,Cosne-Cours-sur-Loire,2019,632,539,119,1,1
0056,Cosne-Cours-sur-Loire,2020,622,531,119,1,1
0056,Cosne-Cours-sur-Loire,2021,764,653,119,1,1
0056,Cosne-Cours-sur-Loire,2022,786,653,119,1,1
0056,Cosne-Cours-sur-Loire,2023,760,658,119,1,1
0056,Cosne-Cours-sur-Loire,2024,815,669,119,1,1
0056,Cosne-Cours-sur-Loire,2025,951,755,119,1,1
0057,Dreux,2012,1093,1000,115,1,1
0057,Dreux,2013,1038,978,115,1,1
0057,Dreux,2014,1095,1027,115,1,1
0057,Dreux,2015,1052,947,115,1,1
0057,Dreux,2016,1038,947,115,1,1
0057,Dreux,2017,1146,1036,115,1,1
0057,Dreux,2018,1223,1149,115,1,1
0057,Dreux,2019,1466,1368,115,1,1
0057,Dreux,2020,1569,1486,115,1,1
0057,Dreux,2021,1837,1719,115,1,1
0057,Dreux,2022,2006,1884,115,1,1
0057,Dreux,2023,1973,1863,115,1,1
0057,Dreux,2024,2164,1969,115,1,1
0057,Dreux,2025,2214,1971,115,1,1
0058,La Vallée de la Bresle-Vimeu,2012,401,353,93,1,1
0058,La Vallée de la Bresle-Vimeu,2013,398,367,93,1,1
0058,La Vallée de la Bresle-Vimeu,2014,425,397,93,1,1
0058,La Vallée de la Bresle-Vimeu,2015,410,375,93,1,1
0058,La Vallée de la Bresle-Vimeu,2016,390,344,93,1,1
0058,La Vallée de la Bresle-Vimeu,2017,368,353,93,1,1
0058,La Vallée de la Bresle-Vimeu,2018,433,396,93,1,1
0058,La Vallée de la Bresle-Vimeu,2019,513,468,93,1,1
0058,La Vallée de la Bresle-Vimeu,2020,544,506,93,1,1
0058,La Vallée de la Bresle-Vimeu,2021,646,570,93,1,1
0058,La Vallée de la Bresle-Vimeu,2022,640,573,93,1,1
0058,La Vallée de la Bresle-Vimeu,2023,621,552,93,1,1
0058,La Vallée de la Bresle-Vimeu,2024,749,634,93,1,1
0058,La Vallée de la Bresle-Vimeu,2025,732,619,93,1,1
0059,Mâcon,2012,1373,1247,159,1,1
0059,Mâcon,2013,1371,1269,159,1,1
0059,Mâcon,2014,1268,1150,159,1,1
0059,Mâcon,2015,1257,1135,159,1,1
0059,Mâcon,2016,1312,1197,159,1,1
0059,Mâcon,2017,1401,1287,159,1,1
0059,Mâcon,2018,1527,1381,159,1,1
0059,Mâcon,2019,1848,1674,159,1,1
0059,Mâcon,2020,1838,1682,159,1,1
0059,Mâcon,2021,2397,2217,159,1,1
0059,Mâcon,2022,2396,2161,159,1,1
0059,Mâcon,2023,2420,2183,159,1,1
0059,Mâcon,2024,2615,2271,159,1,1
