edge_id,source_node_id,target_node_id,decision_year,edge_type,edge_weight,signal_strength,stability_score,source_basis,source_relation_id,claim_status
ze_similarity__2017__0051_BE__2401_BE__ze_to_ze_similarity__0051__2401__,0051_BE,2401_BE,2017,ze_similarity,0.9918439047897424,0.9918439047897424,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__2401__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_BE__4426_BE__ze_to_ze_similarity__0051__4426__,0051_BE,4426_BE,2017,ze_similarity,0.9996699365381442,0.9996699365381442,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__4426__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_BE__9311_BE__ze_to_ze_similarity__0051__9311__,0051_BE,9311_BE,2017,ze_similarity,0.9907161745365006,0.9907161745365006,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__9311__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_FZ__2401_FZ__ze_to_ze_similarity__0051__2401__,0051_FZ,2401_FZ,2017,ze_similarity,0.9918439047897424,0.9918439047897424,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__2401__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_FZ__4426_FZ__ze_to_ze_similarity__0051__4426__,0051_FZ,4426_FZ,2017,ze_similarity,0.9996699365381442,0.9996699365381442,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__4426__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_FZ__9311_FZ__ze_to_ze_similarity__0051__9311__,0051_FZ,9311_FZ,2017,ze_similarity,0.9907161745365006,0.9907161745365006,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__9311__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_GI__2401_GI__ze_to_ze_similarity__0051__2401__,0051_GI,2401_GI,2017,ze_similarity,0.9918439047897424,0.9918439047897424,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__2401__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_GI__4426_GI__ze_to_ze_similarity__0051__4426__,0051_GI,4426_GI,2017,ze_similarity,0.9996699365381442,0.9996699365381442,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__4426__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_GI__9311_GI__ze_to_ze_similarity__0051__9311__,0051_GI,9311_GI,2017,ze_similarity,0.9907161745365006,0.9907161745365006,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__9311__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_JZ__2401_JZ__ze_to_ze_similarity__0051__2401__,0051_JZ,2401_JZ,2017,ze_similarity,0.9918439047897424,0.9918439047897424,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__2401__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_JZ__4426_JZ__ze_to_ze_similarity__0051__4426__,0051_JZ,4426_JZ,2017,ze_similarity,0.9996699365381442,0.9996699365381442,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__4426__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_JZ__9311_JZ__ze_to_ze_similarity__0051__9311__,0051_JZ,9311_JZ,2017,ze_similarity,0.9907161745365006,0.9907161745365006,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__9311__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_KZ__2401_KZ__ze_to_ze_similarity__0051__2401__,0051_KZ,2401_KZ,2017,ze_similarity,0.9918439047897424,0.9918439047897424,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__2401__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_KZ__4426_KZ__ze_to_ze_similarity__0051__4426__,0051_KZ,4426_KZ,2017,ze_similarity,0.9996699365381442,0.9996699365381442,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__4426__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_KZ__9311_KZ__ze_to_ze_similarity__0051__9311__,0051_KZ,9311_KZ,2017,ze_similarity,0.9907161745365006,0.9907161745365006,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__9311__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_LZ__2401_LZ__ze_to_ze_similarity__0051__2401__,0051_LZ,2401_LZ,2017,ze_similarity,0.9918439047897424,0.9918439047897424,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__2401__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_LZ__4426_LZ__ze_to_ze_similarity__0051__4426__,0051_LZ,4426_LZ,2017,ze_similarity,0.9996699365381442,0.9996699365381442,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__4426__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_LZ__9311_LZ__ze_to_ze_similarity__0051__9311__,0051_LZ,9311_LZ,2017,ze_similarity,0.9907161745365006,0.9907161745365006,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__9311__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_MN__2401_MN__ze_to_ze_similarity__0051__2401__,0051_MN,2401_MN,2017,ze_similarity,0.9918439047897424,0.9918439047897424,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__2401__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_MN__4426_MN__ze_to_ze_similarity__0051__4426__,0051_MN,4426_MN,2017,ze_similarity,0.9996699365381442,0.9996699365381442,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__4426__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_MN__9311_MN__ze_to_ze_similarity__0051__9311__,0051_MN,9311_MN,2017,ze_similarity,0.9907161745365006,0.9907161745365006,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__9311__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_OQ__2401_OQ__ze_to_ze_similarity__0051__2401__,0051_OQ,2401_OQ,2017,ze_similarity,0.9918439047897424,0.9918439047897424,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__2401__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_OQ__4426_OQ__ze_to_ze_similarity__0051__4426__,0051_OQ,4426_OQ,2017,ze_similarity,0.9996699365381442,0.9996699365381442,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__4426__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_OQ__9311_OQ__ze_to_ze_similarity__0051__9311__,0051_OQ,9311_OQ,2017,ze_similarity,0.9907161745365006,0.9907161745365006,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__9311__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_RU__2401_RU__ze_to_ze_similarity__0051__2401__,0051_RU,2401_RU,2017,ze_similarity,0.9918439047897424,0.9918439047897424,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__2401__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_RU__4426_RU__ze_to_ze_similarity__0051__4426__,0051_RU,4426_RU,2017,ze_similarity,0.9996699365381442,0.9996699365381442,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__4426__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0051_RU__9311_RU__ze_to_ze_similarity__0051__9311__,0051_RU,9311_RU,2017,ze_similarity,0.9907161745365006,0.9907161745365006,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0051__9311__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0052_BE__2412_BE__ze_to_ze_similarity__0052__2412__,0052_BE,2412_BE,2017,ze_similarity,0.9948156272076444,0.9948156272076444,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0052__2412__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0052_BE__8403_BE__ze_to_ze_similarity__0052__8403__,0052_BE,8403_BE,2017,ze_similarity,0.9738609642900624,0.9738609642900624,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0052__8403__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0052_FZ__2412_FZ__ze_to_ze_similarity__0052__2412__,0052_FZ,2412_FZ,2017,ze_similarity,0.9948156272076444,0.9948156272076444,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0052__2412__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0052_FZ__8403_FZ__ze_to_ze_similarity__0052__8403__,0052_FZ,8403_FZ,2017,ze_similarity,0.9738609642900624,0.9738609642900624,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0052__8403__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0052_GI__2412_GI__ze_to_ze_similarity__0052__2412__,0052_GI,2412_GI,2017,ze_similarity,0.9948156272076444,0.9948156272076444,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0052__2412__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0052_GI__8403_GI__ze_to_ze_similarity__0052__8403__,0052_GI,8403_GI,2017,ze_similarity,0.9738609642900624,0.9738609642900624,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0052__8403__,dynamic_graph_edge_exploratory_not_causal
ze_similarity__2017__0052_JZ__2412_JZ__ze_to_ze_similarity__0052__2412__,0052_JZ,2412_JZ,2017,ze_similarity,0.9948156272076444,0.9948156272076444,0.1111111111111111,"build_fr_ze2020_relational_model_ready_panel.py::similarity_matrix_for_year (reconstructed edge list, Category A)",ze_to_ze_similarity__0052__2412__,dynamic_graph_edge_exploratory_not_causal
