decision_year,split_role,node_count,claim_status
2012,warmup_or_train,2520,dynamic_graph_split_exploratory_not_recommendation
2013,warmup_or_train,2520,dynamic_graph_split_exploratory_not_recommendation
2014,warmup_or_train,2520,dynamic_graph_split_exploratory_not_recommendation
2015,warmup_or_train,2520,dynamic_graph_split_exploratory_not_recommendation
2016,warmup_or_train,2520,dynamic_graph_split_exploratory_not_recommendation
2017,warmup_or_train,2520,dynamic_graph_split_exploratory_not_recommendation
2018,warmup_or_train,2520,dynamic_graph_split_exploratory_not_recommendation
2019,rolling_eval_3y,2520,dynamic_graph_split_exploratory_not_recommendation
2020,rolling_eval_3y,2520,dynamic_graph_split_exploratory_not_recommendation
2021,rolling_eval_3y,2520,dynamic_graph_split_exploratory_not_recommendation
2022,rolling_eval_3y,2520,dynamic_graph_split_exploratory_not_recommendation
2023,rolling_eval_1y,2520,dynamic_graph_split_exploratory_not_recommendation
2024,rolling_eval_1y,2520,dynamic_graph_split_exploratory_not_recommendation
2025,label_incomplete_holdout,2520,dynamic_graph_split_exploratory_not_recommendation
