ze2020,ze2020_label,year,observed_value,target_variable,lag_1,lag_2,lag_3,growth_1y_safe,growth_2y_safe,mask_observed_available,mask_lag_1_available,mask_lag_2_available,mask_lag_3_available,node_id
0051,Alençon,2012,825.0,establishment_creations,,,,,,1,0,0,0,0
0051,Alençon,2013,755.0,establishment_creations,825.0,,,,,1,1,0,0,0
0051,Alençon,2014,741.0,establishment_creations,755.0,825.0,,-0.08484848484848485,,1,1,1,0,0
0051,Alençon,2015,733.0,establishment_creations,741.0,755.0,825.0,-0.018543046357615896,-0.10181818181818182,1,1,1,1,0
0051,Alençon,2016,777.0,establishment_creations,733.0,741.0,755.0,-0.010796221322537112,-0.02913907284768212,1,1,1,1,0
0051,Alençon,2017,742.0,establishment_creations,777.0,733.0,741.0,0.06002728512960437,0.048582995951417005,1,1,1,1,0
0051,Alençon,2018,834.0,establishment_creations,742.0,777.0,733.0,-0.04504504504504504,0.01227830832196453,1,1,1,1,0
0051,Alençon,2019,977.0,establishment_creations,834.0,742.0,777.0,0.12398921832884097,0.07335907335907337,1,1,1,1,0
0051,Alençon,2020,1009.0,establishment_creations,977.0,834.0,742.0,0.17146282973621102,0.316711590296496,1,1,1,1,0
0051,Alençon,2021,1149.0,establishment_creations,1009.0,977.0,834.0,0.032753326509723645,0.20983213429256595,1,1,1,1,0
0051,Alençon,2022,1208.0,establishment_creations,1149.0,1009.0,977.0,0.13875123885034688,0.17604912998976457,1,1,1,1,0
0051,Alençon,2023,1220.0,establishment_creations,1208.0,1149.0,1009.0,0.05134899912967798,0.19722497522299307,1,1,1,1,0
0051,Alençon,2024,1377.0,establishment_creations,1220.0,1208.0,1149.0,0.009933774834437087,0.06179286335944299,1,1,1,1,0
0051,Alençon,2025,1448.0,establishment_creations,1377.0,1220.0,1208.0,0.12868852459016394,0.13990066225165562,1,1,1,1,0
0052,Arles,2012,1832.0,establishment_creations,,,,,,1,0,0,0,1
0052,Arles,2013,1649.0,establishment_creations,1832.0,,,,,1,1,0,0,1
