task,scenario,model,metric,left,right,groups,mean_left,mean_right,left_wins_share,ties_share
lift,full_control,logit_entry_classifier,recall_at_3,base_formula_features,no_relation_features,5580,0.6481481481481481,0.6508363201911589,0.0062724014336917565,0.982078853046595
lift,full_control,logit_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,no_relation_features,5580,0.6511350059737155,0.6508363201911589,0.008960573476702509,0.9811827956989247
lift,full_control,logit_entry_classifier,recall_at_3,target_aligned_lift_features,no_relation_features,5580,0.6521804062126643,0.6508363201911589,0.0035842293906810036,0.9937275985663082
lift,full_control,logit_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5580,0.6511350059737155,0.6512246117084827,0.0,0.999820788530466
lift,full_control,logit_entry_classifier,recall_at_3,target_aligned_lift_features,shuffled_target_aligned_lifts,5580,0.6521804062126643,0.6512246117084827,0.008064516129032258,0.9854838709677419
lift,full_control,logit_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.3831818307722889,0.3837159066573784,0.024107142857142858,0.9473214285714285
lift,full_control,logit_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,no_relation_features,5600,0.38318831952902177,0.3837159066573784,0.023214285714285715,0.9517857142857142
lift,full_control,logit_entry_classifier,mean_growth_selected,target_aligned_lift_features,no_relation_features,5600,0.3842116569593171,0.3837159066573784,0.010714285714285714,0.9839285714285714
lift,full_control,logit_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5600,0.38318831952902177,0.38327411273763184,0.00017857142857142857,0.9996428571428572
lift,full_control,logit_entry_classifier,mean_growth_selected,target_aligned_lift_features,shuffled_target_aligned_lifts,5600,0.3842116569593171,0.38327411273763184,0.021607142857142856,0.9639285714285715
lift,full_control,mlp_entry_classifier,recall_at_3,base_formula_features,no_relation_features,5580,0.6502688172043011,0.6476403823178016,0.13530465949820789,0.7405017921146954
lift,full_control,mlp_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,no_relation_features,5580,0.6304958183990442,0.6476403823178016,0.12634408602150538,0.7322580645161291
lift,full_control,mlp_entry_classifier,recall_at_3,target_aligned_lift_features,no_relation_features,5580,0.6619175627240144,0.6476403823178016,0.1503584229390681,0.7297491039426524
lift,full_control,mlp_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5580,0.6304958183990442,0.6293906810035842,0.002867383512544803,0.9956989247311828
lift,full_control,mlp_entry_classifier,recall_at_3,target_aligned_lift_features,shuffled_target_aligned_lifts,5580,0.6619175627240144,0.6293906810035842,0.16523297491039426,0.7155913978494624
lift,full_control,mlp_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.38240870563165513,0.3884822309210303,0.2394642857142857,0.49714285714285716
lift,full_control,mlp_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,no_relation_features,5600,0.3813703739649337,0.3884822309210303,0.25142857142857145,0.48160714285714284
lift,full_control,mlp_entry_classifier,mean_growth_selected,target_aligned_lift_features,no_relation_features,5600,0.38952914238892367,0.3884822309210303,0.27089285714285716,0.485
lift,full_control,mlp_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5600,0.3813703739649337,0.3813446183990541,0.005,0.9878571428571429
lift,full_control,mlp_entry_classifier,mean_growth_selected,target_aligned_lift_features,shuffled_target_aligned_lifts,5600,0.38952914238892367,0.3813446183990541,0.27625,0.4903571428571429
lift,sector_shuffle,logit_entry_classifier,recall_at_3,base_formula_features,no_relation_features,5534,0.5591796169136248,0.5563787495482472,0.034513913986266714,0.9374774123599566
lift,sector_shuffle,logit_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,no_relation_features,5534,0.5584568124322371,0.5563787495482472,0.0328876039031442,0.9383809179616913
lift,sector_shuffle,logit_entry_classifier,recall_at_3,target_aligned_lift_features,no_relation_features,5534,0.5580351764847609,0.5563787495482472,0.0258402602096133,0.9526563064691002
lift,sector_shuffle,logit_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5534,0.5584568124322371,0.5583664618720636,0.00018070112034694616,0.999819298879653
lift,sector_shuffle,logit_entry_classifier,recall_at_3,target_aligned_lift_features,shuffled_target_aligned_lifts,5534,0.5580351764847609,0.5583664618720636,0.012829779544633177,0.9747018431514275
lift,sector_shuffle,logit_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.30952718998714335,0.30880014938873296,0.06589285714285714,0.87375
lift,sector_shuffle,logit_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,no_relation_features,5600,0.3092005206368695,0.30880014938873296,0.06428571428571428,0.875
lift,sector_shuffle,logit_entry_classifier,mean_growth_selected,target_aligned_lift_features,no_relation_features,5600,0.3100256788439406,0.30880014938873296,0.05160714285714286,0.9058928571428572
lift,sector_shuffle,logit_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5600,0.3092005206368695,0.3091612364035654,0.00035714285714285714,0.9996428571428572
lift,sector_shuffle,logit_entry_classifier,mean_growth_selected,target_aligned_lift_features,shuffled_target_aligned_lifts,5600,0.3100256788439406,0.3091612364035654,0.029464285714285714,0.9466071428571429
lift,sector_shuffle,mlp_entry_classifier,recall_at_3,base_formula_features,no_relation_features,5534,0.5524936754607879,0.5678382122635827,0.14636790748102638,0.6788941091434767
lift,sector_shuffle,mlp_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,no_relation_features,5534,0.522060595109023,0.5678382122635827,0.1546801590169859,0.6183592338272498
lift,sector_shuffle,mlp_entry_classifier,recall_at_3,target_aligned_lift_features,no_relation_features,5534,0.5482773159860258,0.5678382122635827,0.16588362847849655,0.6358872425009036
lift,sector_shuffle,mlp_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5534,0.522060595109023,0.5218497771352849,0.004878930249367546,0.990061438380918
lift,sector_shuffle,mlp_entry_classifier,recall_at_3,target_aligned_lift_features,shuffled_target_aligned_lifts,5534,0.5482773159860258,0.5218497771352849,0.2043729671123961,0.6348030357788218
lift,sector_shuffle,mlp_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.30150914158440634,0.3082377757831087,0.29446428571428573,0.38035714285714284
lift,sector_shuffle,mlp_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,no_relation_features,5600,0.2879366195622819,0.3082377757831087,0.33303571428571427,0.2930357142857143
lift,sector_shuffle,mlp_entry_classifier,mean_growth_selected,target_aligned_lift_features,no_relation_features,5600,0.30246887078395335,0.3082377757831087,0.33839285714285716,0.3101785714285714
lift,sector_shuffle,mlp_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5600,0.2879366195622819,0.28815562588327825,0.009464285714285715,0.9817857142857143
lift,sector_shuffle,mlp_entry_classifier,mean_growth_selected,target_aligned_lift_features,shuffled_target_aligned_lifts,5600,0.30246887078395335,0.28815562588327825,0.3657142857142857,0.3180357142857143
lift,target_shuffle,logit_entry_classifier,recall_at_3,base_formula_features,no_relation_features,5519,0.5012381470073081,0.5009663586398502,0.020293531436854504,0.9603188983511506
lift,target_shuffle,logit_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,no_relation_features,5519,0.5018119224497192,0.5009663586398502,0.020837108171770247,0.9599565138612067
lift,target_shuffle,logit_entry_classifier,recall_at_3,target_aligned_lift_features,no_relation_features,5519,0.5010267560548408,0.5009663586398502,0.010327957963399166,0.9800688530530893
lift,target_shuffle,logit_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5519,0.5018119224497192,0.5017213263272332,0.0001811922449719152,0.9998188077550281
lift,target_shuffle,logit_entry_classifier,recall_at_3,target_aligned_lift_features,shuffled_target_aligned_lifts,5519,0.5010267560548408,0.5017213263272332,0.014676571842725132,0.9699220873346621
lift,target_shuffle,logit_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.26838491930308295,0.2679448792696041,0.041607142857142856,0.9182142857142858
lift,target_shuffle,logit_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,no_relation_features,5600,0.2684680651504818,0.2679448792696041,0.04178571428571429,0.9175
lift,target_shuffle,logit_entry_classifier,mean_growth_selected,target_aligned_lift_features,no_relation_features,5600,0.26812664030032207,0.2679448792696041,0.020714285714285713,0.9592857142857143
lift,target_shuffle,logit_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5600,0.2684680651504818,0.26843864096461184,0.00017857142857142857,0.9996428571428572
lift,target_shuffle,logit_entry_classifier,mean_growth_selected,target_aligned_lift_features,shuffled_target_aligned_lifts,5600,0.26812664030032207,0.26843864096461184,0.030892857142857142,0.9392857142857143
lift,target_shuffle,mlp_entry_classifier,recall_at_3,base_formula_features,no_relation_features,5519,0.47922328924322044,0.48665217128706895,0.2098206196774778,0.5684000724768979
lift,target_shuffle,mlp_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,no_relation_features,5519,0.36520806909464276,0.48665217128706895,0.17448813190795434,0.45479253487950716
lift,target_shuffle,mlp_entry_classifier,recall_at_3,target_aligned_lift_features,no_relation_features,5519,0.4238690584043002,0.48665217128706895,0.19043304946548287,0.5227396267439753
lift,target_shuffle,mlp_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5519,0.36520806909464276,0.36557045358458656,0.002536691429606813,0.9942018481608987
lift,target_shuffle,mlp_entry_classifier,recall_at_3,target_aligned_lift_features,shuffled_target_aligned_lifts,5519,0.4238690584043002,0.36557045358458656,0.2766805580721145,0.5332487769523464
lift,target_shuffle,mlp_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.2696408147495024,0.26575604299142597,0.39982142857142855,0.21839285714285714
lift,target_shuffle,mlp_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,no_relation_features,5600,0.2630458137491794,0.26575604299142597,0.44339285714285714,0.09857142857142857
lift,target_shuffle,mlp_entry_classifier,mean_growth_selected,target_aligned_lift_features,no_relation_features,5600,0.2676461914611063,0.26575604299142597,0.4035714285714286,0.19678571428571429
lift,target_shuffle,mlp_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5600,0.2630458137491794,0.2632298808535938,0.005535714285714285,0.9880357142857142
lift,target_shuffle,mlp_entry_classifier,mean_growth_selected,target_aligned_lift_features,shuffled_target_aligned_lifts,5600,0.2676461914611063,0.2632298808535938,0.38553571428571426,0.23714285714285716
lift,temporal_shuffle,logit_entry_classifier,recall_at_3,base_formula_features,no_relation_features,5265,0.7430515986071541,0.7413738524849636,0.0100664767331434,0.9821462488129155
lift,temporal_shuffle,logit_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,no_relation_features,5265,0.7443178220955998,0.7413738524849636,0.011396011396011397,0.9810066476733144
lift,temporal_shuffle,logit_entry_classifier,recall_at_3,target_aligned_lift_features,no_relation_features,5265,0.7431782209559987,0.7413738524849636,0.003798670465337132,0.9950617283950617
lift,temporal_shuffle,logit_entry_classifier,recall_at_3,base_plus_target_aligned_lifts,shuffled_target_aligned_lifts,5265,0.7443178220955998,0.7443178220955998,0.0,1.0
lift,temporal_shuffle,logit_entry_classifier,recall_at_3,target_aligned_lift_features,shuffled_target_aligned_lifts,5265,0.7431782209559987,0.7443178220955998,0.006837606837606838,0.9851851851851852
lift,temporal_shuffle,logit_entry_classifier,mean_growth_selected,base_formula_features,no_relation_features,5600,0.35842074524875484,0.3580310495962649,0.02125,0.96125
lift,temporal_shuffle,logit_entry_classifier,mean_growth_selected,base_plus_target_aligned_lifts,no_relation_features,5600,0.35853622351027364,0.3580310495962649,0.02214285714285714,0.9608928571428571
lift,temporal_shuffle,logit_entry_classifier,mean_growth_selected,target_aligned_lift_features,no_relation_features,5600,0.3581674652790046,0.3580310495962649,0.006071428571428571,0.9880357142857142
