relation_family,decision_year,availability_status,unavailable_reason,source_snapshot_year,source_release_date,snapshot_age_years,expected_edge_count,actual_edge_count,provenance
flow,2012,unavailable,source_not_released,,,,,0,no official commuting snapshot had been released by this decision year; the earliest snapshot (observation 2012) was released 2015-06-25 (DEC-073)
flow,2013,unavailable,source_not_released,,,,,0,no official commuting snapshot had been released by this decision year; the earliest snapshot (observation 2012) was released 2015-06-25 (DEC-073)
flow,2014,unavailable,source_not_released,,,,,0,no official commuting snapshot had been released by this decision year; the earliest snapshot (observation 2012) was released 2015-06-25 (DEC-073)
flow,2015,unavailable,source_not_released,,,,,0,no official commuting snapshot had been released by this decision year; the earliest snapshot (observation 2012) was released 2015-06-25 (DEC-073)
flow,2016,carried_forward_from_snapshot,,2012,2015-06-25,4,,27675,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
flow,2017,carried_forward_from_snapshot,,2012,2015-06-25,5,,27675,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
flow,2018,carried_forward_from_snapshot,,2012,2015-06-25,6,,27675,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
flow,2019,carried_forward_from_snapshot,,2012,2015-06-25,7,,27675,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
flow,2020,carried_forward_from_snapshot,,2012,2015-06-25,8,,27675,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
flow,2021,carried_forward_from_snapshot,,2017,2020-12-09,4,,27683,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
flow,2022,carried_forward_from_snapshot,,2017,2020-12-09,5,,27683,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
flow,2023,carried_forward_from_snapshot,,2017,2020-12-09,6,,27683,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
flow,2024,carried_forward_from_snapshot,,2017,2020-12-09,7,,27683,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
flow,2025,carried_forward_from_snapshot,,2017,2020-12-09,8,,27683,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
similarity,2012,node_attribute_not_an_edge,reclassified_by_HERALD_64_section_3.1,,,,,,resemblance asserts no interaction; retained as a node attribute (HERALD_64 3.1)
similarity,2013,node_attribute_not_an_edge,reclassified_by_HERALD_64_section_3.1,,,,,,resemblance asserts no interaction; retained as a node attribute (HERALD_64 3.1)
similarity,2014,node_attribute_not_an_edge,reclassified_by_HERALD_64_section_3.1,,,,,,resemblance asserts no interaction; retained as a node attribute (HERALD_64 3.1)
similarity,2015,node_attribute_not_an_edge,reclassified_by_HERALD_64_section_3.1,,,,,,resemblance asserts no interaction; retained as a node attribute (HERALD_64 3.1)
similarity,2016,node_attribute_not_an_edge,reclassified_by_HERALD_64_section_3.1,,,,,,resemblance asserts no interaction; retained as a node attribute (HERALD_64 3.1)
similarity,2017,node_attribute_not_an_edge,reclassified_by_HERALD_64_section_3.1,,,,,,resemblance asserts no interaction; retained as a node attribute (HERALD_64 3.1)
