relation_family,decision_year,source_sector,target_sector,source_label,target_label,weight,p_value,n_zones,bh_rejected,sign_stability,r2_stable
precedence_intra,2018,BE,FZ,Industry,Construction,-0.099112,0.09853605,280,False,,
precedence_intra,2018,BE,GI,Industry,"Trade, transport, hospitality",-0.098348,0.10117648,280,False,,
precedence_intra,2018,BE,JZ,Industry,Information and communication,0.033554,0.57708323,280,False,,
precedence_intra,2018,BE,KZ,Industry,Finance and insurance,0.047731,0.42744776,280,False,,
precedence_intra,2018,BE,LZ,Industry,Real estate,-0.0465,0.43947891,280,False,,
precedence_intra,2018,BE,MN,Industry,Professional and administrative services,-0.140081,0.01914998,280,False,,
precedence_intra,2018,BE,OQ,Industry,"Public administration, education, health",-0.06215,0.30121001,280,False,,
precedence_intra,2018,BE,RU,Industry,Other services,-0.085798,0.15303386,280,False,,
precedence_intra,2018,FZ,BE,Construction,Industry,-0.036116,0.54833007,280,False,,
precedence_intra,2018,FZ,GI,Construction,"Trade, transport, hospitality",-0.006777,0.91035773,280,False,,
precedence_intra,2018,FZ,JZ,Construction,Information and communication,0.009598,0.87331217,280,False,,
precedence_intra,2018,FZ,KZ,Construction,Finance and insurance,-0.066639,0.26754712,280,False,,
precedence_intra,2018,FZ,LZ,Construction,Real estate,-0.048361,0.42135931,280,False,,
precedence_intra,2018,FZ,MN,Construction,Professional and administrative services,0.062214,0.30071152,280,False,,
precedence_intra,2018,FZ,OQ,Construction,"Public administration, education, health",-0.002798,0.96292067,280,False,,
precedence_intra,2018,FZ,RU,Construction,Other services,-0.085693,0.15354003,280,False,,
precedence_intra,2018,GI,BE,"Trade, transport, hospitality",Industry,0.123242,0.0395981,280,False,,
precedence_intra,2018,GI,FZ,"Trade, transport, hospitality",Construction,-0.011046,0.85439037,280,False,,
precedence_intra,2018,GI,JZ,"Trade, transport, hospitality",Information and communication,-0.043859,0.46593701,280,False,,
precedence_intra,2018,GI,KZ,"Trade, transport, hospitality",Finance and insurance,0.019314,0.7482756,280,False,,
