ze2020,ze2020_label,year,sector_code,sector_label,sector_establishment_creations,total_establishment_creations,sector_share,sector_rank_in_ze_year,mask_sector_available
0051,Alençon,2012,BE,Industry and energy,57.0,825,0.06909090909090909,6,1
0051,Alençon,2012,FZ,Construction,154.0,825,0.18666666666666668,2,1
0051,Alençon,2012,GI,"Trade, transport and hospitality",232.0,825,0.2812121212121212,1,1
0051,Alençon,2012,JZ,Information and communication,20.0,825,0.024242424242424242,9,1
0051,Alençon,2012,KZ,Financial and insurance activities,26.0,825,0.03151515151515152,8,1
0051,Alençon,2012,LZ,Real estate activities,34.0,825,0.041212121212121214,7,1
0051,Alençon,2012,MN,Professional and administrative services,109.0,825,0.1321212121212121,3,1
0051,Alençon,2012,OQ,"Public administration, education and health",85.0,825,0.10303030303030303,5,1
0051,Alençon,2012,RU,Arts and other services,108.0,825,0.13090909090909092,4,1
0051,Alençon,2013,BE,Industry and energy,54.0,755,0.07152317880794702,6,1
0051,Alençon,2013,FZ,Construction,147.0,755,0.1947019867549669,2,1
0051,Alençon,2013,GI,"Trade, transport and hospitality",240.0,755,0.31788079470198677,1,1
0051,Alençon,2013,JZ,Information and communication,29.0,755,0.038410596026490065,7,1
0051,Alençon,2013,KZ,Financial and insurance activities,21.0,755,0.02781456953642384,8,1
0051,Alençon,2013,LZ,Real estate activities,17.0,755,0.022516556291390728,9,1
0051,Alençon,2013,MN,Professional and administrative services,81.0,755,0.10728476821192053,4,1
0051,Alençon,2013,OQ,"Public administration, education and health",77.0,755,0.10198675496688742,5,1
0051,Alençon,2013,RU,Arts and other services,89.0,755,0.11788079470198676,3,1
0051,Alençon,2014,BE,Industry and energy,59.0,741,0.0796221322537112,6,1
0051,Alençon,2014,FZ,Construction,125.0,741,0.16869095816464239,2,1
0051,Alençon,2014,GI,"Trade, transport and hospitality",216.0,741,0.291497975708502,1,1
0051,Alençon,2014,JZ,Information and communication,11.0,741,0.014844804318488529,9,1
