decision_year,family,src_ZE2020,src_sector,dst_ZE2020,dst_sector,weight
2019,analogy,51,BE,4408,BE,0.024189759951246396
2019,analogy,51,BE,54,BE,0.02410799525087709
2019,analogy,51,BE,7530,BE,0.024017385004488592
2019,analogy,51,BE,2406,BE,0.02393025854077497
2019,analogy,51,BE,7515,BE,0.023540447357374466
2019,analogy,51,BE,7605,BE,0.022323450620356483
2019,analogy,51,BE,7524,BE,0.022284540844676952
2019,analogy,51,BE,8410,BE,0.022044719894913887
2019,analogy,51,BE,1103,BE,0.021731880503502096
2019,analogy,51,BE,9312,BE,0.021688331408184047
2019,analogy,58,BE,4419,BE,0.024108199808670697
2019,analogy,58,BE,5303,BE,0.024105853634275774
2019,analogy,58,BE,5312,BE,0.023798532437575882
2019,analogy,58,BE,5319,BE,0.023762579083447036
2019,analogy,58,BE,2816,BE,0.023726698100229704
2019,analogy,58,BE,7608,BE,0.023677711457387802
2019,analogy,58,BE,7617,BE,0.023443156655435258
2019,analogy,58,BE,5219,BE,0.023292295851733046
2019,analogy,58,BE,5304,BE,0.023189632871575393
2019,analogy,58,BE,3202,BE,0.023087987384707718
2019,analogy,1101,BE,8406,BE,0.02251611895110777
2019,analogy,1101,BE,3215,BE,0.02235712031830713
2019,analogy,1101,BE,7603,BE,0.02222599296393933
2019,analogy,1101,BE,4411,BE,0.02214132756807282
2019,analogy,1101,BE,9306,BE,0.02210850137679901
2019,analogy,1101,BE,7532,BE,0.02203571149224651
2019,analogy,1101,BE,1113,BE,0.021936036940527377
2019,analogy,1101,BE,7501,BE,0.021578285816395204
2019,analogy,1101,BE,8428,BE,0.021559754954799424
2019,analogy,1101,BE,3208,BE,0.021477943249720726
2019,analogy,1108,BE,2716,BE,0.024453768504120465
2019,analogy,1108,BE,7622,BE,0.02404569512782717
2019,analogy,1108,BE,2711,BE,0.024014174677325657
2019,analogy,1108,BE,7618,BE,0.023705893042731224
2019,analogy,1108,BE,9311,BE,0.02347298635195049
2019,analogy,1108,BE,2703,BE,0.02314521276417494
2019,analogy,1108,BE,8432,BE,0.023041010631131106
2019,analogy,1108,BE,2409,BE,0.022743757814322207
2019,analogy,1108,BE,7518,BE,0.02256605035935836
2019,analogy,1108,BE,8424,BE,0.022458874411961937
2019,analogy,1115,BE,8424,BE,0.025644242044667837
2019,analogy,1115,BE,7610,BE,0.025299170866797917
2019,analogy,1115,BE,2409,BE,0.025141838952709602
2019,analogy,1115,BE,7622,BE,0.024881010201400926
2019,analogy,1115,BE,5218,BE,0.024819340443764167
2019,analogy,1115,BE,8422,BE,0.024522911971027232
2019,analogy,1115,BE,2711,BE,0.024378530796838202
2019,analogy,1115,BE,2703,BE,0.02416997705942252
2019,analogy,1115,BE,2802,BE,0.023778422326245507
2019,analogy,1115,BE,5211,BE,0.02371655350752911
2019,analogy,2407,BE,8415,BE,0.020864237088767248
2019,analogy,2407,BE,8416,BE,0.02260279371073072
2019,analogy,2407,BE,8420,BE,0.020294906379698233
2019,analogy,2407,BE,8426,BE,0.02209166326480798
2019,analogy,2407,BE,8427,BE,0.019197570309508798
2019,analogy,2407,BE,8405,BE,0.0190673169981503
2019,analogy,2407,BE,7610,BE,0.018616591061489628
2019,analogy,2407,BE,7611,BE,0.023895872728286135
2019,analogy,2407,BE,7613,BE,0.0211629639950136
2019,analogy,2407,BE,7619,BE,0.02642561464233338
2019,analogy,2414,BE,5313,BE,0.022730564741651912
2019,analogy,2414,BE,5308,BE,0.022537365770133346
2019,analogy,2414,BE,5201,BE,0.02248960611748901
2019,analogy,2414,BE,7510,BE,0.022489297798563443
2019,analogy,2414,BE,5205,BE,0.02244280435522769
2019,analogy,2414,BE,2718,BE,0.022417646404430683
2019,analogy,2414,BE,5316,BE,0.022416281115594985
2019,analogy,2414,BE,7506,BE,0.022371725990098873
2019,analogy,2414,BE,4421,BE,0.02224902836974992
2019,analogy,2414,BE,2811,BE,0.02208476760404158
2019,analogy,2706,BE,7604,BE,0.021732637241588987
2019,analogy,2706,BE,7509,BE,0.021619442640017292
2019,analogy,2706,BE,2814,BE,0.021595253708578437
2019,analogy,2706,BE,2804,BE,0.02144861902792166
2019,analogy,2706,BE,7624,BE,0.021347377450137397
2019,analogy,2706,BE,7517,BE,0.021310937068591725
2019,analogy,2706,BE,2408,BE,0.021183699793585975
2019,analogy,2706,BE,8425,BE,0.021131215676016654
2019,analogy,2706,BE,7621,BE,0.021117905636820852
2019,analogy,2706,BE,4425,BE,0.02109263275899174
2019,analogy,2713,BE,7621,BE,0.021779045440344945
2019,analogy,2713,BE,7624,BE,0.021694686973224468
2019,analogy,2713,BE,4425,BE,0.021680039853768682
2019,analogy,2713,BE,8425,BE,0.021671869105607124
2019,analogy,2713,BE,2813,BE,0.02161252829778949
2019,analogy,2713,BE,2411,BE,0.021603060577237557
2019,analogy,2713,BE,8414,BE,0.021466474815877233
2019,analogy,2713,BE,1111,BE,0.021422799222984023
2019,analogy,2713,BE,8411,BE,0.02136726939809209
