decision_year,ZE2020,sector,level_t_minus_1,share_t_minus_1,growth_t_minus_1
2019,51,BE,56.0,0.0671462829736211,-0.06782259633876109
2019,51,FZ,91.0,0.1091127098321343,0.02197890671877545
2019,51,GI,273.0,0.3273381294964029,0.07973861766055013
2019,51,JZ,14.0,0.016786570743405275,0.14310084364067333
2019,51,KZ,32.0,0.03836930455635491,0.06252035698133396
2019,51,LZ,31.0,0.03717026378896882,0.2076393647782444
2019,51,MN,130.0,0.15587529976019185,0.14780950448881036
2019,51,OQ,99.0,0.11870503597122302,0.17435338714477844
2019,51,RU,108.0,0.12949640287769784,0.30932124755526225
2019,52,BE,146.0,0.08165548098434004,0.19464204118199468
2019,52,FZ,189.0,0.10570469798657718,-0.10008345855698231
2019,52,GI,597.0,0.3338926174496644,0.028839997098720538
2019,52,JZ,33.0,0.018456375838926176,-0.05715841383994835
2019,52,KZ,41.0,0.022930648769574943,-0.2513144282809061
2019,52,LZ,70.0,0.039149888143176735,0.33085424431698973
2019,52,MN,341.0,0.1907158836689038,0.18936383941936707
2019,52,OQ,194.0,0.10850111856823266,0.10821358464023234
2019,52,RU,177.0,0.09899328859060402,0.016997576368570577
2019,53,BE,163.0,0.03909810506116575,-0.12048939725412655
2019,53,FZ,571.0,0.13696330055169106,0.23104179333844943
2019,53,GI,1398.0,0.3353322139601823,0.15177085957032865
2019,53,JZ,118.0,0.028304149676181337,0.2793138227812646
2019,53,KZ,125.0,0.029983209402734468,0.00796816964917646
2019,53,LZ,107.0,0.025665627248740705,0.09716374845364761
2019,53,MN,825.0,0.19788918205804748,0.24889604741662374
2019,53,OQ,448.0,0.10745982249940034,0.04556596881423758
2019,53,RU,414.0,0.09930438954185657,0.044342239543507134
2019,54,BE,136.0,0.059466550065588104,-0.1234441910911217
2019,54,FZ,276.0,0.12068211630957586,-0.07307598031806606
2019,54,GI,799.0,0.3493659816353301,0.09982033528221113
2019,54,JZ,60.0,0.026235242675994752,0.12188981760903683
2019,54,KZ,61.0,0.026672496720594664,-0.06252035698133351
2019,54,LZ,109.0,0.047660690861390465,0.10536051565782678
2019,54,MN,407.0,0.17796239615216441,0.06846779927746027
2019,54,OQ,211.0,0.09226060341058155,0.12014431184206309
2019,54,RU,228.0,0.09969392216878006,0.10100321028887116
2019,55,BE,72.0,0.08480565371024736,0.1795855769750796
2019,55,FZ,101.0,0.11896348645465253,0.060624621816434576
2019,55,GI,254.0,0.29917550058892817,0.06899287148695077
2019,55,JZ,9.0,0.01060070671378092,-0.40546510810816416
2019,55,KZ,23.0,0.027090694935217905,0.4700036292457357
2019,55,LZ,27.0,0.03180212014134275,0.38776553100876354
2019,55,MN,156.0,0.18374558303886926,0.3557654395558911
2019,55,OQ,82.0,0.09658421672555949,0.10135249426028814
2019,55,RU,125.0,0.14723203769140164,0.5055485666651469
2019,56,BE,55.0,0.10638297872340426,0.19671029424605457
2019,56,FZ,51.0,0.09864603481624758,0.05942342047080107
2019,56,GI,181.0,0.35009671179883944,-0.005479465764626212
2019,56,JZ,6.0,0.01160541586073501,-0.13353139262452252
2019,56,KZ,10.0,0.019342359767891684,0.0
2019,56,LZ,23.0,0.04448742746615087,0.4700036292457357
2019,56,MN,86.0,0.16634429400386846,0.14842000511827358
2019,56,OQ,53.0,0.10251450676982592,0.09716374845364806
2019,56,RU,52.0,0.10058027079303675,-0.0727593542824283
2019,57,BE,60.0,0.04905968928863451,-0.06351340572232544
2019,57,FZ,124.0,0.10139002452984465,-0.2592825979300821
2019,57,GI,470.0,0.38430089942763695,0.10985277998040566
2019,57,JZ,44.0,0.035977105478331974,0.40546510810816416
2019,57,KZ,36.0,0.029435813573180702,0.3150810466398952
2019,57,LZ,46.0,0.03761242845461979,0.16126814759612218
2019,57,MN,203.0,0.16598528209321342,0.034916265106227584
2019,57,OQ,113.0,0.09239574816026165,0.13102826240640386
2019,57,RU,127.0,0.10384300899427637,0.13353139262452274
2019,58,BE,35.0,0.08083140877598152,0.21622310846963577
2019,58,FZ,33.0,0.07621247113163972,-0.1625189294977747
2019,58,GI,169.0,0.3903002309468822,0.2759860326885901
2019,58,JZ,5.0,0.011547344110854504,-0.6931471805599454
2019,58,KZ,7.0,0.016166281755196306,-0.8649974374866045
2019,58,LZ,20.0,0.046189376443418015,0.40546510810816416
2019,58,MN,73.0,0.16859122401847576,0.3722394604798436
2019,58,OQ,41.0,0.09468822170900693,0.0
2019,58,RU,50.0,0.11547344110854503,0.21825356602001778
2019,59,BE,91.0,0.0595939751146038,0.13976194237515926
2019,59,FZ,184.0,0.12049770792403405,0.09639184567506653
2019,59,GI,536.0,0.3510150622134905,0.14611354228260964
2019,59,JZ,47.0,0.03077930582842174,0.04255961441879563
2019,59,KZ,37.0,0.024230517354289455,-0.23361485118150505
2019,59,LZ,55.0,0.03601833660772757,-0.3053816495511814
2019,59,MN,283.0,0.1853307138179437,0.16003651200451952
2019,59,OQ,154.0,0.1008513425016372,0.01954459607297032
2019,59,RU,140.0,0.091683038637852,0.050920090427257314
2019,60,BE,95.0,0.08652094717668488,0.22054276961415198
2019,60,FZ,96.0,0.08743169398907104,-0.0887281156086841
2019,60,GI,380.0,0.3460837887067395,-0.09507154479543622
2019,60,JZ,28.0,0.025500910746812388,0.07145896398214502
2019,60,KZ,31.0,0.028233151183970857,0.06453852113757108
2019,60,LZ,43.0,0.039162112932604735,0.2006706954621511
2019,60,MN,157.0,0.1429872495446266,0.15732025458853727
2019,60,OQ,135.0,0.12295081967213115,0.2779258975064165
2019,60,RU,133.0,0.12112932604735883,0.27286698666664044
2019,61,BE,22.0,0.046413502109704644,-0.36101334553733055
2019,61,FZ,40.0,0.08438818565400844,-0.3294792011302423
2019,61,GI,180.0,0.379746835443038,0.022347298691997253
2019,61,JZ,16.0,0.03375527426160337,-0.1112256351102241
2019,61,KZ,12.0,0.02531645569620253,0.16705408466316607
2019,61,LZ,18.0,0.0379746835443038,-0.489548225318706
2019,61,MN,77.0,0.16244725738396623,0.02597548640326064
2019,61,OQ,55.0,0.1160337552742616,0.47000362924573613
2019,61,RU,54.0,0.11392405063291139,0.018349138668196652
2019,62,BE,41.0,0.06821963394342762,-0.17435338714477755
2019,62,FZ,70.0,0.11647254575707154,-0.013986241974739855
2019,62,GI,173.0,0.2878535773710483,0.1551089932690699
2019,62,JZ,21.0,0.03494176372712146,0.6931471805599454
2019,62,KZ,11.0,0.018302828618968387,-0.40546510810816416
2019,62,LZ,25.0,0.04159733777038269,-0.17589066646366414
2019,62,MN,93.0,0.15474209650582363,0.12445417447340557
2019,62,OQ,61.0,0.10149750415973377,-0.1355454919962238
2019,62,RU,106.0,0.17637271214642264,0.5952913905561861
2019,63,BE,76.0,0.13286713286713286,-0.1560042484765809
2019,63,FZ,50.0,0.08741258741258741,-0.019418085857101808
2019,63,GI,184.0,0.32167832167832167,0.42456527948158396
2019,63,JZ,17.0,0.02972027972027972,0.693147180559945
2019,63,KZ,17.0,0.02972027972027972,0.3254224004346278
2019,63,LZ,29.0,0.050699300699300696,0.2657031657330058
2019,63,MN,76.0,0.13286713286713286,0.18492233849401263
2019,63,OQ,66.0,0.11538461538461539,-0.09937247381320358
2019,63,RU,57.0,0.09965034965034965,0.3968813644167728
2019,64,BE,50.0,0.06675567423230974,-0.11122563511022454
2019,64,FZ,82.0,0.10947930574098798,0.18473410319933858
2019,64,GI,238.0,0.3177570093457944,-0.016597891409037224
2019,64,JZ,15.0,0.020026702269692925,-0.06062462181643502
2019,64,KZ,17.0,0.022696929238985315,0.05715841383994835
2019,64,LZ,40.0,0.0534045393858478,0.5355182363563622
2019,64,MN,122.0,0.1628838451268358,0.1774553671427812
2019,64,OQ,87.0,0.11615487316421896,-0.01129955525393278
