source_ze2020,target_ze2020,edge_type
0051,0061,geographic_adjacency
0051,2801,geographic_adjacency
0051,2809,geographic_adjacency
0051,2812,geographic_adjacency
0051,5208,geographic_adjacency
0051,5212,geographic_adjacency
0051,5215,geographic_adjacency
0052,0053,geographic_adjacency
0052,7616,geographic_adjacency
0052,7618,geographic_adjacency
0052,9306,geographic_adjacency
0052,9313,geographic_adjacency
0053,0052,geographic_adjacency
0053,7605,geographic_adjacency
0053,7618,geographic_adjacency
0053,9305,geographic_adjacency
0053,9306,geographic_adjacency
0053,9316,geographic_adjacency
0054,0058,geographic_adjacency
0054,1101,geographic_adjacency
0054,2807,geographic_adjacency
0054,2815,geographic_adjacency
0054,2817,geographic_adjacency
0054,3202,geographic_adjacency
0054,3211,geographic_adjacency
0055,0064,geographic_adjacency
0055,7605,geographic_adjacency
0055,8402,geographic_adjacency
0055,8422,geographic_adjacency
0055,9316,geographic_adjacency
0056,0060,geographic_adjacency
0056,2402,geographic_adjacency
0056,2407,geographic_adjacency
0056,2409,geographic_adjacency
0056,2702,geographic_adjacency
0056,2703,geographic_adjacency
0057,0061,geographic_adjacency
0057,1111,geographic_adjacency
0057,1114,geographic_adjacency
0057,1115,geographic_adjacency
0057,2403,geographic_adjacency
0057,2808,geographic_adjacency
0058,0054,geographic_adjacency
0058,2807,geographic_adjacency
0058,3201,geographic_adjacency
0058,3202,geographic_adjacency
0059,2707,geographic_adjacency
0059,2708,geographic_adjacency
0059,2710,geographic_adjacency
0059,2713,geographic_adjacency
0059,8405,geographic_adjacency
0059,8434,geographic_adjacency
0060,0056,geographic_adjacency
0060,2402,geographic_adjacency
0060,2701,geographic_adjacency
0060,2703,geographic_adjacency
0060,2708,geographic_adjacency
0060,8424,geographic_adjacency
0061,0051,geographic_adjacency
0061,0057,geographic_adjacency
0061,2403,geographic_adjacency
0061,2404,geographic_adjacency
0061,2808,geographic_adjacency
0061,2812,geographic_adjacency
0061,5208,geographic_adjacency
0062,5205,geographic_adjacency
0062,5216,geographic_adjacency
0062,5219,geographic_adjacency
0062,5311,geographic_adjacency
0062,5315,geographic_adjacency
0062,5318,geographic_adjacency
0063,7511,geographic_adjacency
0063,7531,geographic_adjacency
0063,8403,geographic_adjacency
0063,8408,geographic_adjacency
0063,8410,geographic_adjacency
0063,8423,geographic_adjacency
0063,8429,geographic_adjacency
0064,0055,geographic_adjacency
0064,8422,geographic_adjacency
0064,8431,geographic_adjacency
0064,9305,geographic_adjacency
0064,9306,geographic_adjacency
0064,9307,geographic_adjacency
0064,9310,geographic_adjacency
0064,9311,geographic_adjacency
0064,9316,geographic_adjacency
1101,0054,geographic_adjacency
1101,1109,geographic_adjacency
1101,1112,geographic_adjacency
1101,1114,geographic_adjacency
1101,2817,geographic_adjacency
1101,3211,geographic_adjacency
1102,1106,geographic_adjacency
1102,1107,geographic_adjacency
1102,1110,geographic_adjacency
1102,3209,geographic_adjacency
1102,4415,geographic_adjacency
1103,1104,geographic_adjacency
1103,1111,geographic_adjacency
1103,1113,geographic_adjacency
1103,2403,geographic_adjacency
1103,2410,geographic_adjacency
1103,2411,geographic_adjacency
1104,1103,geographic_adjacency
1104,1105,geographic_adjacency
1104,1106,geographic_adjacency
1104,1108,geographic_adjacency
1104,1109,geographic_adjacency
1104,1113,geographic_adjacency
1104,2411,geographic_adjacency
1105,1104,geographic_adjacency
1105,1108,geographic_adjacency
1105,1110,geographic_adjacency
1105,2409,geographic_adjacency
1105,2411,geographic_adjacency
