ze2020,libze2020,nb_com,geometry_type,is_multipolygon,exclusion_reason
0101,Côte sous le vent,3,MultiPolygon,1,non_hexagonal_or_insular_component_for_core_v0
0102,Est Grande Terre,6,MultiPolygon,1,non_hexagonal_or_insular_component_for_core_v0
0103,Marie-Galante,3,Polygon,0,non_hexagonal_or_insular_component_for_core_v0
0104,Région Pointoise,10,MultiPolygon,1,non_hexagonal_or_insular_component_for_core_v0
0105,Sud Basse-Terre,10,MultiPolygon,1,non_hexagonal_or_insular_component_for_core_v0
0201,Le Centre-Atlantique,4,MultiPolygon,1,non_hexagonal_or_insular_component_for_core_v0
0202,Le Centre agglomération,4,MultiPolygon,1,non_hexagonal_or_insular_component_for_core_v0
0203,Le Nord-Atlantique,6,MultiPolygon,1,non_hexagonal_or_insular_component_for_core_v0
0204,Le Nord-Caraibe,8,MultiPolygon,1,non_hexagonal_or_insular_component_for_core_v0
0205,Le Sud,5,MultiPolygon,1,non_hexagonal_or_insular_component_for_core_v0
0206,Le Sud-Caraibe,7,MultiPolygon,1,non_hexagonal_or_insular_component_for_core_v0
0301,Est-littoral,10,MultiPolygon,1,non_hexagonal_or_insular_component_for_core_v0
0302,Ouest-Guyanais,8,MultiPolygon,1,non_hexagonal_or_insular_component_for_core_v0
0303,Savanes,4,MultiPolygon,1,non_hexagonal_or_insular_component_for_core_v0
0401,L'Est,6,Polygon,0,non_hexagonal_or_insular_component_for_core_v0
0402,L'Ouest,5,MultiPolygon,1,non_hexagonal_or_insular_component_for_core_v0
0403,Le Nord,3,Polygon,0,non_hexagonal_or_insular_component_for_core_v0
0404,Le Sud,10,MultiPolygon,1,non_hexagonal_or_insular_component_for_core_v0
0601,Mayotte,17,MultiPolygon,1,non_hexagonal_or_insular_component_for_core_v0
9401,Ajaccio,81,Polygon,0,non_hexagonal_or_insular_component_for_core_v0
9402,Bastia,112,Polygon,0,non_hexagonal_or_insular_component_for_core_v0
9403,Calvi,36,Polygon,0,non_hexagonal_or_insular_component_for_core_v0
9404,Corte,58,Polygon,0,non_hexagonal_or_insular_component_for_core_v0
9405,Ghisonaccia,30,Polygon,0,non_hexagonal_or_insular_component_for_core_v0
9406,Porto-Vecchio,12,MultiPolygon,1,non_hexagonal_or_insular_component_for_core_v0
9407,Propriano,31,Polygon,0,non_hexagonal_or_insular_component_for_core_v0
