node_idx,ze2020,libze2020,nb_com
0,0051,Alençon,184
1,0052,Arles,20
2,0053,Avignon,36
3,0054,Beauvais,327
4,0055,Bollène-Pierrelatte,29
5,0056,Cosne-Cours-sur-Loire,119
6,0057,Dreux,115
7,0058,La Vallée de la Bresle-Vimeu,93
8,0059,Mâcon,159
9,0060,Nevers,180
10,0061,Nogent-le-Rotrou,82
11,0062,Redon,43
12,0063,Ussel,186
13,0064,Valréas,114
14,1101,Cergy-Vexin,120
15,1102,Coulommiers,54
16,1103,Étampes,64
17,1104,Évry-Courcouronnes,68
18,1105,Fontainebleau-Nemours,106
19,1106,Marne-la-Vallée,69
20,1107,Meaux,102
21,1108,Melun,71
22,1109,Paris,122
23,1110,Provins,81
24,1111,Rambouillet,36
25,1112,Roissy,87
26,1113,Saclay,62
27,1114,Seine-Yvelinoise,121
28,1115,Versailles-Saint-Quentin,103
29,2401,Blois,104
30,2402,Bourges,170
31,2403,Chartres,150
32,2404,Châteaudun,63
33,2405,Châteauroux,213
34,2406,Chinon,42
35,2407,Gien,67
36,2408,Loches,78
37,2409,Montargis,96
38,2410,Orléans,133
39,2411,Pithiviers,78
40,2412,Romorantin-Lanthenay,70
41,2413,Tours,166
42,2414,Vendôme,89
43,2415,Vierzon,28
44,2701,Autun,66
45,2702,Auxerre,211
46,2703,Avallon,172
47,2704,Beaune,143
48,2705,Belfort,164
49,2706,Besançon,408
50,2707,Chalon-sur-Saône,133
51,2708,Charolais,132
52,2709,Châtillon-Montbard,233
53,2710,Creusot-Montceau,57
54,2711,Dijon,322
55,2712,Dole,123
56,2713,Lons-le-Saunier,333
57,2714,Montbéliard,146
58,2715,Pontarlier,174
59,2716,Saint-Claude,71
60,2717,Sens,102
61,2718,Vesoul,336
62,2801,Argentan,73
63,2802,Avranches,101
64,2803,Bernay,106
65,2804,Caen,378
66,2805,Cherbourg-en-Cotentin,135
67,2806,Coutances,67
68,2807,Dieppe-Caux maritime,196
69,2808,Évreux,167
70,2809,Flers,91
71,2810,Granville,45
72,2811,Honfleur Pont-Audemer,119
73,2812,L'Aigle,79
74,2813,Le Havre,115
75,2814,Lisieux,93
76,2815,Rouen,299
77,2816,Saint-Lô,104
78,2817,Vernon-Gisors,110
79,2818,Vire Normandie,21
80,2819,Yvetot-Vallée du Commerce,99
81,3201,Abbeville,165
82,3202,Amiens,455
83,3203,Arras,232
84,3204,Berck,201
85,3205,Béthune,109
86,3206,Boulogne-sur-Mer,92
87,3207,Calais,51
88,3208,Cambrai,111
89,3209,Château-Thierry,119
90,3210,Compiègne,181
91,3211,Creil,134
92,3212,Douai,71
93,3213,Dunkerque,75
94,3214,Laon,225
95,3215,Lens,58
96,3216,Lille,133
97,3217,Maubeuge,199
98,3218,Roubaix-Tourcoing,22
99,3219,Saint-Omer,126
100,3220,Saint-Quentin,326
101,3221,Soissons,232
102,3222,Valenciennes,125
103,4401,Bar-le-Duc,154
104,4402,Châlons-en-Champagne,151
105,4403,Charleville-Mézières,180
106,4404,Chaumont,369
107,4405,Colmar,100
108,4406,Épernay,113
109,4407,Épinal,328
110,4408,Forbach,30
111,4409,Haguenau,164
112,4410,Metz,246
