ze2020,libze2020,nb_com,geometry_type,is_multipolygon
0051,Alençon,184,Polygon,0
0052,Arles,20,Polygon,0
0053,Avignon,36,Polygon,0
0054,Beauvais,327,Polygon,0
0055,Bollène-Pierrelatte,29,Polygon,0
0056,Cosne-Cours-sur-Loire,119,Polygon,0
0057,Dreux,115,Polygon,0
0058,La Vallée de la Bresle-Vimeu,93,Polygon,0
0059,Mâcon,159,Polygon,0
0060,Nevers,180,Polygon,0
0061,Nogent-le-Rotrou,82,Polygon,0
0062,Redon,43,Polygon,0
0063,Ussel,186,Polygon,0
0064,Valréas,114,Polygon,0
0101,Côte sous le vent,3,MultiPolygon,1
0102,Est Grande Terre,6,MultiPolygon,1
0103,Marie-Galante,3,Polygon,0
0104,Région Pointoise,10,MultiPolygon,1
0105,Sud Basse-Terre,10,MultiPolygon,1
0201,Le Centre-Atlantique,4,MultiPolygon,1
0202,Le Centre agglomération,4,MultiPolygon,1
0203,Le Nord-Atlantique,6,MultiPolygon,1
0204,Le Nord-Caraibe,8,MultiPolygon,1
0205,Le Sud,5,MultiPolygon,1
0206,Le Sud-Caraibe,7,MultiPolygon,1
0301,Est-littoral,10,MultiPolygon,1
0302,Ouest-Guyanais,8,MultiPolygon,1
0303,Savanes,4,MultiPolygon,1
0401,L'Est,6,Polygon,0
0402,L'Ouest,5,MultiPolygon,1
0403,Le Nord,3,Polygon,0
0404,Le Sud,10,MultiPolygon,1
0601,Mayotte,17,MultiPolygon,1
1101,Cergy-Vexin,120,Polygon,0
1102,Coulommiers,54,Polygon,0
1103,Étampes,64,Polygon,0
1104,Évry-Courcouronnes,68,Polygon,0
1105,Fontainebleau-Nemours,106,Polygon,0
1106,Marne-la-Vallée,69,Polygon,0
1107,Meaux,102,Polygon,0
1108,Melun,71,Polygon,0
1109,Paris,122,Polygon,0
1110,Provins,81,Polygon,0
1111,Rambouillet,36,Polygon,0
1112,Roissy,87,Polygon,0
1113,Saclay,62,Polygon,0
1114,Seine-Yvelinoise,121,Polygon,0
1115,Versailles-Saint-Quentin,103,Polygon,0
2401,Blois,104,Polygon,0
2402,Bourges,170,Polygon,0
2403,Chartres,150,Polygon,0
2404,Châteaudun,63,Polygon,0
2405,Châteauroux,213,Polygon,0
2406,Chinon,42,Polygon,0
2407,Gien,67,Polygon,0
2408,Loches,78,Polygon,0
2409,Montargis,96,Polygon,0
2410,Orléans,133,Polygon,0
2411,Pithiviers,78,Polygon,0
2412,Romorantin-Lanthenay,70,Polygon,0
2413,Tours,166,Polygon,0
2414,Vendôme,89,Polygon,0
2415,Vierzon,28,Polygon,0
2701,Autun,66,Polygon,0
2702,Auxerre,211,Polygon,0
2703,Avallon,172,Polygon,0
2704,Beaune,143,Polygon,0
2705,Belfort,164,Polygon,0
2706,Besançon,408,Polygon,0
2707,Chalon-sur-Saône,133,Polygon,0
2708,Charolais,132,Polygon,0
2709,Châtillon-Montbard,233,Polygon,0
2710,Creusot-Montceau,57,Polygon,0
2711,Dijon,322,Polygon,0
2712,Dole,123,Polygon,0
2713,Lons-le-Saunier,333,Polygon,0
2714,Montbéliard,146,Polygon,0
2715,Pontarlier,174,Polygon,0
2716,Saint-Claude,71,Polygon,0
2717,Sens,102,Polygon,0
2718,Vesoul,336,Polygon,0
2801,Argentan,73,Polygon,0
2802,Avranches,101,MultiPolygon,1
2803,Bernay,106,Polygon,0
2804,Caen,378,Polygon,0
2805,Cherbourg-en-Cotentin,135,MultiPolygon,1
2806,Coutances,67,Polygon,0
2807,Dieppe-Caux maritime,196,Polygon,0
2808,Évreux,167,Polygon,0
2809,Flers,91,Polygon,0
2810,Granville,45,Polygon,0
