country,region_system,source_sector,target_sector,sign,beta,q_fdr,bss,window,label_class,evidence_type,allowed_for_training_label,reason
NL,GEMEENTE_PROXY,BE,KZ,+,0.1154448883239668,0.006,1.0,2007-2012,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,MN,-,-0.1581393577335993,0.006,1.0,2007-2012,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,RU,-,-0.1418355634801696,0.006,1.0,2007-2012,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,FZ,JZ,-,-0.1221313202704261,0.006,0.912,2007-2012,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,FZ,RU,-,-0.1153784957002655,0.006,0.988,2007-2012,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,JZ,KZ,-,-0.1663926050746506,0.006,1.0,2007-2012,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,LZ,RU,-,-0.1033345862933998,0.006,1.0,2007-2012,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,MN,FZ,+,0.1144042043350067,0.006,1.0,2007-2012,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,FZ,+,0.171478150706474,0.006,1.0,2007-2012,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,BE,+,0.1650863746509446,0.006,1.0,2007-2012,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,KZ,+,0.1420035158599525,0.0065454545454545,1.0,2008-2013,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,MN,-,-0.1210378382710397,0.0065454545454545,1.0,2008-2013,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,RU,-,-0.1175589411847585,0.0065454545454545,1.0,2008-2013,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,FZ,RU,-,-0.1259916672938788,0.0065454545454545,0.998,2008-2013,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,GI,BE,-,-0.1060524996192298,0.0065454545454545,1.0,2008-2013,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,GI,LZ,+,0.1047098212004083,0.0065454545454545,1.0,2008-2013,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,JZ,MN,+,0.1048611038754484,0.0254117647058823,1.0,2008-2013,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,KZ,LZ,+,0.1189648268109883,0.0065454545454545,1.0,2008-2013,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,LZ,FZ,-,-0.1108677235864814,0.0065454545454545,1.0,2008-2013,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,LZ,RU,-,-0.1412253839496993,0.0065454545454545,1.0,2008-2013,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,FZ,+,0.1091427557370697,0.0065454545454545,1.0,2008-2013,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,KZ,+,0.1292540143968431,0.0055384615384615,1.0,2009-2014,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,MN,-,-0.1056536244722436,0.0055384615384615,1.0,2009-2014,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,RU,-,-0.1068013430222836,0.0055384615384615,1.0,2009-2014,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,GI,FZ,+,0.135182367929189,0.0055384615384615,1.0,2009-2014,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,GI,LZ,+,0.1224693645407066,0.0055384615384615,1.0,2009-2014,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,KZ,LZ,+,0.1135161918697068,0.0055384615384615,1.0,2009-2014,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,LZ,RU,-,-0.1138680843007234,0.0055384615384615,1.0,2009-2014,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,BE,+,0.1123614294892672,0.0055384615384615,1.0,2009-2014,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,FZ,+,0.1528076083860892,0.0055384615384615,1.0,2009-2014,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,BE,+,0.1259026618218235,0.0055384615384615,1.0,2009-2014,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,KZ,+,0.1982190218081377,0.0055384615384615,1.0,2010-2015,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,RU,-,-0.1075509082638252,0.0055384615384615,1.0,2010-2015,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,GI,FZ,+,0.1147516976531365,0.0055384615384615,0.998,2010-2015,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,JZ,MN,+,0.1073338697171542,0.0169411764705882,1.0,2010-2015,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,KZ,LZ,+,0.1288292656784159,0.0055384615384615,1.0,2010-2015,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,BE,+,0.11472056976747,0.0055384615384615,1.0,2010-2015,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,FZ,+,0.1580766187884084,0.0055384615384615,1.0,2010-2015,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,KZ,+,0.1163520220903853,0.0055384615384615,1.0,2010-2015,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,KZ,+,0.2188052643414201,0.0144,1.0,2011-2016,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,JZ,MN,+,0.1202831101923294,0.027,1.0,2011-2016,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,KZ,LZ,+,0.1088620504165039,0.0144,1.0,2011-2016,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
