country,region_system,source_sector,target_sector,sign,beta,q_fdr,bss,window,label_class,evidence_type,allowed_for_training_label
FR,ZE2020,KZ,FZ,+,0.080632,0.024,0.998,2020-2025,EXPLORATORY_FINE_GRAIN,observed_births,False
FR,ZE2020,OQ,MN,+,0.075791,0.036,0.97,2018-2023,EXPLORATORY_FINE_GRAIN,observed_births,False
FR,ZE2020,MN,BE,+,0.087654,0.036,1.0,2019-2024,EXPLORATORY_FINE_GRAIN,observed_births,False
FR,ZE2020,OQ,MN,+,0.090432,0.036,0.982,2020-2025,EXPLORATORY_FINE_GRAIN,observed_births,False
FR,ZE2020,OQ,MN,+,0.077482,0.048,0.978,2019-2024,EXPLORATORY_FINE_GRAIN,observed_births,False
FR,ZE2020,MN,BE,+,0.093949,0.024,1.0,2020-2025,FINE_GRAIN_SUPPORTED,observed_births,True
FR,ZE2020,MN,BE,+,0.096588,0.036,1.0,2018-2023,FINE_GRAIN_SUPPORTED,observed_births,True
FR,ZE2020,RU,MN,-,-0.095096,0.036,0.998,2019-2024,FINE_GRAIN_SUPPORTED,observed_births,True
FR,ZE2020,RU,MN,-,-0.107982,0.024,1.0,2020-2025,ROBUST_ORIGINAL,observed_births,True
NL,COROP,BE,MN,-,-0.221948,0.028,1.0,2009-2014,ROBUST_ORIGINAL,observed_births,True
NL,COROP,BE,RU,-,-0.204853,0.028,0.986,2009-2014,ROBUST_ORIGINAL,observed_births,True
NL,COROP,FZ,GI,+,0.195324,0.0432,0.994,2014-2019,ROBUST_ORIGINAL,observed_births,True
NL,COROP,FZ,RU,+,0.169714,0.0432,0.964,2014-2019,ROBUST_ORIGINAL,observed_births,True
NL,COROP,JZ,FZ,-,-0.230103,0.0432,0.936,2014-2019,ROBUST_ORIGINAL,observed_births,True
NL,COROP,JZ,RU,-,-0.180023,0.0432,0.996,2014-2019,ROBUST_ORIGINAL,observed_births,True
NL,COROP,LZ,RU,+,0.175072,0.0432,0.964,2014-2019,ROBUST_ORIGINAL,observed_births,True
NL,COROP,OQ,JZ,-,-0.285503,0.048,0.804,2014-2019,ROBUST_ORIGINAL,observed_births,True
PT,MUNICIPALITY,OQ,GI,+,0.076459,0.028,1.0,2015-2020,EXPLORATORY_FINE_GRAIN,observed_births,False
PT,MUNICIPALITY,GI,OQ,+,0.130297,0.028,1.0,2015-2020,ROBUST_ORIGINAL,observed_births,True
PT,MUNICIPALITY,MN,JZ,-,-0.104154,0.037333,1.0,2015-2020,ROBUST_ORIGINAL,observed_births,True
