ze2020,libze2020,reg,year,is_structural_anomaly,anomaly_reason,bpe_evolution_commune_type_presence_total,side_stocks_et_total,side_stocks_ul_total,flores_et_total,side_creations_et_total,filosofi_s_hh_tax_weighted_proxy,filosofi_s_dir_tax_di_weighted_proxy,population_total,active_lr_total,employed_lr_total,unemployed_lr_total,unemployment_rate_est,jobs_lt_total,jobs_lt_per_1000_pop,side_stocks_et_per_1000_pop,bpe_facilities_total,bpe_facilities_per_1000_pop,flores_presential_unit_loc_total,flores_productive_unit_loc_total,observed_feature_count,has_any_feature_value,is_source_year_row,is_training_eligible_panel_v0
0051,Alençon,52,2019,0,,2067,7105.0,6144.0,4303.0,977,,,,,,,,,,,,,,,5,1,1,1
0051,Alençon,52,2020,0,,,7265.0,6266.0,4284.0,1009,57.96992,-13.022808,,,,,,,,,,,,,6,1,1,1
0051,Alençon,52,2021,0,,,7624.0,6587.0,4331.0,1149,43.829413,-13.510852,124267.0,53275.529753,47322.260805,5953.268948,0.111745,47287.178607,380.52885,61.351767,4358.0,35.069648,,,16,1,1,1
0051,Alençon,52,2022,0,,,,,,1208,,,124291.0,53419.02111,47754.87817,5664.14294,0.106032,47719.52455999999,383.933869,,,,,,8,1,1,1
0051,Alençon,52,2023,0,,,7825.0,6873.0,,1220,,,,,,,,,,62.957093,4892.0,39.359246,,,6,1,1,1
0051,Alençon,52,2024,0,,2154,,,,,,,,,,,,,,,4926.0,39.632797,2918.0,1476.0,5,1,1,1
0052,Arles,93,2019,0,,979,13029.0,11614.0,5991.0,2080,,,,,,,,,,,,,,,5,1,1,1
0052,Arles,93,2020,0,,,13451.0,12029.0,6022.0,2104,65.495795,-14.824414,,,,,,,,,,,,,6,1,1,1
0052,Arles,93,2021,0,,,14444.0,12921.0,6283.0,2615,45.816262,-15.071627,139840.0,58832.862446,50788.058111,8044.804335,0.13674,49512.465599,354.065114,103.289474,6254.0,44.72254,,,16,1,1,1
0052,Arles,93,2022,0,,,,,,2667,,,141292.0,60242.45477,52932.70365,7309.75112,0.121339,50958.270650000006,360.659278,,,,,,8,1,1,1
0052,Arles,93,2023,0,,,15582.0,14135.0,,2619,,,,,,,,,,110.282252,7191.0,50.894601,,,6,1,1,1
0052,Arles,93,2024,0,,1030,,,,,,,,,,,,,,,7294.0,51.623588,4151.0,2369.0,5,1,1,1
0053,Avignon,93,2019,0,,1745,27005.0,23787.0,11611.0,4765,,,,,,,,,,,,,,,5,1,1,1
0053,Avignon,93,2020,0,,,27850.0,24707.0,11602.0,4871,68.422299,-14.949149,,,,,,,,,,,,,6,1,1,1
0053,Avignon,93,2021,0,,,30217.0,26721.0,12006.0,5818,47.728383,-15.249482,284909.0,126919.27052,108312.11742,18607.1531,0.146606,119895.887039,420.821691,106.058426,11946.0,41.929177,,,16,1,1,1
0053,Avignon,93,2022,0,,,,,,5945,,,288353.0,128252.51723,110799.78736,17452.72987,0.136081,122094.72539999998,423.421034,,,,,,8,1,1,1
0053,Avignon,93,2023,0,,,32075.0,28717.0,,5770,,,,,,,,,,111.235187,13945.0,48.360863,,,6,1,1,1
0053,Avignon,93,2024,0,,1820,,,,,,,,,,,,,,,14153.0,49.082201,7953.0,4303.0,5,1,1,1
0054,Beauvais,32,2019,0,,3739,15169.0,13428.0,7728.0,2566,,,,,,,,,,,,,,,5,1,1,1
0054,Beauvais,32,2020,0,,,15606.0,13920.0,7711.0,2624,69.734877,-13.544818,,,,,,,,,,,,,6,1,1,1
0054,Beauvais,32,2021,0,,,16806.0,15042.0,7914.0,3320,49.00835,-13.887629,286982.0,134918.667731,117654.110221,17264.55751,0.127963,94497.237678,329.27932,58.561164,8789.0,30.625614,,,16,1,1,1
