ZE2020,target_year,BE,FZ,GI,JZ,KZ,LZ,MN,OQ,RU,total
1,2008,9800.0,4748.0,15499.0,835.0,1161.0,185.0,5806.0,25910.0,1674.0,65618.0
2,2008,60286.0,19753.0,104882.0,11037.0,14942.0,1427.0,54321.0,116009.0,12970.0,395627.0
3,2008,2869.0,383.0,4182.0,107.0,209.0,57.0,922.0,8811.0,864.0,18404.0
4,2008,2519.0,1822.0,4138.0,49.0,272.0,49.0,1399.0,7632.0,602.0,18482.0
5,2008,9725.0,2905.0,5889.0,201.0,539.0,91.0,1908.0,11497.0,763.0,33518.0
6,2008,1177.0,1001.0,2319.0,11.0,171.0,24.0,384.0,5386.0,422.0,10895.0
7,2008,15210.0,4932.0,23993.0,1238.0,1525.0,422.0,9505.0,41514.0,4219.0,102558.0
8,2008,31625.0,19018.0,121991.0,34940.0,66359.0,3751.0,77875.0,232352.0,33495.0,621406.0
9,2008,27844.0,8513.0,26626.0,2000.0,2179.0,918.0,12118.0,48156.0,3318.0,131672.0
10,2008,30092.0,8243.0,21783.0,1462.0,2399.0,353.0,9269.0,35463.0,2771.0,111835.0
11,2008,1819.0,1924.0,4735.0,119.0,333.0,102.0,933.0,12815.0,1273.0,24053.0
12,2008,2141.0,1259.0,2501.0,39.0,267.0,20.0,491.0,4456.0,320.0,11494.0
13,2008,4373.0,1637.0,3500.0,119.0,427.0,72.0,2211.0,7792.0,581.0,20712.0
14,2008,2029.0,997.0,4293.0,61.0,348.0,197.0,1160.0,7768.0,713.0,17566.0
15,2008,40938.0,11886.0,40056.0,4831.0,5936.0,744.0,24898.0,80743.0,6817.0,216849.0
16,2008,24558.0,7736.0,84722.0,13951.0,3418.0,489.0,36907.0,41687.0,4778.0,218246.0
17,2008,34701.0,9773.0,32024.0,2860.0,2663.0,381.0,17202.0,56833.0,4909.0,161346.0
18,2008,4202.0,1829.0,4046.0,213.0,317.0,92.0,1908.0,11425.0,801.0,24833.0
19,2008,29456.0,11872.0,40786.0,3893.0,4884.0,965.0,17956.0,80677.0,7577.0,198066.0
20,2008,15667.0,5176.0,28843.0,3847.0,4889.0,359.0,16223.0,65616.0,4153.0,144773.0
21,2008,18312.0,4912.0,12961.0,248.0,1071.0,129.0,4425.0,21320.0,1657.0,65035.0
22,2008,27625.0,5599.0,28611.0,5080.0,1824.0,271.0,11573.0,33456.0,4092.0,118131.0
23,2008,1737.0,1373.0,3357.0,182.0,235.0,66.0,979.0,7498.0,695.0,16122.0
24,2008,8193.0,3504.0,11365.0,1380.0,1244.0,431.0,4625.0,33900.0,2997.0,67639.0
25,2008,11101.0,5214.0,16053.0,2170.0,2465.0,341.0,8468.0,43087.0,4268.0,93167.0
26,2008,1583.0,2759.0,3241.0,482.0,237.0,39.0,1018.0,7942.0,602.0,17903.0
27,2008,19289.0,6331.0,27355.0,2851.0,3372.0,470.0,11533.0,40208.0,3435.0,114844.0
28,2008,4859.0,2225.0,11571.0,212.0,610.0,346.0,4030.0,14942.0,1478.0,40273.0
29,2008,1019.0,753.0,2471.0,19.0,164.0,29.0,634.0,6641.0,568.0,12298.0
30,2008,16034.0,4299.0,10444.0,1415.0,1126.0,156.0,6011.0,17484.0,1174.0,58143.0
31,2008,14281.0,6884.0,18665.0,579.0,1210.0,278.0,6353.0,23310.0,2203.0,73763.0
32,2008,6983.0,2925.0,9093.0,373.0,654.0,205.0,3292.0,18568.0,1342.0,43435.0
33,2008,11135.0,5088.0,9049.0,340.0,926.0,132.0,3536.0,15389.0,1056.0,46651.0
34,2008,2046.0,3301.0,4990.0,23.0,468.0,84.0,1239.0,14258.0,981.0,27390.0
35,2008,13986.0,2679.0,4746.0,183.0,690.0,79.0,1713.0,6607.0,506.0,31189.0
36,2008,7042.0,4229.0,11320.0,174.0,747.0,104.0,4019.0,15781.0,1416.0,44832.0
37,2008,12720.0,3922.0,14759.0,381.0,1349.0,251.0,4911.0,30360.0,2435.0,71088.0
38,2008,41101.0,13418.0,31731.0,1188.0,2440.0,391.0,11879.0,42169.0,4056.0,148373.0
39,2008,14329.0,7119.0,16444.0,677.0,1311.0,180.0,4904.0,30233.0,2908.0,78105.0
40,2008,1938.0,649.0,1550.0,6.0,154.0,27.0,174.0,4797.0,460.0,9755.0
41,2008,1682.0,1406.0,2920.0,65.0,210.0,64.0,701.0,5524.0,345.0,12917.0
42,2008,9046.0,2375.0,5663.0,275.0,576.0,61.0,2573.0,11539.0,989.0,33097.0
1,2009,8999.0,4686.0,15189.0,814.0,1156.0,189.0,5833.0,26103.0,1743.0,64712.0
2,2009,57754.0,19933.0,101811.0,10277.0,14347.0,1463.0,55323.0,118847.0,13092.0,392847.0
3,2009,2464.0,415.0,3986.0,99.0,194.0,55.0,854.0,9280.0,790.0,18137.0
4,2009,2377.0,1704.0,4122.0,34.0,277.0,53.0,1373.0,7935.0,611.0,18486.0
5,2009,9205.0,2853.0,5660.0,175.0,534.0,97.0,1893.0,11753.0,764.0,32934.0
6,2009,987.0,1026.0,2393.0,11.0,164.0,21.0,480.0,5213.0,358.0,10653.0
7,2009,14359.0,4863.0,23901.0,1186.0,1493.0,426.0,9296.0,42419.0,4024.0,101967.0
8,2009,30632.0,18987.0,117832.0,33412.0,64059.0,3687.0,80415.0,238346.0,33434.0,620804.0
9,2009,25555.0,8179.0,26235.0,2149.0,2095.0,920.0,11855.0,49108.0,3625.0,129721.0
10,2009,27768.0,8321.0,21619.0,1552.0,2273.0,397.0,9486.0,35767.0,2843.0,110026.0
11,2009,1858.0,1863.0,4863.0,111.0,339.0,109.0,939.0,13421.0,1306.0,24809.0
12,2009,2134.0,1203.0,2445.0,38.0,259.0,19.0,515.0,4419.0,330.0,11362.0
13,2009,4355.0,1662.0,3433.0,82.0,402.0,72.0,1942.0,7909.0,651.0,20508.0
14,2009,2001.0,960.0,4276.0,64.0,318.0,220.0,1091.0,8000.0,703.0,17633.0
15,2009,38202.0,11988.0,40461.0,5176.0,6144.0,741.0,25056.0,83502.0,6908.0,218178.0
16,2009,22817.0,7925.0,81858.0,13068.0,3331.0,534.0,36508.0,43164.0,5144.0,214349.0
17,2009,31609.0,9803.0,31676.0,2883.0,2760.0,393.0,16756.0,58273.0,5029.0,159182.0
18,2009,4195.0,1880.0,4136.0,187.0,317.0,92.0,1612.0,11927.0,774.0,25120.0
19,2009,26951.0,11470.0,41272.0,3518.0,4822.0,946.0,17565.0,81811.0,7766.0,196121.0
20,2009,15065.0,5035.0,28364.0,3849.0,4842.0,356.0,16338.0,66283.0,4856.0,144988.0
21,2009,17063.0,5011.0,12706.0,200.0,1041.0,146.0,4790.0,21906.0,1493.0,64356.0
22,2009,25857.0,5624.0,28110.0,5402.0,1702.0,300.0,11639.0,34851.0,4097.0,117582.0
23,2009,1751.0,1531.0,3363.0,186.0,221.0,63.0,1072.0,8049.0,694.0,16930.0
24,2009,7490.0,3372.0,11567.0,1284.0,1074.0,440.0,4820.0,33370.0,3011.0,66428.0
25,2009,10764.0,5013.0,16267.0,2150.0,2684.0,372.0,8293.0,44182.0,3856.0,93581.0
26,2009,1559.0,2730.0,3260.0,438.0,219.0,36.0,990.0,8242.0,570.0,18044.0
27,2009,18961.0,6023.0,27243.0,2844.0,3361.0,464.0,11725.0,41608.0,3387.0,115616.0
28,2009,4518.0,2185.0,11243.0,244.0,573.0,387.0,3863.0,15073.0,1531.0,39617.0
29,2009,1130.0,785.0,2436.0,24.0,169.0,28.0,476.0,6765.0,559.0,12372.0
30,2009,15281.0,4157.0,10357.0,1365.0,1141.0,171.0,5962.0,18248.0,1148.0,57830.0
31,2009,13940.0,6980.0,18532.0,446.0,1204.0,288.0,6710.0,24154.0,2277.0,74531.0
32,2009,6783.0,3039.0,8686.0,435.0,637.0,185.0,3309.0,19643.0,1332.0,44049.0
33,2009,10636.0,5253.0,8596.0,358.0,974.0,145.0,3213.0,16193.0,1057.0,46425.0
34,2009,2019.0,2984.0,4871.0,27.0,438.0,79.0,1329.0,15010.0,958.0,27715.0
35,2009,13447.0,2811.0,4637.0,174.0,683.0,65.0,1534.0,6698.0,564.0,30613.0
36,2009,7151.0,3955.0,11261.0,130.0,732.0,114.0,3663.0,16424.0,1527.0,44957.0
37,2009,12137.0,3817.0,14891.0,419.0,1377.0,270.0,5206.0,30787.0,2382.0,71286.0
38,2009,38869.0,13674.0,31917.0,1266.0,2528.0,419.0,12427.0,43836.0,3916.0,148852.0
39,2009,12982.0,7160.0,16377.0,668.0,1307.0,206.0,5433.0,31088.0,2755.0,77976.0
40,2009,1951.0,628.0,1563.0,7.0,146.0,28.0,186.0,5114.0,379.0,10002.0
41,2009,1646.0,1386.0,2979.0,69.0,213.0,57.0,846.0,6105.0,286.0,13587.0
42,2009,8804.0,2402.0,5694.0,249.0,588.0,65.0,2429.0,11776.0,1095.0,33102.0
1,2010,8939.0,4780.0,15107.0,815.0,1160.0,210.0,6197.0,25993.0,1743.0,64944.0
2,2010,56186.0,20048.0,102694.0,10177.0,14115.0,2197.0,58657.0,119456.0,13940.0,397470.0
3,2010,2421.0,421.0,4011.0,81.0,211.0,53.0,1542.0,8663.0,794.0,18197.0
4,2010,2614.0,1703.0,4166.0,29.0,249.0,56.0,1632.0,7863.0,671.0,18983.0
5,2010,8743.0,2928.0,5705.0,181.0,572.0,101.0,2631.0,11703.0,728.0,33292.0
6,2010,1024.0,1029.0,2485.0,9.0,182.0,26.0,721.0,4992.0,353.0,10821.0
7,2010,13742.0,4974.0,24105.0,1275.0,1527.0,605.0,9644.0,43085.0,4112.0,103069.0
8,2010,29033.0,17024.0,119428.0,33292.0,63242.0,5186.0,89870.0,237317.0,34272.0,628664.0
9,2010,26242.0,8504.0,26652.0,2100.0,2004.0,940.0,14105.0,48745.0,3566.0,132858.0
10,2010,27891.0,8615.0,21701.0,1619.0,2261.0,426.0,12371.0,34383.0,3083.0,112350.0
11,2010,1845.0,1911.0,4946.0,94.0,345.0,127.0,1258.0,13442.0,1367.0,25335.0
12,2010,2035.0,1229.0,2517.0,40.0,247.0,22.0,723.0,4288.0,316.0,11417.0
13,2010,4618.0,1688.0,3472.0,79.0,349.0,105.0,2169.0,7872.0,661.0,21013.0
14,2010,2053.0,918.0,4317.0,159.0,301.0,274.0,1202.0,7732.0,719.0,17675.0
15,2010,38370.0,12128.0,40796.0,5196.0,6086.0,957.0,28657.0,82190.0,7019.0,221399.0
16,2010,21867.0,7611.0,81446.0,12916.0,3265.0,618.0,38567.0,43079.0,4792.0,214161.0
17,2010,31186.0,10089.0,32424.0,2936.0,2794.0,501.0,18988.0,58965.0,5083.0,162966.0
18,2010,4269.0,1890.0,4151.0,213.0,298.0,118.0,2612.0,11342.0,899.0,25792.0
19,2010,27092.0,11675.0,42663.0,3634.0,4807.0,1210.0,20378.0,81149.0,7948.0,200556.0
20,2010,15077.0,5058.0,28030.0,3618.0,4847.0,429.0,18100.0,66679.0,5059.0,146897.0
21,2010,16926.0,5016.0,12864.0,202.0,1020.0,168.0,4979.0,21250.0,1543.0,63968.0
22,2010,25502.0,5636.0,28549.0,5025.0,1740.0,357.0,12296.0,34391.0,4853.0,118349.0
23,2010,1772.0,1578.0,3438.0,174.0,223.0,76.0,1166.0,8061.0,677.0,17165.0
24,2010,7483.0,3331.0,11772.0,1339.0,1115.0,450.0,5655.0,33186.0,2656.0,66987.0
25,2010,11041.0,5085.0,16579.0,2002.0,2600.0,433.0,10636.0,45856.0,3945.0,98177.0
26,2010,1606.0,2797.0,3331.0,412.0,216.0,42.0,1355.0,8438.0,584.0,18781.0
27,2010,19038.0,5809.0,28381.0,3136.0,3887.0,553.0,13950.0,41334.0,3725.0,119813.0
28,2010,4450.0,2284.0,11201.0,202.0,567.0,581.0,3743.0,14947.0,1502.0,39477.0
29,2010,1116.0,819.0,2415.0,17.0,159.0,26.0,553.0,6886.0,565.0,12556.0
30,2010,15077.0,4225.0,10310.0,1266.0,1104.0,222.0,7102.0,17923.0,1199.0,58428.0
31,2010,14023.0,7464.0,18761.0,443.0,1209.0,325.0,7270.0,24131.0,2226.0,75852.0
32,2010,6478.0,3006.0,8696.0,400.0,681.0,201.0,3621.0,19466.0,1319.0,43868.0
33,2010,10356.0,5520.0,8838.0,345.0,947.0,159.0,3815.0,16242.0,1056.0,47278.0
34,2010,2074.0,3097.0,5138.0,28.0,456.0,89.0,1453.0,15222.0,1024.0,28581.0
35,2010,13128.0,2930.0,4709.0,182.0,646.0,76.0,2138.0,6544.0,563.0,30916.0
36,2010,6617.0,4204.0,10877.0,147.0,735.0,121.0,4324.0,16726.0,1609.0,45360.0
37,2010,12406.0,3966.0,15215.0,392.0,1355.0,302.0,5649.0,30976.0,2944.0,73205.0
38,2010,38558.0,14079.0,31725.0,1203.0,2486.0,395.0,13694.0,44444.0,3914.0,150498.0
39,2010,13623.0,7367.0,16282.0,648.0,1267.0,283.0,5922.0,30908.0,3139.0,79439.0
40,2010,1900.0,677.0,1676.0,8.0,142.0,30.0,372.0,5052.0,374.0,10231.0
41,2010,1672.0,1331.0,3026.0,59.0,217.0,82.0,1237.0,5837.0,318.0,13779.0
42,2010,8383.0,2524.0,5755.0,243.0,598.0,73.0,2801.0,11492.0,1047.0,32916.0
1,2011,8874.0,4871.0,14911.0,631.0,1151.0,223.0,6574.0,25446.0,1766.0,64447.0
2,2011,54940.0,20060.0,103235.0,10213.0,13917.0,2312.0,61367.0,117636.0,13819.0,397499.0
3,2011,2186.0,455.0,4116.0,81.0,186.0,55.0,1444.0,8606.0,788.0,17917.0
4,2011,2953.0,1744.0,4242.0,27.0,263.0,60.0,1837.0,7441.0,649.0,19216.0
5,2011,8328.0,2933.0,5974.0,183.0,551.0,98.0,2817.0,11448.0,696.0,33028.0
6,2011,987.0,1071.0,2481.0,11.0,190.0,27.0,889.0,4971.0,334.0,10961.0
7,2011,14133.0,5131.0,23880.0,1321.0,1528.0,647.0,10093.0,42695.0,4071.0,103499.0
8,2011,29379.0,16640.0,119438.0,32657.0,63144.0,5311.0,95494.0,235892.0,34721.0,632676.0
9,2011,26104.0,8440.0,27550.0,1972.0,1916.0,929.0,13372.0,48080.0,3580.0,131943.0
10,2011,27458.0,8848.0,21830.0,1631.0,2207.0,455.0,12576.0,33874.0,3146.0,112025.0
11,2011,1786.0,1882.0,5241.0,75.0,401.0,126.0,1259.0,13110.0,1397.0,25277.0
12,2011,1828.0,1288.0,2550.0,42.0,252.0,26.0,1022.0,4137.0,329.0,11474.0
13,2011,4802.0,1658.0,3549.0,60.0,349.0,89.0,2382.0,7784.0,666.0,21339.0
14,2011,2089.0,941.0,4534.0,155.0,296.0,280.0,1306.0,7458.0,729.0,17788.0
15,2011,38205.0,12495.0,40597.0,5116.0,5981.0,1001.0,30639.0,82218.0,6918.0,223170.0
16,2011,21160.0,7717.0,83464.0,12902.0,3497.0,669.0,40110.0,43129.0,4746.0,217394.0
17,2011,30970.0,10115.0,32634.0,2922.0,2853.0,528.0,20944.0,57483.0,5269.0,163718.0
