ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,side_lag_2,side_lag_3,growth_1y,growth_2y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1
1,2007,0,1394.0,1394.0,,,,,,0,0,0,1,0,0,
2,2007,1,6240.0,6240.0,,,,,,0,0,0,1,0,0,
3,2007,2,234.0,234.0,,,,,,0,0,0,1,0,0,
4,2007,3,389.0,389.0,,,,,,0,0,0,1,0,0,
5,2007,4,640.0,640.0,,,,,,0,0,0,1,0,0,
6,2007,5,232.0,232.0,,,,,,0,0,0,1,0,0,
7,2007,6,1791.0,1791.0,,,,,,0,0,0,1,0,0,
8,2007,7,8746.0,8746.0,,,,,,0,0,0,1,0,0,
9,2007,8,1936.0,1936.0,,,,,,0,0,0,1,0,0,
10,2007,9,1623.0,1623.0,,,,,,0,0,0,1,0,0,
11,2007,10,543.0,543.0,,,,,,0,0,0,1,0,0,
12,2007,11,301.0,301.0,,,,,,0,0,0,1,0,0,
13,2007,12,460.0,460.0,,,,,,0,0,0,1,0,0,
14,2007,13,378.0,378.0,,,,,,0,0,0,1,0,0,
15,2007,14,3524.0,3524.0,,,,,,0,0,0,1,0,0,
16,2007,15,2924.0,2924.0,,,,,,0,0,0,1,0,0,
17,2007,16,2572.0,2572.0,,,,,,0,0,0,1,0,0,
18,2007,17,518.0,518.0,,,,,,0,0,0,1,0,0,
19,2007,18,2995.0,2995.0,,,,,,0,0,0,1,0,0,
20,2007,19,2853.0,2853.0,,,,,,0,0,0,1,0,0,
21,2007,20,1329.0,1329.0,,,,,,0,0,0,1,0,0,
22,2007,21,1700.0,1700.0,,,,,,0,0,0,1,0,0,
23,2007,22,339.0,339.0,,,,,,0,0,0,1,0,0,
24,2007,23,989.0,989.0,,,,,,0,0,0,1,0,0,
25,2007,24,1607.0,1607.0,,,,,,0,0,0,1,0,0,
26,2007,25,331.0,331.0,,,,,,0,0,0,1,0,0,
27,2007,26,2482.0,2482.0,,,,,,0,0,0,1,0,0,
28,2007,27,828.0,828.0,,,,,,0,0,0,1,0,0,
29,2007,28,297.0,297.0,,,,,,0,0,0,1,0,0,
30,2007,29,865.0,865.0,,,,,,0,0,0,1,0,0,
31,2007,30,1370.0,1370.0,,,,,,0,0,0,1,0,0,
32,2007,31,852.0,852.0,,,,,,0,0,0,1,0,0,
33,2007,32,1081.0,1081.0,,,,,,0,0,0,1,0,0,
34,2007,33,659.0,659.0,,,,,,0,0,0,1,0,0,
35,2007,34,555.0,555.0,,,,,,0,0,0,1,0,0,
36,2007,35,1257.0,1257.0,,,,,,0,0,0,1,0,0,
37,2007,36,1055.0,1055.0,,,,,,0,0,0,1,0,0,
38,2007,37,2571.0,2571.0,,,,,,0,0,0,1,0,0,
39,2007,38,1434.0,1434.0,,,,,,0,0,0,1,0,0,
40,2007,39,204.0,204.0,,,,,,0,0,0,1,0,0,
41,2007,40,427.0,427.0,,,,,,0,0,0,1,0,0,
42,2007,41,607.0,607.0,,,,,,0,0,0,1,0,0,
1,2008,0,1302.0,1302.0,1394.0,,,-0.0659971305595408,,0,0,0,1,0,0,17319.0
2,2008,1,6166.0,6166.0,6240.0,,,-0.0118589743589743,,0,0,0,1,0,0,69004.0
3,2008,2,197.0,197.0,234.0,,,-0.1581196581196581,,0,0,0,1,0,0,2032.0
