zone_id,ZE2020
BE_alost,1
BE_anvers,2
BE_arlon,3
BE_ath,4
BE_audenarde,5
BE_bastogne,6
BE_bruges,7
BE_bruxelles_capitale,8
BE_charleroi,9
BE_courtrai,10
BE_dinant,11
BE_dixmude,12
BE_eeklo,13
BE_furnes,14
BE_gand,15
BE_hal_vilvorde,16
BE_hasselt,17
BE_huy,18
BE_liege,19
BE_louvain,20
BE_maaseik,21
BE_malines,22
BE_marche_en_famenne,23
BE_mons,24
BE_namur,25
BE_neufchateau,26
BE_nivelles,27
BE_ostende,28
BE_philippeville,29
BE_roulers,30
BE_saint_nicolas,31
BE_soignies,32
BE_termonde,33
BE_thuin,34
BE_tielt,35
BE_tongres,36
BE_tournai_mouscron,37
BE_turnhout,38
BE_verviers,39
BE_virton,40
BE_waremme,41
BE_ypres,42
