ZE2020,target_year,BE,FZ,GI,JZ,KZ,LZ,MN,OQ,RU,total
1,2010,8.6,1.9,11.4,0.2,0.7,0.4,5.6,17.5,1.3,47.599999999999994
2,2010,3.7,0.6,4.2,0.0,0.4,0.1,1.8,5.2,0.3,16.3
3,2010,19.3,7.8,34.1,7.8,4.2,1.5,31.7,73.3,5.3,185.0
4,2010,14.9,6.0,27.6,2.2,7.1,1.0,16.1,52.900000000000006,3.6,131.4
5,2010,6.2,2.3,10.4,0.3,1.0,0.3,4.1,12.2,1.7,38.5
6,2010,12.4,4.8,21.8,1.1,1.6,1.2,13.1,28.7,3.7,88.4
7,2010,6.6,3.1,17.3,0.8,2.2,0.6,8.6,31.8,3.3,74.3
8,2010,10.6,3.8,13.7,0.8,1.1,0.7,9.4,19.3,1.6,61.00000000000001
9,2010,7.7,2.9,13.3,0.6,1.9,0.4,7.0,23.0,1.6,58.4
10,2010,22.7,11.5,42.7,2.4,5.4,1.1,26.8,61.2,5.0,178.8
11,2010,9.5,3.1,15.3,1.8,1.3,0.7,13.6,21.900000000000002,2.7,69.9
12,2010,44.0,17.6,68.1,5.4,6.1,2.4,39.4,85.3,8.2,276.5
13,2010,32.3,17.1,77.1,8.0,11.5,2.6,44.0,112.0,11.5,316.1
14,2010,29.3,9.7,44.2,2.1,3.0,1.3,18.8,50.3,4.6,163.29999999999998
15,2010,33.0,12.4,75.5,6.4,8.8,3.1,56.2,119.3,13.6,328.30000000000007
16,2010,12.4,6.1,30.3,2.6,2.1,0.9,18.5,24.7,2.9,100.50000000000001
17,2010,42.2,32.0,158.8,39.5,35.7,7.2,115.0,202.9,32.6,665.9
18,2010,12.6,9.5,38.9,1.1,3.6,1.3,15.2,54.9,3.8,140.9
19,2010,8.6,4.1,26.8,2.3,4.1,1.0,13.4,33.9,3.8,97.99999999999999
20,2010,15.4,3.9,19.6,0.6,1.4,0.7,8.6,20.5,2.5,73.20000000000002
21,2010,6.4,2.6,20.9,2.6,2.0,0.8,15.3,30.5,5.6,86.69999999999999
22,2010,8.5,4.8,17.6,0.7,0.9,0.7,9.4,14.5,1.6,58.7
23,2010,43.6,20.3,228.5,41.6,61.7,10.1,196.3,202.4,31.6,836.1
24,2010,7.8,2.8,26.6,12.5,3.2,1.5,16.8,30.2,5.3,106.7
25,2010,16.8,7.0,46.3,3.3,4.9,1.4,24.0,62.5,6.3,172.5
26,2010,15.2,12.2,75.5,18.5,15.3,4.1,80.7,159.3,25.3,406.1
27,2010,8.1,6.0,27.4,3.5,2.0,1.1,25.2,40.6,3.0,116.9
28,2010,11.1,8.4,36.3,3.4,3.3,1.0,17.5,39.9,3.8,124.7
29,2010,58.3,35.8,182.3,15.0,21.4,7.4,121.1,202.20000000000002,25.2,668.7
30,2010,23.9,16.5,51.9,3.0,3.6,1.8,24.1,45.7,4.2,174.7
31,2010,7.7,2.7,13.4,0.2,1.0,0.3,4.7,12.4,0.8,43.199999999999996
32,2010,14.9,5.4,30.2,0.9,2.3,1.0,14.1,38.6,3.8,111.2
33,2010,42.9,15.7,79.2,3.9,7.1,2.6,48.2,85.8,8.3,293.70000000000005
34,2010,25.1,9.8,57.7,2.1,8.3,1.7,42.7,65.3,8.9,221.6
35,2010,45.9,18.6,83.2,7.0,9.1,2.4,47.8,91.0,9.5,314.5
36,2010,60.6,17.4,88.8,11.7,11.9,2.9,77.1,104.1,10.6,385.1
37,2010,22.8,4.1,38.9,1.1,2.2,0.8,19.1,43.1,4.0,136.1
38,2010,17.6,5.0,26.5,1.1,2.0,0.6,13.8,31.6,2.8,101.00000000000001
39,2010,33.6,9.5,65.0,6.0,8.3,2.6,39.4,88.9,7.8,261.09999999999997
40,2010,14.2,5.3,44.3,3.9,2.4,1.0,25.0,51.0,5.5,152.60000000000002
1,2011,8.7,1.9,11.4,0.2,0.9,0.4,5.4,17.799999999999997,1.2,47.9
2,2011,3.8,0.7,4.3,0.0,0.4,0.1,1.8,5.4,0.3,16.8
3,2011,18.6,7.1,34.4,7.8,4.6,1.5,30.7,74.60000000000001,5.2,184.5
4,2011,14.7,5.6,27.8,2.3,7.7,0.9,16.2,52.7,3.6,131.5
5,2011,5.9,2.1,10.5,0.3,1.1,0.3,4.5,11.7,1.7,38.10000000000001
6,2011,12.5,4.8,22.0,1.0,1.8,1.0,13.0,29.099999999999998,3.7,88.89999999999999
7,2011,7.0,0.0,17.1,0.9,2.4,0.6,8.6,29.3,3.3,69.2
8,2011,10.7,3.9,15.2,0.0,0.0,0.6,10.0,18.3,0.0,58.7
9,2011,7.6,2.8,13.7,0.6,2.2,0.4,8.6,23.2,1.6,60.699999999999996
10,2011,22.6,11.0,45.4,2.4,5.6,1.1,26.9,61.400000000000006,4.6,181.0
11,2011,9.7,3.0,15.7,1.7,1.4,0.6,14.0,21.900000000000002,2.7,70.7
12,2011,44.2,17.2,70.3,5.4,7.2,2.3,37.9,89.3,8.4,282.2
13,2011,32.3,16.8,79.0,8.0,13.8,2.3,44.6,111.2,11.6,319.6
14,2011,29.2,9.0,44.4,2.0,3.8,1.2,20.1,50.5,4.8,165.0
