ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,growth_1y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1
1,2015,0,885.0,885.0,,,0,0,0,1,0,0,
2,2015,1,300.0,300.0,,,0,0,0,1,0,0,
3,2015,2,3470.0,3470.0,,,0,0,0,1,0,0,
4,2015,3,2565.0,2565.0,,,0,0,0,1,0,0,
5,2015,4,1090.0,1090.0,,,0,0,0,1,0,0,
6,2015,5,1465.0,1465.0,,,0,0,0,1,0,0,
7,2015,6,1430.0,1430.0,,,0,0,0,1,0,0,
8,2015,7,1215.0,1215.0,,,0,0,0,1,0,0,
9,2015,8,1030.0,1030.0,,,0,0,0,1,0,0,
10,2015,9,2960.0,2960.0,,,0,0,0,1,0,0,
11,2015,10,1240.0,1240.0,,,0,0,0,1,0,0,
12,2015,11,5090.0,5090.0,,,0,0,0,1,0,0,
13,2015,12,5905.0,5905.0,,,0,0,0,1,0,0,
14,2015,13,3110.0,3110.0,,,0,0,0,1,0,0,
15,2015,14,6680.0,6680.0,,,0,0,0,1,0,0,
16,2015,15,2120.0,2120.0,,,0,0,0,1,0,0,
17,2015,16,14625.0,14625.0,,,0,0,0,1,0,0,
18,2015,17,3030.0,3030.0,,,0,0,0,1,0,0,
19,2015,18,2275.0,2275.0,,,0,0,0,1,0,0,
20,2015,19,1630.0,1630.0,,,0,0,0,1,0,0,
21,2015,20,2945.0,2945.0,,,0,0,0,1,0,0,
22,2015,21,1455.0,1455.0,,,0,0,0,1,0,0,
23,2015,22,21365.0,21365.0,,,0,0,0,1,0,0,
24,2015,23,3120.0,3120.0,,,0,0,0,1,0,0,
25,2015,24,3850.0,3850.0,,,0,0,0,1,0,0,
26,2015,25,9880.0,9880.0,,,0,0,0,1,0,0,
27,2015,26,2140.0,2140.0,,,0,0,0,1,0,0,
28,2015,27,2885.0,2885.0,,,0,0,0,1,0,0,
29,2015,28,13805.0,13805.0,,,0,0,0,1,0,0,
30,2015,29,3400.0,3400.0,,,0,0,0,1,0,0,
31,2015,30,800.0,800.0,,,0,0,0,1,0,0,
32,2015,31,2135.0,2135.0,,,0,0,0,1,0,0,
33,2015,32,5635.0,5635.0,,,0,0,0,1,0,0,
34,2015,33,4140.0,4140.0,,,0,0,0,1,0,0,
35,2015,34,6110.0,6110.0,,,0,0,0,1,0,0,
36,2015,35,6930.0,6930.0,,,0,0,0,1,0,0,
37,2015,36,1975.0,1975.0,,,0,0,0,1,0,0,
38,2015,37,1790.0,1790.0,,,0,0,0,1,0,0,
39,2015,38,4355.0,4355.0,,,0,0,0,1,0,0,
40,2015,39,4140.0,4140.0,,,0,0,0,1,0,0,
1,2016,0,915.0,915.0,885.0,0.0338983050847457,0,0,0,1,0,0,11030.0
