ZE2020,target_year,BE,FZ,GI,JZ,KZ,LZ,MN,OQ,RU,total
1,2008,133.0,400.0,811.0,39.0,0.0,56.0,795.0,583.0,198.0,3015.0
2,2008,488.0,497.0,1587.0,86.0,0.0,124.0,1777.0,978.0,344.0,5881.0
3,2008,597.0,405.0,1767.0,43.0,0.0,97.0,1423.0,898.0,318.0,5548.0
4,2008,1490.0,1553.0,7525.0,405.0,0.0,511.0,11995.0,4369.0,2009.0,29857.0
5,2008,42.0,107.0,335.0,8.0,0.0,19.0,241.0,248.0,70.0,1070.0
6,2008,501.0,550.0,1444.0,27.0,0.0,87.0,941.0,751.0,214.0,4515.0
7,2008,94.0,180.0,711.0,22.0,0.0,23.0,628.0,622.0,149.0,2429.0
8,2008,57.0,118.0,431.0,11.0,0.0,17.0,352.0,427.0,56.0,1469.0
9,2008,210.0,1941.0,2919.0,102.0,0.0,367.0,3465.0,1228.0,894.0,11126.0
10,2008,196.0,639.0,1648.0,67.0,0.0,121.0,1937.0,898.0,400.0,5906.0
11,2008,276.0,494.0,1407.0,82.0,0.0,78.0,2109.0,875.0,366.0,5687.0
12,2008,214.0,578.0,1678.0,95.0,0.0,92.0,2649.0,1381.0,456.0,7143.0
13,2008,226.0,461.0,1234.0,66.0,0.0,79.0,1474.0,691.0,322.0,4553.0
14,2008,113.0,279.0,930.0,31.0,0.0,43.0,1025.0,715.0,196.0,3332.0
15,2008,37.0,79.0,269.0,9.0,0.0,15.0,272.0,241.0,73.0,995.0
16,2008,120.0,274.0,902.0,31.0,0.0,62.0,878.0,616.0,266.0,3149.0
17,2008,104.0,189.0,753.0,27.0,0.0,29.0,685.0,624.0,160.0,2571.0
18,2008,1319.0,4229.0,12278.0,1327.0,0.0,1286.0,29214.0,6782.0,5563.0,61998.0
19,2008,49.0,149.0,408.0,12.0,0.0,29.0,440.0,460.0,138.0,1685.0
20,2008,59.0,125.0,475.0,14.0,0.0,20.0,481.0,517.0,87.0,1778.0
21,2008,124.0,296.0,1043.0,44.0,0.0,59.0,1142.0,664.0,305.0,3677.0
22,2008,52.0,113.0,429.0,12.0,0.0,13.0,406.0,464.0,101.0,1590.0
23,2008,97.0,176.0,686.0,21.0,0.0,43.0,803.0,647.0,204.0,2677.0
24,2008,118.0,929.0,751.0,48.0,0.0,49.0,1177.0,751.0,367.0,4190.0
25,2008,95.0,240.0,936.0,30.0,0.0,60.0,1310.0,475.0,306.0,3452.0
1,2009,132.0,290.0,751.0,23.0,0.0,46.0,649.0,681.0,156.0,2728.0
2,2009,376.0,366.0,1387.0,54.0,0.0,92.0,1491.0,1159.0,286.0,5211.0
3,2009,450.0,296.0,1486.0,38.0,0.0,73.0,1041.0,934.0,266.0,4584.0
4,2009,1103.0,1032.0,6221.0,317.0,0.0,390.0,9469.0,4373.0,1601.0,24506.0
5,2009,37.0,64.0,291.0,6.0,0.0,18.0,189.0,280.0,75.0,960.0
6,2009,336.0,416.0,1300.0,22.0,0.0,63.0,813.0,914.0,213.0,4077.0
7,2009,65.0,127.0,581.0,19.0,0.0,16.0,588.0,650.0,114.0,2160.0
8,2009,46.0,88.0,368.0,11.0,0.0,12.0,297.0,435.0,64.0,1321.0
9,2009,177.0,1223.0,2322.0,80.0,0.0,202.0,2850.0,1137.0,721.0,8712.0
10,2009,192.0,434.0,1283.0,55.0,0.0,81.0,1561.0,837.0,343.0,4786.0
11,2009,224.0,384.0,1282.0,46.0,0.0,60.0,1678.0,919.0,302.0,4895.0
12,2009,175.0,380.0,1396.0,77.0,0.0,68.0,2121.0,1487.0,363.0,6067.0
13,2009,160.0,355.0,980.0,41.0,0.0,80.0,1201.0,693.0,268.0,3778.0
14,2009,83.0,231.0,775.0,19.0,0.0,27.0,826.0,730.0,165.0,2856.0
15,2009,26.0,62.0,224.0,7.0,0.0,11.0,256.0,260.0,52.0,898.0
16,2009,95.0,198.0,783.0,26.0,0.0,51.0,807.0,582.0,210.0,2752.0
17,2009,88.0,170.0,614.0,30.0,0.0,22.0,638.0,760.0,139.0,2461.0
18,2009,1072.0,2940.0,10051.0,993.0,0.0,991.0,23311.0,6418.0,4363.0,50139.0
19,2009,37.0,94.0,322.0,8.0,0.0,19.0,329.0,356.0,113.0,1278.0
20,2009,57.0,92.0,397.0,10.0,0.0,15.0,364.0,499.0,94.0,1528.0
21,2009,103.0,200.0,845.0,30.0,0.0,50.0,1005.0,697.0,227.0,3157.0
22,2009,43.0,71.0,359.0,14.0,0.0,18.0,355.0,378.0,91.0,1329.0
23,2009,58.0,147.0,578.0,22.0,0.0,29.0,671.0,620.0,172.0,2297.0
24,2009,100.0,438.0,623.0,38.0,0.0,18.0,1008.0,659.0,293.0,3177.0
25,2009,69.0,170.0,668.0,31.0,0.0,67.0,1036.0,510.0,269.0,2820.0
1,2010,117.0,319.0,672.0,27.0,0.0,47.0,621.0,567.0,149.0,2519.0
2,2010,307.0,407.0,1363.0,69.0,0.0,103.0,1335.0,1021.0,276.0,4881.0
3,2010,431.0,288.0,1467.0,34.0,0.0,72.0,1052.0,840.0,250.0,4434.0
4,2010,1008.0,929.0,5839.0,337.0,0.0,406.0,8992.0,4068.0,1495.0,23074.0
5,2010,26.0,67.0,300.0,9.0,0.0,9.0,177.0,249.0,65.0,902.0
6,2010,358.0,424.0,1248.0,21.0,0.0,69.0,818.0,738.0,203.0,3879.0
7,2010,60.0,139.0,545.0,14.0,0.0,18.0,537.0,525.0,100.0,1938.0
8,2010,40.0,88.0,366.0,6.0,0.0,12.0,278.0,420.0,72.0,1282.0
9,2010,145.0,745.0,2083.0,71.0,0.0,191.0,2538.0,1117.0,625.0,7515.0
10,2010,156.0,370.0,1337.0,52.0,0.0,89.0,1589.0,756.0,314.0,4663.0
11,2010,200.0,353.0,1168.0,50.0,0.0,54.0,1647.0,783.0,303.0,4558.0
12,2010,148.0,392.0,1258.0,50.0,0.0,113.0,2060.0,1204.0,352.0,5577.0
13,2010,169.0,297.0,958.0,43.0,0.0,68.0,1238.0,629.0,226.0,3628.0
14,2010,88.0,233.0,768.0,19.0,0.0,32.0,876.0,675.0,176.0,2867.0
15,2010,28.0,51.0,217.0,5.0,0.0,16.0,342.0,203.0,50.0,912.0
16,2010,76.0,174.0,662.0,37.0,0.0,52.0,754.0,495.0,168.0,2418.0
17,2010,58.0,151.0,590.0,11.0,0.0,17.0,660.0,616.0,124.0,2227.0
18,2010,893.0,2171.0,8752.0,1008.0,0.0,1006.0,21222.0,5953.0,3718.0,44723.0
19,2010,41.0,86.0,277.0,10.0,0.0,12.0,354.0,460.0,118.0,1358.0
20,2010,29.0,57.0,382.0,4.0,0.0,5.0,386.0,434.0,78.0,1375.0
21,2010,85.0,156.0,785.0,28.0,0.0,43.0,943.0,610.0,213.0,2863.0
