ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,growth_1y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1
1,2008,0,3015.0,3015.0,,,0,0,0,1,0,0,
2,2008,1,5881.0,5881.0,,,0,0,0,1,0,0,
3,2008,2,5548.0,5548.0,,,0,0,0,1,0,0,
4,2008,3,29857.0,29857.0,,,0,0,0,1,0,0,
5,2008,4,1070.0,1070.0,,,0,0,0,1,0,0,
6,2008,5,4515.0,4515.0,,,0,0,0,1,0,0,
7,2008,6,2429.0,2429.0,,,0,0,0,1,0,0,
8,2008,7,1469.0,1469.0,,,0,0,0,1,0,0,
9,2008,8,11126.0,11126.0,,,0,0,0,1,0,0,
10,2008,9,5906.0,5906.0,,,0,0,0,1,0,0,
11,2008,10,5687.0,5687.0,,,0,0,0,1,0,0,
12,2008,11,7143.0,7143.0,,,0,0,0,1,0,0,
13,2008,12,4553.0,4553.0,,,0,0,0,1,0,0,
14,2008,13,3332.0,3332.0,,,0,0,0,1,0,0,
15,2008,14,995.0,995.0,,,0,0,0,1,0,0,
16,2008,15,3149.0,3149.0,,,0,0,0,1,0,0,
17,2008,16,2571.0,2571.0,,,0,0,0,1,0,0,
18,2008,17,61998.0,61998.0,,,0,0,0,1,0,0,
19,2008,18,1685.0,1685.0,,,0,0,0,1,0,0,
20,2008,19,1778.0,1778.0,,,0,0,0,1,0,0,
21,2008,20,3677.0,3677.0,,,0,0,0,1,0,0,
22,2008,21,1590.0,1590.0,,,0,0,0,1,0,0,
23,2008,22,2677.0,2677.0,,,0,0,0,1,0,0,
24,2008,23,4190.0,4190.0,,,0,0,0,1,0,0,
25,2008,24,3452.0,3452.0,,,0,0,0,1,0,0,
1,2009,0,2728.0,2728.0,3015.0,-0.0951907131011608,0,0,0,1,0,0,24573.0
2,2009,1,5211.0,5211.0,5881.0,-0.1139262030266961,0,0,0,1,0,0,43294.0
3,2009,2,4584.0,4584.0,5548.0,-0.1737563085796683,0,0,0,1,0,0,39572.0
4,2009,3,24506.0,24506.0,29857.0,-0.1792209532103024,0,0,0,1,0,0,205304.0
5,2009,4,960.0,960.0,1070.0,-0.102803738317757,0,0,0,1,0,0,8816.0
6,2009,5,4077.0,4077.0,4515.0,-0.0970099667774086,0,0,0,1,0,0,35107.0
7,2009,6,2160.0,2160.0,2429.0,-0.1107451626183614,0,0,0,1,0,0,19651.0
8,2009,7,1321.0,1321.0,1469.0,-0.1007488087134104,0,0,0,1,0,0,12405.0
9,2009,8,8712.0,8712.0,11126.0,-0.2169692611900054,0,0,0,1,0,0,67602.0
