source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,0.55426455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32645795,0.0,0.0,0.0,0.0,0.0,0.0,0.028250292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051656473,0.0,0.0,0.0,0.0,0.0,0.011162516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02820817
1,0.0,0.5665651,0.0,0.0,0.0,0.0,0.0,0.0,0.085972466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035762195,0.0,0.0,0.0,0.0,0.0,0.0,0.074659705,0.0,0.0,0.0,0.0,0.0,0.039123617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1979168,0.0,0.0
2,0.0,0.0,0.698344,0.0,0.0,0.0,0.030646602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055881947,0.0,0.0,0.0,0.121590056,0.06479763,0.0,0.0,0.0,0.0,0.0,0.028739778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.84405446,0.0,0.0,0.0,0.0,0.053916324,0.0,0.0,0.0,0.04738487,0.0,0.0,0.017883869,0.0,0.0,0.0,0.0,0.0,0.02392152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012838917,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.590109,0.0,0.0,0.05623714,0.029490206,0.0,0.04427341,0.0,0.0,0.0,0.0,0.015164214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26472604,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.5706829,0.0,0.0,0.08873866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02565035,0.0,0.0,0.062018655,0.0,0.0,0.0,0.0,0.06253209,0.0,0.19037737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.087477975,0.0,0.0,0.0,0.7177893,0.0,0.020388681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025283922,0.0,0.12566085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023399254,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7138802,0.03819749,0.0,0.091467515,0.0,0.0,0.0,0.0,0.03334538,0.0,0.0,0.045527283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0775822,0.0,0.0,0.0,0.0,0.0
8,0.037477378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85439193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07696704,0.0,0.0,0.0,0.0,0.0,0.009070179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147319725,0.0,0.007361521
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06455272,0.48212665,0.0,0.0,0.0,0.0,0.0,0.08492107,0.0,0.0,0.03170931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067546725,0.0,0.0,0.26914352
