source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,0.4759566,0.023752479,0.0,0.0,0.018156616,0.0,0.0,0.2231501,0.0,0.0,0.0,0.0,0.0,0.0,0.08852419,0.11564788,0.0,0.0,0.0,0.0,0.0,0.008624819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009223766,0.0,0.036963515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.80415916,0.0,0.0,0.0,0.0,0.0,0.051238045,0.0,0.0,0.0,0.0,0.0,0.0,0.011567703,0.026331779,0.006281094,0.0,0.0,0.008542703,0.0,0.045055617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018448604,0.0,0.0,0.0,0.0,0.0,0.0,0.028375277,0.0,0.0,0.0,0.0
2,0.0,0.0,0.79174095,0.0,0.0,0.051396318,0.0,0.031788472,0.0066349776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017132105,0.0,0.0,0.0,0.0,0.0,0.01832046,0.021390375,0.006337889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055258468,0.0,0.0
3,0.0,0.0,0.0,0.4343757,0.034917872,0.0,0.0,0.15351598,0.018814342,0.0,0.0,0.0,0.0,0.0,0.0,0.023171006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10320457,0.0,0.0,0.022945106,0.0,0.0,0.0,0.0,0.06551134,0.0,0.0,0.0,0.0,0.14354406,0.0,0.0,0.0,0.0,0.0
4,0.06009828,0.019491334,0.0,0.0,0.54847133,0.0,0.0,0.08528487,0.0,0.059604827,0.0,0.0,0.0,0.0,0.1829677,0.024652014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009725107,0.0,0.009704545,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.054860167,0.0,0.0,0.70953435,0.0,0.024533294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045061152,0.0,0.0,0.0,0.040626563,0.0,0.012874615,0.060439166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043273013,0.008797653,0.0,0.0
6,0.0,0.022422045,0.0,0.0,0.0,0.0,0.7683859,0.04767475,0.0,0.017198272,0.0,0.0,0.0,0.0,0.048415903,0.010393971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04240633,0.0,0.029279923,0.0,0.0,0.0,0.0,0.013822909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.014474316,0.0,0.0,0.0,0.0,0.0,0.8394489,0.007232771,0.0,0.0,0.0,0.0,0.0,0.0060775164,0.07562091,0.0,0.0,0.0,0.008911546,0.0,0.005887411,0.0,0.0,0.005524749,0.0,0.036821913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10397505,0.6527294,0.0,0.0,0.0,0.0,0.0,0.0,0.019637171,0.0,0.0,0.010000893,0.0,0.0,0.0,0.0,0.021229574,0.04742983,0.0,0.07802036,0.0,0.0,0.0,0.0,0.03594815,0.0,0.031029556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.022964202,0.0,0.016334914,0.032981794,0.0,0.7445427,0.0,0.0,0.0,0.0,0.05384022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051431146,0.0,0.0,0.0,0.0,0.033423744,0.0,0.025147965,0.0,0.0,0.0,0.0,0.019333258
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07025307,0.01925167,0.0,0.56758785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018915283,0.0,0.0,0.0,0.058841795,0.0,0.18410702,0.042695235,0.025643015,0.0,0.012705066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.10380688,0.018080333,0.0,0.02347104,0.0,0.50186044,0.0,0.07532677,0.0257609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07232133,0.0,0.12203033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057341855
12,0.0,0.023456383,0.0,0.0,0.0,0.0,0.06965293,0.024441196,0.0,0.005103107,0.0,0.0,0.52126294,0.0,0.3298517,0.008176907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011996777,0.0,0.006058074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.022583604,0.0,0.0,0.0,0.0,0.043092217,0.04970323,0.0,0.0,0.0,0.033344593,0.0,0.70969456,0.029242871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058630507,0.0,0.021666748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032041695
14,0.0,0.03564162,0.0,0.0,0.0,0.0,0.018698867,0.076471336,0.0,0.0225746,0.0,0.0,0.024514826,0.0,0.75753784,0.022314958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022362165,0.0,0.019883776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
