source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,0.024515828,0.024003047,0.024113532,0.024397131,0.02367204,0.024286607,0.024458976,0.023396876,0.024462877,0.023638781,0.023662968,0.02429753,0.023708226,0.02440786,0.024182048,0.020816838,0.024390075,0.02418463,0.02442932,0.024015432,0.02364027,0.023766546,0.024218017,0.023706475,0.024022771,0.023792876,0.024158143,0.024372064,0.023680883,0.02339474,0.023958387,0.024336204,0.023734506,0.023517232,0.018742219,0.024485169,0.024200788,0.023476437,0.02425882,0.023780491,0.024412034,0.023304313
1,0.024613185,0.025138998,0.02365016,0.024190957,0.023577422,0.023715977,0.024477398,0.023869507,0.024388812,0.024183115,0.022688597,0.02407694,0.023800079,0.024519304,0.024594873,0.023101587,0.024827212,0.023866069,0.024369482,0.023874177,0.023907129,0.024591751,0.023679662,0.022891797,0.023625601,0.022980683,0.024841778,0.024430346,0.022699265,0.024210604,0.024553753,0.023926657,0.023802673,0.022400634,0.019242464,0.024684763,0.023779655,0.02393887,0.023922466,0.022910818,0.024105674,0.023349117
2,0.024553988,0.02348518,0.024963632,0.024528105,0.023177007,0.024685943,0.024758082,0.023923371,0.024601858,0.022810709,0.024691623,0.024119051,0.023238374,0.0246355,0.023956671,0.01983441,0.02416596,0.024310654,0.024744136,0.02463787,0.022952532,0.02312924,0.024823615,0.024714094,0.024713892,0.024198756,0.023766993,0.02462553,0.02472677,0.022430377,0.02327359,0.02476709,0.023061756,0.024566794,0.017003082,0.024406545,0.024471126,0.022592753,0.024269711,0.024335692,0.02459838,0.022749573
3,0.024390066,0.023584457,0.024081139,0.02450873,0.023984341,0.024346026,0.024335217,0.022878272,0.024458686,0.023761095,0.02365598,0.024370044,0.023878623,0.0242885,0.024024902,0.020100782,0.024252674,0.024273274,0.024307156,0.023768004,0.023874875,0.023778675,0.024165882,0.023680115,0.023886364,0.023732385,0.024076344,0.024286298,0.02368663,0.023350343,0.023930194,0.024322825,0.023956131,0.02353343,0.019541316,0.024354577,0.024401968,0.023686958,0.02442682,0.024058655,0.024367288,0.023653926
4,0.024099782,0.023408433,0.023172537,0.024424799,0.024958817,0.023931812,0.023852658,0.021842944,0.024319291,0.024757154,0.02269213,0.024490723,0.024813741,0.023664761,0.024265354,0.019319946,0.024309514,0.02447015,0.023882715,0.023084367,0.024880053,0.024290467,0.023520248,0.022890216,0.023244955,0.023188569,0.024338892,0.023645917,0.022768684,0.024446843,0.024165016,0.02394856,0.02491203,0.02262212,0.0224077,0.024065524,0.024498675,0.024760794,0.024630431,0.02412949,0.024013055,0.024870088
5,0.024464512,0.0232975,0.024420708,0.02453147,0.023679247,0.024695413,0.02445365,0.02323379,0.02450203,0.02323822,0.024344781,0.024476936,0.023574814,0.024364674,0.023888206,0.019405682,0.024094485,0.024352776,0.02448358,0.02411944,0.023400383,0.023206627,0.024599243,0.024234502,0.02430104,0.024416413,0.023703024,0.024364207,0.02434079,0.022787506,0.023607517,0.024603965,0.023664942,0.024283865,0.018270297,0.024377653,0.024449922,0.023128375,0.024484117,0.024309497,0.024651235,0.02319296
6,0.024515882,0.023926165,0.024370532,0.0243989,0.023483811,0.024332302,0.024572866,0.023696091,0.024501635,0.023405561,0.023937,0.024155827,0.023601254,0.024457915,0.024205867,0.020572577,0.02437032,0.024239387,0.024550537,0.02428566,0.023417883,0.023622092,0.024380067,0.024032146,0.024284916,0.0238163,0.024103059,0.024414051,0.023962254,0.023183819,0.023689026,0.02445849,0.023485491,0.023780253,0.018181294,0.024432436,0.024270417,0.023190446,0.024220368,0.02393469,0.024407024,0.0231533
7,0.024657132,0.02453165,0.02475973,0.024117578,0.02261093,0.024307206,0.024914501,0.025836358,0.02452709,0.022764271,0.024510518,0.023799205,0.023161039,0.024567243,0.024633832,0.020882666,0.024542175,0.024195997,0.025016986,0.025372881,0.0225274,0.023221249,0.024775878,0.024713648,0.025150329,0.024124334,0.024172455,0.02442867,0.024478044,0.022899136,0.023090525,0.024683798,0.022691116,0.024306247,0.015789334,0.02443498,0.024070183,0.022228729,0.023903169,0.023806397,0.024463383,0.02233204
8,0.024416512,0.02373916,0.024114752,0.024419399,0.02384238,0.02427775,0.024398431,0.023229368,0.024469363,0.023689482,0.023693427,0.024256825,0.02386354,0.024269514,0.02418339,0.02017812,0.024325805,0.024296805,0.024395678,0.024002548,0.023747994,0.023742171,0.024203459,0.023804639,0.024049342,0.023715924,0.024124332,0.024241753,0.023737501,0.023419362,0.02377962,0.024357507,0.023820233,0.023571592,0.01915784,0.024338013,0.024349142,0.023534914,0.024333617,0.024021596,0.02433849,0.023548614
9,0.024176164,0.024119768,0.02291078,0.024308296,0.024870561,0.023593666,0.023882078,0.022091812,0.024274025,0.025073148,0.022109767,0.024360618,0.024844985,0.023768669,0.024502754,0.020805335,0.024582673,0.024268372,0.02384922,0.022988206,0.025026007,0.024792278,0.023205858,0.022388663,0.022997972,0.022707703,0.024744555,0.023715634,0.022175904,0.024925997,0.024558041,0.023705548,0.024933692,0.02194499,0.02263381,0.024216466,0.024223754,0.025032612,0.024419516,0.023573976,0.02384092,0.024855254
