source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,0.16790114,0.16696726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16725188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16570075,0.0,0.0,0.0,0.0,0.0,0.0,0.16626291,0.0,0.0,0.0,0.0,0.16591604,0.0,0.0
1,0.16739812,0.16833444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1656694,0.0,0.16606823,0.16608109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16644874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.16827548,0.0,0.0,0.0,0.1655447,0.0,0.0,0.0,0.0,0.16627811,0.0,0.0,0.0,0.0,0.0,0.16619118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1672879,0.0,0.0,0.0,0.0,0.0,0.16642265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.16710308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666117,0.0,0.0,0.0,0.16695122,0.0,0.0,0.0,0.0,0.0,0.16617124,0.0,0.0,0.16651341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16659988
4,0.0,0.0,0.0,0.0,0.16813587,0.0,0.0,0.0,0.0,0.0,0.1655084,0.0,0.16608773,0.0,0.0,0.0,0.0,0.0,0.0,0.16627908,0.0,0.16689181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16709708,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.16728932,0.1666946,0.0,0.0,0.0,0.0,0.1667614,0.0,0.16697572,0.0,0.0,0.0,0.16596204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16631693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.1668885,0.16748391,0.0,0.0,0.0,0.0,0.16664766,0.0,0.16623342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16602843,0.0,0.0,0.0,0.0,0.0,0.16671807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16845645,0.0,0.0,0.16655329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16604486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16648242,0.0,0.0,0.0,0.0,0.0,0.16630875,0.0,0.0,0.1661542,0.0,0.0,0.0
8,0.0,0.0,0.0,0.165602,0.0,0.0,0.0,0.0,0.17102589,0.0,0.0,0.0,0.0,0.0,0.0,0.16648467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1649236,0.0,0.0,0.0,0.0,0.0,0.16400596,0.16795787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16721065,0.0,0.0,0.0,0.0,0.0,0.16567604,0.0,0.0,0.1671136,0.0,0.0,0.0,0.16678041,0.0,0.0,0.0,0.0,0.0,0.0,0.16617961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16703966,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16733196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16671233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16668034,0.0,0.16622111,0.0,0.0,0.0,0.16703263,0.0,0.0,0.0,0.0,0.0,0.16602163
11,0.0,0.0,0.0,0.0,0.0,0.16655216,0.16624518,0.0,0.0,0.0,0.0,0.1670794,0.0,0.16655564,0.0,0.0,0.0,0.16680232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16676527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1672414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16644117,0.0,0.0,0.0,0.16660476,0.0,0.0,0.0,0.0,0.0,0.16668245,0.0,0.0,0.0,0.0,0.0,0.16671662,0.0,0.0,0.0,0.1663136
13,0.0,0.0,0.0,0.0,0.0,0.16700672,0.16607109,0.0,0.0,0.0,0.0,0.16679585,0.0,0.16732037,0.0,0.0,0.0,0.1664162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16638975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.16673616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16738342,0.0,0.0,0.0,0.0,0.0,0.16627294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16652483,0.0,0.1666813,0.0,0.0,0.0,0.0,0.0,0.0,0.1664014
15,0.0,0.0,0.0,0.1661136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16735105,0.0,0.0,0.0,0.16631994,0.0,0.0,0.16666244,0.0,0.0,0.0,0.0,0.0,0.0,0.16651429,0.1670387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.16619729,0.16675414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16902971,0.16586615,0.0,0.0,0.16647385,0.0,0.0,0.0,0.0,0.16567883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.16608621,0.16570891,0.0,0.0,0.0,0.0,0.16713682,0.0,0.16650979,0.0,0.0,0.0,0.16741447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1671438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
