source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,0.11145622,0.0,0.0,0.110916585,0.0,0.0,0.111197755,0.0,0.11121549,0.0,0.0,0.0,0.0,0.11096536,0.0,0.0,0.11088451,0.0,0.11106292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11131684,0.0,0.0,0.0,0.0,0.11098434,0.0
1,0.11068791,0.113052554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110265724,0.11060556,0.0,0.111650415,0.0,0.0,0.0,0.0,0.11059153,0.0,0.0,0.0,0.0,0.11171592,0.0,0.0,0.0,0.110420644,0.0,0.0,0.0,0.0,0.111009814,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.11199328,0.0,0.0,0.0,0.11107113,0.0,0.0,0.0,0.11077298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11100857,0.0,0.0,0.0,0.11136514,0.110873796,0.11087289,0.0,0.0,0.0,0.11093067,0.0,0.0,0.111111544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.11105363,0.0,0.0,0.11159393,0.0,0.110853106,0.0,0.0,0.11136607,0.0,0.0,0.110962465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11089204,0.111107826,0.0,0.11122098,0.0,0.11094991,0.0
4,0.0,0.0,0.0,0.0,0.11188192,0.0,0.0,0.0,0.0,0.11097793,0.0,0.0,0.111231595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11152885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111672185,0.0,0.0,0.0,0.109819256,0.11099425,0.11040987,0.0,0.0,0.11148418
5,0.0,0.0,0.0,0.11098807,0.0,0.1117298,0.0,0.0,0.11085488,0.0,0.0,0.11074135,0.0,0.0,0.0,0.0,0.0,0.0,0.1107714,0.0,0.0,0.0,0.1112947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11131606,0.0,0.0,0.0,0.0,0.0,0.0,0.11077383,0.0,0.11152993,0.0
6,0.1112786,0.0,0.0,0.0,0.0,0.0,0.111537255,0.0,0.11121394,0.0,0.0,0.0,0.0,0.11101549,0.0,0.0,0.0,0.0,0.1114359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11081639,0.0,0.0,0.0,0.11101809,0.0,0.0,0.0,0.110899836,0.0,0.0,0.0,0.0,0.110784486,0.0
7,0.0,0.0,0.10993375,0.0,0.0,0.0,0.11062094,0.114714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11107597,0.112656154,0.0,0.0,0.110005446,0.10972915,0.11166801,0.0,0.0,0.0,0.0,0.0,0.0,0.10959661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.1112458,0.0,0.0,0.11125896,0.0,0.0,0.11116343,0.0,0.11148661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11115088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11097697,0.0,0.0,0.0,0.11088815,0.11093886,0.0,0.0,0.0,0.11089032,0.0
9,0.0,0.0,0.0,0.0,0.11085384,0.0,0.0,0.0,0.0,0.11175682,0.0,0.0,0.11073984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111546695,0.11050491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111100934,0.0,0.0,0.11113523,0.0,0.0,0.0,0.0,0.11157614,0.0,0.0,0.0,0.11078561
10,0.0,0.0,0.11063628,0.0,0.0,0.11026693,0.0,0.0,0.0,0.0,0.111855075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11117688,0.11139533,0.110744156,0.0,0.0,0.0,0.11179016,0.0,0.0,0.11036592,0.0,0.11176924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.1108913,0.0,0.0,0.11125445,0.0,0.110897735,0.0,0.0,0.11091575,0.0,0.0,0.11188759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11089778,0.11052918,0.0,0.11146167,0.0,0.11126455,0.0
