country,nuts3_id,year,nace_r2,enterprise_births,active_enterprises,enterprise_deaths,employment
FR,FR101,2020,B-E,,,889.0,
FR,FR101,2020,B-S_X_O_S94,,,38821.0,
FR,FR101,2020,F,,,1426.0,
FR,FR101,2020,G,,,4095.0,
FR,FR101,2020,H,,,2856.0,
FR,FR101,2020,I,,,1439.0,
FR,FR101,2020,J,,,3505.0,
FR,FR101,2020,K_L,,,2554.0,
FR,FR101,2020,M_N,,,14636.0,
FR,FR101,2020,P_Q,,,3957.0,
FR,FR101,2020,R_S_X_S94,,,3464.0,
FR,FR101,2021,B-E,1413.0,10474.0,1123.0,590894.0
FR,FR101,2021,B-S_X_O_S94,65206.0,404859.0,45879.0,3165656.0
FR,FR101,2021,F,2615.0,14768.0,1867.0,75534.0
FR,FR101,2021,G,6376.0,41610.0,4747.0,367037.0
FR,FR101,2021,H,4335.0,14582.0,4196.0,375570.0
FR,FR101,2021,I,1750.0,19668.0,1160.0,158352.0
FR,FR101,2021,J,6257.0,35765.0,4371.0,360421.0
FR,FR101,2021,K_L,6765.0,42769.0,2492.0,418632.0
FR,FR101,2021,M_N,24542.0,145565.0,17707.0,573505.0
FR,FR101,2021,P_Q,6181.0,44723.0,4416.0,177598.0
FR,FR101,2021,R_S_X_S94,4972.0,34935.0,3800.0,68114.0
FR,FR101,2022,B-E,1285.0,10654.0,1056.0,578520.0
FR,FR101,2022,B-S_X_O_S94,63839.0,431436.0,46397.0,3248258.0
FR,FR101,2022,F,2463.0,15497.0,2043.0,108379.0
FR,FR101,2022,G,5776.0,43613.0,5048.0,421424.0
FR,FR101,2022,H,2582.0,13331.0,3256.0,362534.0
FR,FR101,2022,I,2385.0,21452.0,1512.0,189754.0
FR,FR101,2022,J,6555.0,38490.0,4258.0,297661.0
FR,FR101,2022,K_L,6798.0,47647.0,2962.0,394819.0
FR,FR101,2022,M_N,24842.0,155266.0,16881.0,625868.0
FR,FR101,2022,P_Q,5703.0,46694.0,4499.0,195023.0
FR,FR101,2022,R_S_X_S94,5450.0,38792.0,4882.0,74275.0
FR,FR101,2023,B-E,1330.0,10766.0,1039.0,611812.0
FR,FR101,2023,B-S_X_O_S94,63928.0,439969.0,48417.0,3360752.0
FR,FR101,2023,F,2392.0,15614.0,1629.0,106968.0
FR,FR101,2023,G,5945.0,44129.0,4262.0,441125.0
FR,FR101,2023,H,2864.0,13003.0,2616.0,364307.0
FR,FR101,2023,I,1655.0,20958.0,1246.0,210473.0
FR,FR101,2023,J,6797.0,40655.0,4887.0,325351.0
FR,FR101,2023,K_L,6153.0,48470.0,4710.0,403531.0
FR,FR101,2023,M_N,25172.0,160120.0,18436.0,608712.0
FR,FR101,2023,P_Q,6238.0,47537.0,5535.0,218712.0
FR,FR101,2023,R_S_X_S94,5382.0,38717.0,4057.0,69762.0
FR,FR102,2020,B-E,,,328.0,
FR,FR102,2020,B-S_X_O_S94,,,8417.0,
FR,FR102,2020,F,,,959.0,
FR,FR102,2020,G,,,1563.0,
FR,FR102,2020,H,,,1009.0,
FR,FR102,2020,I,,,306.0,
FR,FR102,2020,J,,,457.0,
FR,FR102,2020,K_L,,,420.0,
FR,FR102,2020,M_N,,,1689.0,
FR,FR102,2020,P_Q,,,836.0,
FR,FR102,2020,R_S_X_S94,,,850.0,
FR,FR102,2021,B-E,639.0,4356.0,439.0,34300.0
