source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.55518395,0.025083613,0.20401338,0.0066889636,0.0016722409,0.0050167227,0.06354515,0.06187291,0.010033445,0.0066889636,0.0,0.0066889636,0.0050167227,0.0016722409,0.0033444818,0.0,0.010033445,0.0016722409,0.0016722409,0.0,0.0,0.0,0.010033445,0.0,0.0,0.0016722409,0.0,0.0016722409,0.0033444818,0.0033444818,0.0,0.0,0.0016722409,0.0016722409,0.0016722409,0.0016722409,0.0,0.0,0.0,0.0033444818
1,0.057591625,0.45549735,0.40837696,0.005235602,0.0,0.005235602,0.020942409,0.005235602,0.005235602,0.005235602,0.0,0.005235602,0.005235602,0.0,0.0,0.0,0.005235602,0.0,0.0,0.0,0.0,0.0,0.005235602,0.0,0.0,0.0,0.0,0.0,0.005235602,0.005235602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.026919242,0.020937188,0.7382851,0.022931205,0.0024925224,0.026420739,0.06929212,0.006480558,0.009471585,0.007976072,0.000997009,0.0044865403,0.003988036,0.000997009,0.0034895313,0.000997009,0.012961116,0.0024925224,0.0004985045,0.0004985045,0.0004985045,0.0004985045,0.014955134,0.000997009,0.000997009,0.002991027,0.0004985045,0.000997009,0.003988036,0.001994018,0.0,0.0,0.000997009,0.000997009,0.000997009,0.0014955135,0.0004985045,0.0,0.0004985045,0.0034895313
3,0.001305483,0.001305483,0.044386424,0.7108355,0.043733682,0.095953,0.0058746734,0.0019582247,0.0039164494,0.007180157,0.0006527415,0.0032637077,0.0045691906,0.0006527415,0.002610966,0.0006527415,0.010443864,0.011749347,0.0019582247,0.001305483,0.0006527415,0.0006527415,0.016318537,0.001305483,0.001305483,0.0039164494,0.0006527415,0.001305483,0.0045691906,0.002610966,0.0,0.0,0.001305483,0.001305483,0.0006527415,0.001305483,0.0,0.0,0.0006527415,0.007180157
4,0.0015151516,0.0,0.012121213,0.13030304,0.5863637,0.11363637,0.0030303032,0.0015151516,0.004545455,0.013636364,0.0015151516,0.0030303032,0.007575758,0.0,0.0030303032,0.0015151516,0.015151516,0.013636364,0.0030303032,0.0015151516,0.0015151516,0.0015151516,0.021212121,0.0015151516,0.0015151516,0.0030303032,0.0015151516,0.0015151516,0.004545455,0.0030303032,0.0,0.0,0.0015151516,0.0015151516,0.0015151516,0.0015151516,0.0,0.0,0.0,0.03636364
5,0.0011248594,0.0011248594,0.058492687,0.104611926,0.044994377,0.6017998,0.03374578,0.0033745782,0.030371204,0.031496063,0.0011248594,0.0033745782,0.0067491564,0.0011248594,0.0033745782,0.0011248594,0.013498313,0.0022497189,0.0022497189,0.0011248594,0.0,0.0,0.015748031,0.0011248594,0.0011248594,0.0033745782,0.0011248594,0.0011248594,0.0033745782,0.0022497189,0.0,0.0,0.0011248594,0.0011248594,0.0022497189,0.0022497189,0.0,0.0,0.0,0.01687289
6,0.02414929,0.00439078,0.25356755,0.00878156,0.00219539,0.02634468,0.5225028,0.028540067,0.045005493,0.015367729,0.001097695,0.005488475,0.005488475,0.001097695,0.003293085,0.001097695,0.01317234,0.00219539,0.001097695,0.001097695,0.001097695,0.0,0.012074645,0.001097695,0.001097695,0.003293085,0.0,0.001097695,0.003293085,0.00219539,0.0,0.0,0.001097695,0.001097695,0.00219539,0.001097695,0.0,0.0,0.0,0.003293085
7,0.049479164,0.0013020833,0.03125,0.0065104165,0.0013020833,0.005208333,0.06640624,0.6380208,0.05989583,0.05078125,0.0026041665,0.015625,0.009114583,0.0013020833,0.00390625,0.0013020833,0.014322916,0.0013020833,0.0013020833,0.0013020833,0.0,0.0,0.013020833,0.0013020833,0.0013020833,0.0026041665,0.0,0.0026041665,0.0026041665,0.0026041665,0.0,0.0,0.0013020833,0.0013020833,0.0026041665,0.0026041665,0.0,0.0,0.0,0.00390625
8,0.0015552101,0.0,0.018662522,0.0062208404,0.0031104202,0.02021773,0.05132193,0.029548991,0.55832046,0.2006221,0.0062208404,0.01088647,0.02021773,0.0015552101,0.0031104202,0.0015552101,0.017107312,0.0015552101,0.0,0.0,0.0,0.0015552101,0.012441681,0.0015552101,0.0015552101,0.0046656304,0.0,0.0015552101,0.0046656304,0.0015552101,0.0,0.0,0.0015552101,0.0015552101,0.0015552101,0.0031104202,0.0,0.0,0.0,0.01088647
9,0.0005042865,0.0005042865,0.006051438,0.003025719,0.002017146,0.011094303,0.0055471514,0.009077156,0.047402926,0.68734246,0.02269289,0.031770047,0.06454867,0.003025719,0.0055471514,0.001008573,0.02269289,0.001008573,0.0005042865,0.0005042865,0.0005042865,0.0005042865,0.014624308,0.0025214322,0.001008573,0.0035300052,0.0005042865,0.001008573,0.004034292,0.002017146,0.0,0.0,0.0015128595,0.002017146,0.002017146,0.0025214322,0.0005042865,0.0,0.0005042865,0.034795765
10,0.0,0.0,0.0024875624,0.0012437812,0.0,0.0012437812,0.0012437812,0.0012437812,0.0037313437,0.10820896,0.5360697,0.06094528,0.14925374,0.038557217,0.019900499,0.0024875624,0.03109453,0.0,0.0,0.0,0.0012437812,0.0,0.012437812,0.0024875624,0.0,0.0037313437,0.0012437812,0.0012437812,0.0037313437,0.0012437812,0.0,0.0,0.0012437812,0.0024875624,0.0024875624,0.0024875624,0.0,0.0,0.0012437812,0.0049751247
11,0.0003137747,0.0,0.0018826482,0.0003137747,0.0003137747,0.0006275494,0.0012550988,0.0018826482,0.0025101977,0.025415752,0.022591777,0.8484468,0.019140257,0.022591777,0.005961719,0.0009413241,0.013178537,0.0009413241,0.0003137747,0.0003137747,0.0006275494,0.0003137747,0.009727015,0.0009413241,0.0006275494,0.0018826482,0.0006275494,0.0009413241,0.003137747,0.0012550988,0.0,0.0003137747,0.0015688735,0.0012550988,0.0018826482,0.0018826482,0.0006275494,0.0003137747,0.0012550988,0.0018826482
12,0.00028595942,0.0,0.0011438377,0.00085787824,0.00057191885,0.00057191885,0.00057191885,0.00028595942,0.0022876754,0.042607952,0.0197312,0.0062911073,0.65398914,0.012010295,0.040034316,0.0060051475,0.13297112,0.00057191885,0.00028595942,0.00028595942,0.00085787824,0.00057191885,0.021160997,0.006863026,0.001429797,0.00486131,0.00085787824,0.0017157565,0.005433229,0.0022876754,0.0,0.00028595942,0.0017157565,0.0017157565,0.004289391,0.0031455536,0.00057191885,0.00028595942,0.00085787824,0.0197312
13,0.0,0.0,0.0010050251,0.00050251256,0.00050251256,0.00050251256,0.00050251256,0.0010050251,0.0015075377,0.0065326625,0.027135678,0.05075377,0.059296478,0.69045216,0.09798994,0.0020100502,0.019597989,0.00050251256,0.00050251256,0.00050251256,0.00050251256,0.00050251256,0.01005025,0.0015075377,0.0010050251,0.0025125626,0.00050251256,0.0010050251,0.004522613,0.0025125626,0.0,0.0,0.0015075377,0.0025125626,0.0040201005,0.0025125626,0.00050251256,0.00050251256,0.0010050251,0.0020100502
14,0.0,0.0,0.0008060183,0.00026867274,0.00026867274,0.00026867274,0.00026867274,0.00026867274,0.0008060183,0.0029554004,0.004030091,0.004298764,0.057495967,0.031703386,0.7125202,0.021225147,0.04809242,0.00026867274,0.0005373455,0.0005373455,0.0008060183,0.00026867274,0.018807093,0.002149382,0.0013433638,0.0037614184,0.0008060183,0.0018807092,0.005910801,0.0034927456,0.0,0.00026867274,0.0024180547,0.004298764,0.042181622,0.0112842545,0.009134874,0.0008060183,0.002149382,0.0016120366
15,0.0,0.0,0.000789266,0.0,0.0,0.0,0.0,0.0,0.000789266,0.001578532,0.000789266,0.001578532,0.021310182,0.001578532,0.04340963,0.54696137,0.18153118,0.000789266,0.000789266,0.0,0.000789266,0.0,0.020520916,0.00394633,0.001578532,0.004735596,0.001578532,0.003157064,0.012628256,0.026835045,0.0,0.000789266,0.006314128,0.021310182,0.0765588,0.012628256,0.000789266,0.000789266,0.001578532,0.001578532
16,0.00014330754,0.00014330754,0.0011464603,0.00042992263,0.00028661508,0.00028661508,0.00028661508,0.00042992263,0.00057323015,0.0022929206,0.00085984526,0.0020063056,0.03840642,0.0014330754,0.010031528,0.013900831,0.71367157,0.0007165377,0.00057323015,0.0007165377,0.0020063056,0.0011464603,0.09343651,0.027085125,0.0044425335,0.014474062,0.0020063056,0.011607911,0.015907137,0.009028375,0.0,0.00028661508,0.0030094583,0.005015764,0.006878762,0.005302379,0.00042992263,0.00028661508,0.0014330754,0.007881914
17,0.0,0.00053908356,0.0010781671,0.0016172507,0.0010781671,0.00053908356,0.00053908356,0.00053908356,0.00053908356,0.0016172507,0.00053908356,0.0010781671,0.0032345015,0.00053908356,0.0016172507,0.0010781671,0.012938006,0.6539084,0.10566038,0.018328842,0.006469003,0.016172506,0.12884097,0.0026954177,0.0026954177,0.0053908355,0.0053908355,0.0016172507,0.006469003,0.0021563342,0.0,0.00053908356,0.0016172507,0.0010781671,0.0016172507,0.0016172507,0.00053908356,0.0,0.0,0.008086253
18,0.0,0.0,0.00082034466,0.00082034466,0.00082034466,0.0,0.0,0.0,0.00082034466,0.00082034466,0.0,0.0016406893,0.0016406893,0.0,0.002461034,0.00082034466,0.014766203,0.08531584,0.56111574,0.07219033,0.017227236,0.032813784,0.168991,0.004101723,0.004101723,0.0073831016,0.0016406893,0.0016406893,0.0065627573,0.0016406893,0.0,0.0,0.0016406893,0.0016406893,0.0016406893,0.002461034,0.0,0.0,0.0,0.002461034
19,0.0,0.0,0.00101833,0.00101833,0.0,0.0,0.0,0.0,0.0,0.00101833,0.0,0.00101833,0.00203666,0.0,0.00203666,0.00101833,0.01731161,0.01221996,0.06008147,0.45010185,0.12525459,0.042769857,0.23523423,0.00407332,0.0101833,0.0101833,0.00203666,0.00203666,0.0071283095,0.00203666,0.0,0.0,0.00203666,0.00203666,0.00101833,0.00203666,0.0,0.0,0.0,0.00305499
20,0.0,0.0,0.0009345795,0.0009345795,0.0,0.0,0.0,0.0,0.0,0.0009345795,0.0,0.0009345795,0.0028037387,0.0,0.001869159,0.0009345795,0.029906545,0.0056074774,0.007476636,0.047663555,0.39252338,0.011214955,0.39813086,0.008411216,0.026168225,0.030841123,0.003738318,0.0028037387,0.012149533,0.0009345795,0.0,0.0009345795,0.0009345795,0.001869159,0.001869159,0.0028037387,0.0,0.0,0.0009345795,0.003738318
