source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.7957138,0.0,0.0,0.0,0.0,0.0,0.019357068,0.0,0.0,0.06325613,0.0,0.0,0.016591772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029726928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0753543,0.0,0.0,0.0
1,0.0,0.7122093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0741279,0.0,0.0,0.0,0.056686047,0.0,0.0,0.0,0.0,0.05523256,0.0,0.0,0.0,0.0,0.0,0.0,0.034883723,0.0,0.0,0.0,0.06686046
2,0.0,0.0,0.57384986,0.0,0.0,0.0,0.07845036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047457624,0.0338983,0.0,0.2174334,0.0,0.0,0.0,0.0,0.0,0.0,0.048910413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.5984252,0.0,0.0,0.0,0.0,0.0,0.0,0.034995623,0.018372703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18022747,0.07699038,0.0,0.0,0.0,0.09098862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.040268455,0.0,0.6493288,0.0,0.016778523,0.12583892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023489932,0.0,0.1442953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.6428572,0.0,0.0,0.0,0.0,0.0,0.0,0.12454213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0879121,0.012820514,0.0,0.0,0.0,0.0,0.0,0.012820514,0.0,0.0,0.11904763,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.79035074,0.0,0.016029203,0.017616251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02999524,0.0,0.0,0.10347563,0.0,0.0,0.0,0.0,0.0,0.0,0.042532932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.051413886,0.0,0.0,0.68766075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038560413,0.0,0.0,0.0,0.03598972,0.0,0.0,0.0,0.11953729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06683805,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.03142477,0.0,0.66684425,0.10359521,0.0,0.0,0.0,0.042077236,0.0,0.0,0.0,0.0,0.08202397,0.0,0.0,0.0,0.0,0.0,0.0,0.074034624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.025172679,0.0,0.07260169,0.7892556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039140444,0.0,0.038986955,0.0,0.0,0.0,0.0,0.034842674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.023136247,0.0,0.0,0.0218509,0.0,0.0,0.0,0.42416453,0.0218509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46401027,0.044987146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
