source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.58657247,0.02650177,0.21554771,0.0,0.0,0.0,0.067137815,0.06537103,0.0106007075,0.0,0.0,0.0070671383,0.0,0.0,0.0,0.0,0.0106007075,0.0,0.0,0.0,0.0,0.0,0.0106007075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.059459463,0.47027025,0.42162162,0.0,0.0,0.0,0.021621622,0.0,0.0,0.0054054055,0.0,0.0054054055,0.0054054055,0.0,0.0,0.0,0.0054054055,0.0,0.0,0.0,0.0,0.0,0.0054054055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.028571429,0.02222222,0.7835979,0.024338624,0.0,0.02804233,0.07354497,0.0,0.01005291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013756612,0.0,0.0,0.0,0.0,0.0,0.015873015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.046831954,0.74999994,0.04614325,0.10123967,0.0,0.0,0.0,0.007575758,0.0,0.0,0.0,0.0,0.0,0.0,0.011019283,0.012396693,0.0,0.0,0.0,0.0,0.017217629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007575758
4,0.0,0.0,0.012861736,0.13826367,0.6221865,0.12057877,0.0,0.0,0.0,0.014469452,0.0,0.0,0.0,0.0,0.0,0.0,0.01607717,0.014469452,0.0,0.0,0.0,0.0,0.022508038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03858521
5,0.0,0.0,0.062350117,0.11151079,0.04796163,0.6414868,0.03597122,0.0,0.0323741,0.03357314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01678657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01798561
6,0.025670946,0.0,0.26954493,0.0,0.0,0.028004669,0.5554259,0.03033839,0.047841307,0.016336055,0.0,0.0,0.0,0.0,0.0,0.0,0.014002334,0.0,0.0,0.0,0.0,0.0,0.012835473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.05270458,0.0,0.033287104,0.0,0.0,0.0,0.07073509,0.6796117,0.063800275,0.054091543,0.0,0.016643552,0.0,0.0,0.0,0.0,0.015256588,0.0,0.0,0.0,0.0,0.0,0.013869626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.020100502,0.0,0.0,0.021775544,0.05527638,0.031825796,0.60134006,0.2160804,0.0,0.0,0.021775544,0.0,0.0,0.0,0.01842546,0.0,0.0,0.0,0.0,0.0,0.013400335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.011840689,0.0,0.0,0.05059203,0.7335845,0.024219591,0.033907425,0.06889129,0.0,0.0,0.0,0.024219591,0.0,0.0,0.0,0.0,0.0,0.015608181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037136704
