source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.025916321,0.02518539,0.025122838,0.025628299,0.025466084,0.02562394,0.02543997,0.025615094,0.025065493,0.025620602,0.025311086,0.0254424,0.025432028,0.025559323,0.025315646,0.024209635,0.02453808,0.025594017,0.025349524,0.025207128,0.02501549,0.024786353,0.021961477,0.023843331,0.025440788,0.024270687,0.02431995,0.024853365,0.024544789,0.02449766,0.024933577,0.025585622,0.024944171,0.024344444,0.025139082,0.024628578,0.024750322,0.025476573,0.025423428,0.024597388
1,0.025232337,0.02596463,0.023588717,0.024793562,0.025826456,0.025478477,0.024197951,0.025603287,0.0246679,0.025385901,0.025212036,0.025594682,0.025138,0.025883315,0.024551995,0.025263013,0.02407724,0.025015151,0.025054565,0.025913365,0.024356388,0.025587667,0.022835432,0.023691393,0.024924811,0.0225876,0.024113309,0.025111318,0.02477928,0.02521665,0.025897142,0.025490478,0.025425587,0.024961539,0.025655335,0.025264323,0.025561482,0.02582109,0.02511054,0.025166057
2,0.025462043,0.023862727,0.02626624,0.025990272,0.024618361,0.025453823,0.026112914,0.025244312,0.025645938,0.025534952,0.025452409,0.025113117,0.025619844,0.024609827,0.02603263,0.023833724,0.02551571,0.025584327,0.025515752,0.023755742,0.025802452,0.024153927,0.023038113,0.024670007,0.025835846,0.026051676,0.025317613,0.02487843,0.025037283,0.024231499,0.02320591,0.025227502,0.02482188,0.024492951,0.024607029,0.02396375,0.02431971,0.02474191,0.025709016,0.024668913
3,0.02537029,0.02449829,0.025385864,0.025655413,0.025021093,0.025445921,0.02556429,0.025328752,0.025283989,0.025503498,0.025311911,0.025251258,0.025509357,0.025000304,0.025547998,0.024291879,0.025104012,0.025497518,0.025462653,0.024411632,0.025387831,0.024664273,0.022965169,0.024314556,0.025579048,0.024968768,0.024831112,0.025035387,0.024978086,0.024543049,0.024046252,0.025380218,0.024994643,0.024632603,0.024927638,0.024216231,0.024665877,0.025100715,0.025499007,0.024823569
4,0.025198271,0.025507307,0.024034947,0.025009742,0.025643775,0.025438815,0.02459659,0.025480974,0.024723401,0.025407247,0.025220893,0.02546592,0.025256984,0.025600886,0.024810733,0.025011461,0.024436865,0.025197301,0.025247723,0.025458235,0.024756948,0.025401013,0.022924969,0.024014987,0.02513257,0.023287771,0.024240447,0.025181266,0.024868049,0.025000246,0.02533381,0.025497735,0.025294626,0.024874246,0.025436478,0.024791073,0.025290148,0.025621446,0.025183888,0.025120288
5,0.025149724,0.024960423,0.024649935,0.025228988,0.02523339,0.025436694,0.024905767,0.025418915,0.025152871,0.025410734,0.02534041,0.025379727,0.025349436,0.025233831,0.025180735,0.024773024,0.024780782,0.025124896,0.025199926,0.02489869,0.02494192,0.024992216,0.023239436,0.024111554,0.025263667,0.024097506,0.024769401,0.025035892,0.024997843,0.02493253,0.024626656,0.025276534,0.02521927,0.024927964,0.02523321,0.024773743,0.025074506,0.025289308,0.025362594,0.025025427
6,0.025521005,0.024229862,0.025847109,0.025906531,0.024937186,0.02545621,0.025998872,0.02527748,0.025305722,0.025561411,0.025295855,0.025153382,0.025595166,0.024867509,0.025786651,0.023978971,0.025262492,0.025763625,0.025644137,0.024119945,0.02573449,0.024487793,0.02269952,0.024470095,0.025797538,0.025525138,0.024841487,0.025042547,0.024952855,0.024252564,0.023688363,0.025470573,0.02485228,0.02443128,0.024712212,0.023790097,0.024431676,0.025000148,0.025580315,0.0247299
7,0.025186596,0.025128145,0.02449134,0.025158321,0.025321005,0.025464974,0.024775712,0.025482785,0.025127217,0.025417034,0.02534305,0.025433058,0.025317885,0.025345752,0.025093077,0.024854159,0.024633925,0.025069047,0.025127718,0.025083458,0.02479434,0.025062785,0.023141446,0.023943413,0.02518598,0.02385601,0.024706956,0.025006175,0.024947349,0.02501968,0.024841037,0.025280345,0.02525607,0.024956957,0.025317289,0.024940135,0.025159577,0.025369097,0.025333792,0.025027312
8,0.024821017,0.024381854,0.02505748,0.025292007,0.024742465,0.025377193,0.024979338,0.02530546,0.025663547,0.02532673,0.025462562,0.02527531,0.025388716,0.02477668,0.025494693,0.02475683,0.025166916,0.024836432,0.025060609,0.024268568,0.025045894,0.024643965,0.024047285,0.024199432,0.025311809,0.024787992,0.025476433,0.02490299,0.025290709,0.025031146,0.023854442,0.024921903,0.0252675,0.025236487,0.025071781,0.024913587,0.025032789,0.024900086,0.025538323,0.025091106
9,0.02514485,0.024868153,0.024726933,0.02528447,0.025200477,0.025409121,0.025007105,0.025369452,0.025101261,0.025435079,0.025311224,0.025364447,0.025397945,0.025177402,0.0252,0.02474835,0.024856184,0.025239782,0.025289064,0.024781562,0.025031984,0.025017036,0.023201542,0.024212435,0.025317932,0.02419421,0.024740072,0.02514564,0.025025329,0.024917768,0.024529649,0.025335439,0.025187727,0.024858437,0.02520207,0.024552917,0.024982661,0.0252697,0.025340145,0.025024429
