source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.16719094,0.0,0.16680595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1663829,0.0,0.0,0.16674379,0.0,0.0,0.0,0.0,0.0,0.0,0.16647655,0.0,0.0,0.0,0.0,0.16639987,0.0,0.0,0.0
1,0.0,0.1670863,0.0,0.0,0.0,0.16634087,0.0,0.16696952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16676025,0.0,0.1666552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16618781,0.0
2,0.16689429,0.0,0.16727948,0.0,0.0,0.0,0.0,0.0,0.0,0.16673873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1663877,0.0,0.0,0.0,0.0,0.16628824,0.0,0.0,0.0,0.0,0.0,0.0,0.16641152,0.0,0.0,0.0
3,0.0,0.0,0.0,0.16724959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16681598,0.0,0.0,0.16656442,0.0,0.0,0.0,0.0,0.0,0.0,0.16628946,0.0,0.0,0.0,0.0,0.0,0.0,0.16651551,0.0,0.16656503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.1661599,0.0,0.0,0.1672215,0.1670759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1662692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1663316,0.16694182,0.0
5,0.0,0.16634382,0.0,0.0,0.16694379,0.16708927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16633847,0.0,0.0,0.0,0.0,0.16644749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16683719,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.16853645,0.0,0.0,0.16648747,0.0,0.16651616,0.0,0.16607246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16624013,0.16614734,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.16683665,0.0,0.0,0.0,0.0,0.0,0.16695334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16657944,0.0,0.16678296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16638063,0.0,0.166467,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16927688,0.0,0.0,0.16560686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16619243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16474634,0.0,0.0,0.0,0.0,0.0,0.16628338,0.0,0.1678941,0.0,0.0,0.0,0.0
9,0.16667381,0.0,0.16704184,0.0,0.0,0.0,0.0,0.0,0.0,0.16758355,0.0,0.0,0.0,0.0,0.165824,0.16621295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666383,0.0,0.0,0.0
10,0.16644257,0.0,0.0,0.0,0.0,0.16639423,0.0,0.0,0.0,0.0,0.16763432,0.0,0.0,0.0,0.0,0.16645558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16653317,0.0,0.1665401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.16669212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16774511,0.0,0.1670673,0.0,0.0,0.0,0.0,0.0,0.16603932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16599557,0.0,0.0,0.0,0.0,0.0,0.16646054,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.1660087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16962072,0.0,0.16570629,0.0,0.0,0.0,0.0,0.0,0.0,0.16601549,0.0,0.0,0.16609031,0.0,0.0,0.0,0.0,0.0,0.0,0.16655853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.16667217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16710539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166608,0.0,0.0,0.0,0.0,0.16658027,0.1665038,0.16653027,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16659239,0.0,0.0,0.0,0.0,0.0,0.0,0.16722538,0.0,0.0,0.0,0.0,0.0,0.0,0.16658375,0.0,0.16641107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16651882,0.0,0.16666865,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.16655327,0.16645749,0.0,0.0,0.0,0.0,0.0,0.16636921,0.16656162,0.0,0.0,0.0,0.0,0.1677411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16631731,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.16659237,0.16632503,0.16652602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16727766,0.0,0.0,0.0,0.0,0.0,0.0,0.16662236,0.0,0.0,0.0,0.0,0.0,0.0,0.16665655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.16572244,0.16554026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16775009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16738783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16731407,0.16628532,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16659166,0.0,0.0,0.0,0.0,0.1660559,0.0,0.0,0.0,0.16839895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16582237,0.0,0.16596003,0.0,0.0,0.16717114
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16632806,0.0,0.0,0.0,0.0,0.0,0.16762616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1670308,0.0,0.0,0.16610941,0.0,0.0,0.16625787,0.0,0.16664766,0.0,0.0,0.0,0.0
