source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.112376824,0.0,0.0,0.11112792,0.0,0.11110902,0.0,0.11107066,0.0,0.11109454,0.0,0.0,0.0,0.110828824,0.0,0.0,0.0,0.11097927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11094286,0.0,0.0,0.0,0.0,0.0,0.11047002,0.0,0.0
1,0.0,0.11183971,0.0,0.0,0.11124453,0.0,0.0,0.110283256,0.0,0.0,0.0,0.1102462,0.0,0.11148945,0.0,0.0,0.0,0.0,0.0,0.111618884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11154901,0.0,0.0,0.0,0.11050745,0.0,0.0,0.11122142,0.0,0.0
2,0.0,0.0,0.112514794,0.111332655,0.0,0.0,0.11185801,0.0,0.109857656,0.0,0.0,0.0,0.0,0.0,0.1115141,0.0,0.0,0.0,0.0,0.0,0.110528104,0.0,0.0,0.0,0.11067115,0.11159569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11012786,0.0
3,0.0,0.0,0.0,0.11163323,0.0,0.0,0.111236736,0.0,0.0,0.1109722,0.0,0.0,0.1109977,0.0,0.11116584,0.0,0.0,0.110946186,0.11079448,0.0,0.0,0.0,0.0,0.0,0.111300945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11095267,0.0
4,0.0,0.11103887,0.0,0.0,0.11163295,0.110740714,0.0,0.110924244,0.0,0.0,0.0,0.110858716,0.0,0.11144625,0.0,0.0,0.0,0.0,0.0,0.11082526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11099721,0.0,0.0,0.0,0.0,0.0,0.11153575,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.11143524,0.0,0.11135736,0.0,0.11132152,0.111013435,0.111185685,0.11105298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110733606,0.0,0.0,0.0,0.0,0.0,0.11078956,0.11111063,0.0
6,0.0,0.0,0.11137436,0.11163042,0.0,0.0,0.11202831,0.0,0.0,0.0,0.0,0.0,0.11028875,0.0,0.111113854,0.0,0.0,0.111014634,0.11049976,0.0,0.11088909,0.0,0.0,0.0,0.11116076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.1108089,0.11143893,0.0,0.11151688,0.0,0.111229144,0.11090537,0.11129926,0.0,0.1109172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11101936,0.110864855,0.0
8,0.0,0.0,0.0,0.0,0.0,0.110798076,0.0,0.0,0.11204831,0.110577755,0.111170806,0.0,0.11084838,0.0,0.111311086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11051261,0.0,0.111231364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11150158,0.0
9,0.0,0.0,0.0,0.0,0.0,0.11130645,0.0,0.111132674,0.0,0.111420155,0.1108776,0.11111075,0.111257486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11090698,0.0,0.0,0.0,0.0,0.0,0.0,0.11098368,0.0,0.0,0.0,0.0,0.0,0.0,0.11100429,0.0
