source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0.041480485,0.040778756,0.040870577,0.038285792,0.039376628,0.041176215,0.03890822,0.036164325,0.039506618,0.040110238,0.040082272,0.04016936,0.03989571,0.041079454,0.040695027,0.040978372,0.040593736,0.0363842,0.040982265,0.039887358,0.040765665,0.04060896,0.040737834,0.04085625,0.039625693
1,0.040894046,0.041597757,0.041302506,0.040581677,0.036990233,0.040496774,0.036708508,0.032851513,0.040544685,0.041403264,0.04142458,0.041057996,0.041380472,0.04071509,0.0395962,0.041507434,0.039291322,0.039382186,0.04009654,0.038233656,0.041450653,0.03970937,0.040592518,0.041081686,0.041109305
2,0.041051492,0.041368376,0.0416641,0.03979442,0.03777141,0.041124217,0.03731735,0.033786263,0.040550422,0.040947985,0.040939577,0.040485572,0.040813796,0.04062792,0.03994235,0.041356035,0.039698362,0.03808947,0.040453836,0.038789,0.041343898,0.040062517,0.04051688,0.040785685,0.04071908
3,0.03997131,0.04224883,0.04136326,0.043306652,0.034337055,0.03910982,0.034466878,0.029301796,0.041562382,0.042789735,0.04285339,0.04227293,0.04291316,0.040331997,0.038444597,0.042009644,0.03788203,0.04296397,0.03918847,0.036572456,0.042217415,0.038843118,0.04061681,0.041455626,0.042976703
4,0.041456625,0.038834386,0.039591365,0.034626428,0.04367162,0.041311216,0.043529328,0.04283442,0.03611782,0.03721307,0.03774872,0.039183725,0.03687841,0.041798443,0.042968486,0.039770752,0.043176986,0.031513073,0.04257242,0.043413833,0.039484087,0.042758882,0.041591607,0.040629353,0.037324853
5,0.04164783,0.040845133,0.041411925,0.03788968,0.03968793,0.041955587,0.039027937,0.03644833,0.039571486,0.03993065,0.03995245,0.039762024,0.039727487,0.040966276,0.040773258,0.040952828,0.04074319,0.03563135,0.041041885,0.040041685,0.040735573,0.040701043,0.040576734,0.04060952,0.0393682
6,0.04106691,0.03863592,0.039214194,0.034845106,0.04363924,0.040726796,0.043781888,0.043085366,0.035491377,0.03704579,0.037799302,0.039524194,0.0367942,0.04188801,0.043063816,0.039678156,0.043243818,0.031856,0.04255696,0.043590598,0.039441224,0.04292615,0.041854043,0.040789366,0.03746156
7,0.041420758,0.03752036,0.038526513,0.03214557,0.046598844,0.041273315,0.04675379,0.047509618,0.033448722,0.035200696,0.036220144,0.03867251,0.034867734,0.042411268,0.044535033,0.038937744,0.04496023,0.028343195,0.04359342,0.045813393,0.038533766,0.044212237,0.042256493,0.04058404,0.035660557
8,0.041198038,0.042161353,0.042100172,0.04151417,0.035774432,0.040798396,0.03506541,0.030454295,0.043256417,0.042545702,0.041783128,0.040722754,0.04211756,0.04010083,0.038827952,0.041919876,0.038447794,0.040349975,0.039872915,0.03718136,0.042060558,0.03896579,0.039997138,0.04069824,0.04208583
9,0.040733304,0.04192788,0.0414008,0.041622028,0.03589504,0.04009173,0.03564369,0.031211022,0.04143272,0.042124838,0.04195993,0.041410677,0.04206054,0.04051081,0.03905122,0.041762915,0.038652334,0.040752973,0.039751563,0.037453882,0.041797657,0.039241835,0.04047353,0.04117542,0.041861594
10,0.040479273,0.041716937,0.04116286,0.041452885,0.036209885,0.039891265,0.036167085,0.031936906,0.040464543,0.04172734,0.041891336,0.04158307,0.041818403,0.04067219,0.03929712,0.04161558,0.038910124,0.04055735,0.03980103,0.037810914,0.04163505,0.03952591,0.040712763,0.041299593,0.041660555
11,0.040287077,0.04106223,0.04042527,0.04060901,0.03732683,0.039426968,0.03755634,0.033863787,0.03916529,0.04089675,0.04129591,0.041602045,0.04099537,0.04098647,0.039956897,0.041247535,0.039621055,0.039565258,0.040227193,0.038824525,0.041243512,0.040167633,0.041125234,0.041418113,0.041103665
12,0.040624864,0.04201797,0.041376576,0.041854817,0.035668306,0.039995477,0.03549723,0.03099929,0.041126546,0.04217413,0.042165067,0.041622646,0.042238604,0.040568437,0.03897244,0.0418006,0.038552728,0.04110923,0.039608065,0.037296824,0.041806836,0.039183043,0.04052654,0.041299097,0.041914567
13,0.040883843,0.04040698,0.04025626,0.038447313,0.039512243,0.040309515,0.03949718,0.03685281,0.038271345,0.039701197,0.040081523,0.04067211,0.03965058,0.041282967,0.040952247,0.040793624,0.040805988,0.03669852,0.04102744,0.040289056,0.040633276,0.04096815,0.041189626,0.041127816,0.03968841
