source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0.16730188,0.0,0.0,0.16713981,0.0,0.0,0.0,0.0,0.0,0.1662006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16635424,0.16606484,0.0,0.0,0.16693862,0.0,0.0
1,0.0,0.16727018,0.166792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16690457,0.16650519,0.0,0.0,0.0,0.16715237,0.0,0.0,0.16537566,0.0,0.0,0.0,0.0
2,0.0,0.1668707,0.16734912,0.0,0.0,0.0,0.0,0.0,0.16661794,0.0,0.0,0.0,0.16628507,0.0,0.0,0.0,0.0,0.16651583,0.0,0.0,0.16636129,0.0,0.0,0.0,0.0
3,0.16721271,0.0,0.0,0.16737485,0.0,0.0,0.0,0.16619006,0.0,0.16635089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16608852,0.0,0.0,0.16678296,0.0,0.0
4,0.0,0.0,0.0,0.16603999,0.16733971,0.0,0.0,0.166294,0.0,0.16668463,0.0,0.0,0.0,0.0,0.16708428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16655731,0.0,0.0
5,0.0,0.16279857,0.16588782,0.0,0.0,0.17202976,0.0,0.0,0.16929296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16125897,0.0,0.0,0.1687319,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.16476957,0.0,0.17031619,0.16529077,0.0,0.16489266,0.1689685,0.0,0.0,0.0,0.16576228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.16643354,0.16657259,0.0,0.0,0.16762006,0.0,0.16669664,0.16634299,0.0,0.0,0.0,0.16633415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.16606387,0.16739558,0.0,0.0,0.16545539,0.0,0.0,0.16813016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16537264,0.0,0.0,0.16758236,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.16624123,0.16660972,0.0,0.0,0.16634305,0.0,0.16726452,0.0,0.0,0.0,0.0,0.16697331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16656817,0.0,0.0
10,0.0,0.0,0.0,0.0,0.16597803,0.0,0.16665387,0.16670325,0.0,0.16622493,0.1679831,0.0,0.0,0.0,0.16645677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.16619542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16823184,0.0,0.16621123,0.0,0.16699782,0.0,0.0,0.0,0.16575825,0.0,0.0,0.0,0.1666054,0.0
12,0.0,0.16680923,0.16611171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16717464,0.16676567,0.0,0.0,0.0,0.1670453,0.0,0.0,0.0,0.16609348,0.0,0.0,0.0
13,0.0,0.1665354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16689126,0.16730054,0.0,0.0,0.0,0.16691191,0.0,0.0,0.0,0.16609585,0.0,0.16626503,0.0
14,0.0,0.0,0.0,0.0,0.1671155,0.0,0.0,0.16608697,0.0,0.16707958,0.1658502,0.0,0.0,0.0,0.16737098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16649671,0.0,0.0
15,0.16514814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16795082,0.0,0.16550727,0.0,0.1691919,0.0,0.0,0.0,0.1669995,0.0,0.0,0.0,0.16520236,0.0
16,0.16636609,0.0,0.0,0.16634986,0.0,0.0,0.0,0.0,0.0,0.1665612,0.0,0.0,0.0,0.0,0.0,0.0,0.16779596,0.0,0.1670541,0.0,0.0,0.16587281,0.0,0.0,0.0
17,0.0,0.16701669,0.16630219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16700509,0.16674617,0.0,0.0,0.0,0.1671344,0.0,0.0,0.0,0.0,0.0,0.16579549,0.0
18,0.16643517,0.0,0.0,0.16608681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16664323,0.0,0.16738327,0.0,0.0,0.16669731,0.0,0.16675422,0.0
19,0.16682,0.0,0.0,0.16677105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16559155,0.0,0.0,0.0,0.16588491,0.0,0.0,0.0,0.16806267,0.0,0.0,0.16686979,0.0,0.0
20,0.0,0.16632463,0.167237,0.0,0.0,0.16500501,0.0,0.0,0.1676819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16552144,0.0,0.0,0.16823003,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16639236,0.16626951,0.0,0.0,0.0,0.16597673,0.16678911,0.0,0.0,0.16747546,0.0,0.16709681,0.0
22,0.16685456,0.0,0.0,0.1666263,0.16643581,0.0,0.0,0.0,0.0,0.16652149,0.0,0.0,0.0,0.0,0.16634418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16721764,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16616686,0.16640736,0.0,0.0,0.0,0.16610236,0.16681448,0.0,0.0,0.16706517,0.0,0.16744375,0.0
24,0.0,0.0,0.0,0.0,0.16732685,0.0,0.0,0.16551824,0.0,0.0,0.0,0.0,0.0,0.0,0.16564302,0.0,0.0,0.0,0.0,0.16557464,0.0,0.0,0.16581525,0.0,0.170122
