source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0.11242298,0.11052111,0.110769965,0.0,0.0,0.11159832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11133608,0.0,0.11106212,0.0,0.0,0.111072674,0.0,0.11048563,0.0,0.0,0.11073114,0.0
1,0.0,0.11174454,0.1109514,0.0,0.0,0.0,0.0,0.0,0.0,0.11122207,0.11127933,0.0,0.11116084,0.0,0.0,0.1115019,0.0,0.0,0.0,0.0,0.111349374,0.0,0.0,0.1103582,0.1104324
2,0.11076752,0.111622564,0.1124205,0.0,0.0,0.110963754,0.0,0.0,0.0,0.110488236,0.11046554,0.0,0.11012615,0.0,0.0,0.11158926,0.0,0.0,0.0,0.0,0.111556515,0.0,0.0,0.0,0.0
3,0.0,0.10986769,0.0,0.11261855,0.0,0.0,0.0,0.0,0.0,0.11127432,0.11143984,0.10993036,0.11159527,0.0,0.0,0.0,0.0,0.11172742,0.0,0.0,0.109786,0.0,0.0,0.0,0.11176052
4,0.0,0.0,0.0,0.0,0.112926975,0.0,0.11255904,0.110762134,0.0,0.0,0.0,0.0,0.0,0.10808328,0.1111088,0.0,0.11164795,0.0,0.11008465,0.11226039,0.0,0.1105668,0.0,0.0,0.0
5,0.11245898,0.11029151,0.111821994,0.0,0.0,0.113290004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11061863,0.11009744,0.11058232,0.11001625,0.0,0.1108228,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.11253727,0.0,0.11290514,0.111108944,0.0,0.0,0.0,0.0,0.0,0.10802119,0.11105338,0.0,0.11151756,0.0,0.109746285,0.11241184,0.0,0.11069836,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.11466594,0.0,0.115047224,0.11690708,0.0,0.0,0.0,0.0,0.0,0.10436156,0.10958752,0.0,0.110633805,0.0,0.10727049,0.11273318,0.0,0.10879321,0.0,0.0,0.0
8,0.0,0.110942,0.110781014,0.0,0.0,0.0,0.0,0.0,0.11382351,0.11195337,0.10994675,0.0,0.11082676,0.0,0.0,0.11030658,0.0,0.0,0.0,0.0,0.110676765,0.0,0.0,0.0,0.11074328
9,0.0,0.11134742,0.0,0.110535175,0.0,0.0,0.0,0.0,0.110032424,0.11187048,0.11143254,0.0,0.11169972,0.0,0.0,0.11090932,0.0,0.0,0.0,0.0,0.11100159,0.0,0.0,0.0,0.11117139
10,0.0,0.11121517,0.0,0.11051121,0.0,0.0,0.0,0.0,0.0,0.111242905,0.111680105,0.110858284,0.11148566,0.0,0.0,0.11094495,0.0,0.0,0.0,0.0,0.110996865,0.0,0.0,0.0,0.11106485
11,0.0,0.11065195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111281656,0.112106614,0.11047178,0.0,0.0,0.1111513,0.0,0.0,0.0,0.0,0.11114046,0.0,0.11082173,0.111610964,0.1107636
12,0.0,0.111277804,0.0,0.110845715,0.0,0.0,0.0,0.0,0.0,0.11169136,0.11166736,0.11023084,0.111862116,0.0,0.0,0.11070212,0.0,0.0,0.0,0.0,0.11071864,0.0,0.0,0.0,0.11100396
