ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,side_lag_2,side_lag_3,growth_1y,growth_2y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1,mask_target,mask_sector_a10,mask_employment,mask_tensor,mask_eu_signals,flag_target_concept,flag_has_national_employment,flag_has_eurostat_bd,eu_employment_rate_lag1,eu_unemployment_rate_lag1,eu_sts_turnover_lag1,eu_esi_lag1,eu_eei_lag1,eu_credit_standards_lag1,eu_gdp_growth_lag1
1,2007,0,1394.0,1394.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
2,2007,1,6240.0,6240.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
3,2007,2,234.0,234.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
4,2007,3,389.0,389.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
5,2007,4,640.0,640.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
6,2007,5,232.0,232.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
7,2007,6,1791.0,1791.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
8,2007,7,8746.0,8746.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
9,2007,8,1936.0,1936.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
10,2007,9,1623.0,1623.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
11,2007,10,543.0,543.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
12,2007,11,301.0,301.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
13,2007,12,460.0,460.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
14,2007,13,378.0,378.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
15,2007,14,3524.0,3524.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
16,2007,15,2924.0,2924.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
17,2007,16,2572.0,2572.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
18,2007,17,518.0,518.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
19,2007,18,2995.0,2995.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
20,2007,19,2853.0,2853.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
21,2007,20,1329.0,1329.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
22,2007,21,1700.0,1700.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
