target_year,ZE2020,BE,FZ,GI,JZ,KZ,LZ,MN,OQ,RU,total
2012,51,57,154,232,20,26,34,109,85,108,825
2012,52,298,271,524,46,27,55,273,128,210,1832
2012,53,231,633,1125,120,91,109,614,379,460,3762
2012,54,114,365,550,54,28,75,333,175,229,1923
2012,55,53,147,201,21,18,21,105,89,95,750
2012,56,39,78,161,10,7,21,58,41,72,487
2012,57,63,185,369,26,24,19,209,77,121,1093
2012,58,35,57,127,9,9,17,58,23,66,401
2012,59,69,200,397,52,35,50,237,164,169,1373
2012,60,69,138,294,25,15,51,125,111,162,990
2012,61,37,89,139,13,17,10,56,37,51,449
2012,62,46,84,154,14,16,22,80,58,76,550
2012,63,92,48,154,7,9,29,59,58,43,499
2012,64,54,125,224,18,23,31,92,83,91,741
2012,1101,218,768,1437,407,113,119,1192,544,617,5415
2012,1102,35,103,171,21,12,14,103,56,88,603
2012,1103,45,135,229,39,17,25,157,74,117,838
2012,1104,177,870,1447,346,86,160,1027,496,571,5180
2012,1105,75,263,465,82,45,51,368,194,260,1803
2012,1106,145,630,1245,324,129,115,899,411,514,4412
2012,1107,87,308,547,79,41,35,297,137,198,1729
2012,1108,61,285,423,94,26,57,306,151,214,1617
2012,1109,2995,10344,21583,9908,3711,2996,31945,9208,9468,102158
2012,1110,26,74,143,18,12,13,76,46,68,476
2012,1111,21,81,168,55,19,16,173,92,94,719
2012,1112,264,1492,2647,401,186,130,1441,628,721,7910
2012,1113,157,555,1156,356,108,133,1094,463,496,4518
2012,1114,248,950,1914,561,188,169,1859,766,714,7369
2012,1115,155,526,1224,454,163,164,1659,655,599,5599
2012,2401,86,182,407,39,47,52,193,140,145,1291
2012,2402,100,194,390,32,56,59,195,151,174,1351
2012,2403,70,187,416,77,51,38,271,149,181,1440
2012,2404,30,61,100,11,9,13,42,28,48,342
2012,2405,139,184,407,31,35,43,199,146,161,1345
2012,2406,26,53,87,4,8,12,57,33,40,320
2012,2407,30,87,185,9,11,22,75,49,75,543
2012,2408,37,71,105,8,8,20,60,44,40,393
2012,2409,61,193,350,30,22,35,126,90,126,1033
2012,2410,160,455,948,141,102,126,617,358,401,3308
2012,2411,27,72,131,12,9,15,65,26,52,409
2012,2412,52,142,221,11,16,25,75,54,73,669
2012,2413,227,576,1191,168,144,184,759,543,486,4278
2012,2414,58,79,124,13,9,25,68,34,45,455
2012,2415,19,72,116,8,5,15,49,29,50,363
2012,2701,17,35,77,8,9,10,39,39,40,274
2012,2702,100,182,425,32,50,46,204,135,158,1332
2012,2703,29,41,134,5,16,8,48,35,59,375
2012,2704,40,68,257,15,34,41,140,72,68,735
2012,2705,84,215,393,52,30,34,212,150,167,1337
2012,2706,143,356,761,91,107,101,441,392,317,2709
2012,2707,57,137,344,37,33,34,194,125,139,1100
2012,2708,36,57,214,13,22,33,85,59,90,609
2012,2709,40,75,138,13,14,16,78,46,58,478
2012,2710,44,78,196,17,18,11,92,63,80,599
2012,2711,160,449,908,134,80,118,620,460,378,3307
2012,2712,58,106,187,12,12,24,78,66,89,632
2012,2713,96,180,380,21,39,59,188,151,150,1264
2012,2714,72,159,404,34,20,13,128,105,138,1073
2012,2715,43,110,225,21,24,47,102,99,94,765
2012,2716,42,63,95,10,17,9,53,58,40,387
2012,2717,58,142,306,31,25,29,121,85,106,903
2012,2718,78,104,289,13,27,24,110,98,98,841
2012,2801,19,38,84,3,11,10,38,22,48,273
2012,2802,32,64,174,18,18,22,91,67,61,547
2012,2803,31,110,177,12,19,17,82,40,78,566
2012,2804,217,684,1318,176,147,134,812,513,560,4561
2012,2805,39,98,292,25,28,40,154,141,142,959
2012,2806,36,52,130,8,11,15,47,42,56,397
2012,2807,70,134,332,20,19,33,142,89,100,939
2012,2808,89,214,386,46,51,55,261,133,194,1429
2012,2809,35,71,145,9,14,21,61,46,54,456
2012,2810,26,38,129,5,18,13,72,44,63,408
2012,2811,38,127,340,31,28,48,172,85,126,995
2012,2812,23,56,72,4,11,13,41,26,40,286
2012,2813,82,225,550,56,54,83,303,208,256,1817
2012,2814,34,121,202,14,16,27,114,62,82,672
2012,2815,245,701,1473,192,180,158,919,569,577,5014
2012,2816,26,75,204,28,20,26,96,56,88,619
2012,2817,40,173,250,36,24,24,188,69,133,937
2012,2818,26,39,89,9,6,12,28,15,30,254
2012,2819,39,70,152,23,18,21,104,59,100,586
2012,3201,36,88,189,14,11,24,73,51,101,587
2012,3202,133,300,685,84,58,91,372,337,371,2431
2012,3203,62,162,361,52,37,38,226,179,170,1287
2012,3204,49,105,301,23,17,47,121,102,114,879
2012,3205,78,276,498,35,40,37,227,163,248,1602
2012,3206,62,130,334,27,18,51,157,116,120,1015
2012,3207,44,141,315,33,25,28,119,94,125,924
2012,3208,34,158,339,26,30,27,124,112,137,987
2012,3209,26,115,156,17,12,21,94,32,74,547
2012,3210,77,186,407,68,32,54,225,179,202,1430
2012,3211,95,326,720,114,52,73,413,235,283,2311
2012,3212,53,176,448,40,38,41,193,167,163,1319
2012,3213,64,154,486,47,46,58,223,146,196,1420
2012,3214,51,111,168,17,18,24,85,70,121,665
2012,3215,97,369,838,66,61,52,281,245,313,2322
2012,3216,355,928,2090,550,334,257,1958,1283,885,8640
2012,3217,77,203,466,32,30,26,156,122,198,1310
2012,3218,115,564,1036,176,107,109,653,360,330,3450
2012,3219,48,143,314,21,30,36,154,98,131,975
2012,3220,72,243,476,25,41,34,213,120,193,1417
2012,3221,69,196,377,31,27,27,168,110,143,1148
2012,3222,108,361,729,84,56,54,337,246,317,2292
2012,4401,45,67,121,13,10,8,76,47,58,445
2012,4402,55,82,196,20,32,24,101,68,113,691
2012,4403,60,182,371,32,12,15,134,94,148,1048
2012,4404,68,107,263,23,30,21,126,61,114,813
2012,4405,105,219,510,55,42,77,286,167,201,1662
2012,4406,42,82,154,13,17,67,103,37,96,611
2012,4407,105,221,412,31,39,50,193,124,157,1332
2012,4408,46,166,242,17,12,9,107,68,126,793
2012,4409,126,233,611,55,62,66,246,195,199,1793
2012,4410,178,622,1027,121,100,101,633,454,451,3687
2012,4411,190,510,1113,95,92,107,545,391,468,3511
2012,4412,213,687,1125,178,126,91,749,637,471,4277
2012,4413,119,329,733,125,131,120,462,326,304,2649
2012,4414,59,107,222,13,26,32,90,69,76,694
2012,4415,48,89,155,13,14,17,78,36,72,522
2012,4416,41,186,242,18,18,12,124,91,133,865
2012,4417,58,153,214,21,14,12,85,73,90,720
2012,4418,38,77,205,15,8,22,86,68,96,615
2012,4419,41,104,206,13,15,18,109,86,97,689
2012,4420,59,143,254,13,18,19,106,77,120,809
2012,4421,49,98,200,14,21,12,70,36,81,581
2012,4422,52,139,216,30,15,34,87,85,92,750
2012,4423,285,804,1674,365,230,280,1354,938,737,6667
2012,4424,105,318,619,60,45,52,302,213,274,1988
2012,4425,125,281,566,78,58,78,342,196,274,1998
2012,4426,42,86,152,10,15,7,61,51,71,495
2012,4427,49,91,228,17,20,19,86,62,110,682
2012,5201,72,98,161,19,22,34,117,74,86,683
2012,5202,210,338,837,115,123,131,595,412,349,3110
2012,5203,122,167,461,24,34,79,198,129,143,1357
2012,5204,22,37,60,2,20,16,23,26,30,236
2012,5205,26,65,110,8,14,17,63,34,38,375
2012,5206,103,164,318,29,53,63,191,109,138,1168
2012,5207,125,125,234,27,16,31,107,60,109,834
2012,5208,43,49,117,7,11,10,39,24,41,341
2012,5209,27,35,107,4,12,17,38,29,36,305
2012,5210,128,159,331,35,36,52,217,133,149,1240
2012,5211,88,113,280,44,35,55,212,113,109,1049
2012,5212,141,288,655,91,74,70,400,216,275,2210
2012,5213,82,77,224,20,49,37,131,93,93,806
2012,5214,59,102,243,19,26,53,143,89,103,837
2012,5215,39,62,127,13,11,25,71,43,45,436
2012,5216,472,1010,1761,501,364,396,2048,1165,923,8640
2012,5217,48,110,179,13,21,42,115,52,107,687
2012,5218,32,42,85,5,7,15,38,28,29,281
2012,5219,141,299,534,48,50,97,345,240,219,1973
2012,5220,44,89,197,22,14,31,91,66,84,638
2012,5221,22,53,83,7,7,15,51,33,26,297
2012,5301,67,106,245,19,28,60,133,125,113,896
2012,5302,180,338,629,105,78,90,486,443,310,2659
2012,5303,62,63,173,13,19,17,52,87,99,585
2012,5304,63,101,189,24,28,26,113,71,100,715
2012,5305,23,48,104,10,12,18,67,39,47,368
2012,5306,35,55,97,7,10,12,51,45,46,358
2012,5307,31,48,132,10,20,26,92,48,59,466
2012,5308,62,110,214,33,28,22,130,111,107,817
2012,5309,104,260,399,53,48,74,299,254,204,1695
2012,5310,62,99,230,22,30,26,112,118,81,780
2012,5311,62,58,142,14,13,24,69,64,75,521
2012,5312,52,75,217,21,21,28,102,60,83,659
2012,5313,154,288,550,54,68,69,313,299,262,2057
2012,5314,41,55,106,14,6,11,45,55,58,391
2012,5315,330,616,1173,317,291,239,1242,818,634,5660
2012,5316,68,219,383,51,54,42,217,154,149,1337
2012,5317,86,134,323,32,49,54,228,136,120,1162
2012,5318,127,255,476,83,58,88,356,237,253,1933
2012,5319,49,58,177,15,25,26,75,71,49,545
2012,7501,167,155,324,20,42,37,207,116,146,1214
2012,7502,146,301,596,58,52,57,296,166,232,1904
2012,7503,225,521,1057,154,106,204,827,660,472,4226
2012,7504,70,169,337,27,30,46,167,112,152,1110
2012,7505,722,1873,3331,625,377,465,2647,1521,1445,13006
2012,7506,97,79,204,18,34,31,116,55,54,688
2012,7507,104,174,326,26,28,35,163,133,133,1122
2012,7508,45,76,222,15,22,28,76,48,85,617
2012,7509,91,161,323,23,31,58,142,96,156,1081
2012,7510,163,254,470,31,32,72,251,203,187,1663
2012,7511,229,147,243,23,14,29,115,80,118,998
2012,7512,183,367,728,108,98,186,574,318,359,2921
2012,7513,106,276,577,32,48,64,278,169,283,1833
2012,7514,83,202,331,15,29,33,161,118,176,1148
2012,7515,52,117,285,11,11,21,98,77,115,787
2012,7516,87,248,481,26,38,49,248,117,182,1476
2012,7517,195,312,621,78,84,90,330,288,256,2254
2012,7518,99,126,269,16,27,38,113,87,99,874
2012,7519,148,131,310,22,33,34,145,127,128,1078
2012,7520,140,182,402,57,46,47,232,163,189,1458
2012,7521,64,82,146,7,12,11,79,71,67,539
2012,7522,191,359,627,87,79,111,488,417,382,2741
2012,7523,166,291,596,50,53,47,300,185,228,1916
2012,7524,260,291,551,101,89,81,404,312,271,2360
2012,7525,47,117,206,16,18,16,98,84,112,714
2012,7526,86,192,470,22,26,89,186,119,185,1375
2012,7527,96,101,193,18,11,25,95,64,90,693
2012,7528,55,170,293,24,22,63,141,129,152,1049
2012,7529,48,99,267,8,9,39,114,72,93,749
2012,7530,36,36,113,17,20,11,40,34,47,354
2012,7531,77,100,186,13,14,14,79,71,70,624
2012,7532,70,115,256,17,18,32,106,79,108,801
2012,7601,48,193,513,25,38,40,163,100,137,1257
2012,7602,187,338,622,54,66,69,343,278,254,2211
2012,7603,181,405,670,44,36,41,280,226,260,2143
2012,7604,146,271,409,47,35,70,217,161,180,1536
2012,7605,60,105,224,15,19,15,122,74,89,723
2012,7606,159,549,870,66,74,85,406,234,285,2728
2012,7607,87,123,255,15,9,32,147,87,109,864
2012,7608,153,300,592,50,35,71,280,167,242,1890
2012,7609,40,118,221,15,10,18,100,49,85,656
2012,7610,111,190,362,34,38,54,196,185,153,1323
2012,7611,113,117,206,15,23,26,108,87,86,781
2012,7612,153,275,367,37,24,47,216,160,171,1450
2012,7613,71,78,148,13,11,14,64,75,75,549
2012,7614,66,80,167,15,24,19,82,78,77,608
2012,7615,152,357,616,40,38,49,291,207,241,1991
2012,7616,499,1744,2616,533,257,356,2223,1477,1019,10724
2012,7617,152,312,641,48,52,57,296,173,235,1966
2012,7618,283,843,1154,149,83,104,706,499,439,4260
2012,7619,63,63,138,11,12,26,59,37,50,459
2012,7620,527,1012,1871,126,148,195,807,648,715,6049
2012,7621,194,192,310,26,34,70,176,136,134,1272
2012,7622,113,270,309,26,26,43,203,139,160,1289
2012,7623,60,211,445,31,20,42,215,135,165,1324
