ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,side_lag_2,side_lag_3,growth_1y,growth_2y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1,mask_target,mask_sector_a10,mask_employment,mask_tensor,mask_eu_signals,flag_target_concept,flag_has_national_employment,flag_has_eurostat_bd,eu_employment_rate_lag1,eu_unemployment_rate_lag1,eu_sts_turnover_lag1,eu_esi_lag1,eu_eei_lag1,eu_credit_standards_lag1,eu_gdp_growth_lag1
1,2015,0,885.0,885.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
2,2015,1,300.0,300.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
3,2015,2,3470.0,3470.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
4,2015,3,2565.0,2565.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
5,2015,4,1090.0,1090.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
6,2015,5,1465.0,1465.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
7,2015,6,1430.0,1430.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
8,2015,7,1215.0,1215.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
9,2015,8,1030.0,1030.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
10,2015,9,2960.0,2960.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
11,2015,10,1240.0,1240.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
12,2015,11,5090.0,5090.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
13,2015,12,5905.0,5905.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
14,2015,13,3110.0,3110.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
15,2015,14,6680.0,6680.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
16,2015,15,2120.0,2120.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
17,2015,16,14625.0,14625.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
18,2015,17,3030.0,3030.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
19,2015,18,2275.0,2275.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
20,2015,19,1630.0,1630.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
21,2015,20,2945.0,2945.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
22,2015,21,1455.0,1455.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
23,2015,22,21365.0,21365.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
24,2015,23,3120.0,3120.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
25,2015,24,3850.0,3850.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
26,2015,25,9880.0,9880.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
27,2015,26,2140.0,2140.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
28,2015,27,2885.0,2885.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
29,2015,28,13805.0,13805.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
30,2015,29,3400.0,3400.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
31,2015,30,800.0,800.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
32,2015,31,2135.0,2135.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
33,2015,32,5635.0,5635.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
34,2015,33,4140.0,4140.0,,,,,,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,76.3,8.4,,100.35833333333332,,0.0,1.6
