ZE2020,target_year,BE,FZ,GI,JZ,KZ,LZ,MN,OQ,RU,total
1,2008,22590.0,14010.0,21110.0,290.0,1030.0,360.0,4360.0,32750.0,5190.0,101690.0
2,2008,55410.0,31020.0,38250.0,1390.0,1870.0,1000.0,9040.0,55630.0,10780.0,204390.0
3,2008,87820.0,16890.0,35350.0,510.0,1520.0,820.0,7910.0,38120.0,7920.0,196860.0
4,2008,204110.0,65310.0,204390.0,9560.0,16079.999999999998,4700.0,86730.0,183720.0,44350.0,818950.0
5,2008,3510.0,3500.0,6490.0,100.0,380.0,90.0,760.0,19400.0,1420.0,35650.0
6,2008,65920.0,37110.0,29850.0,320.0,1220.0,610.0,4870.0,37870.0,8870.0,186640.0
7,2008,7210.0,7130.0,16149.999999999998,240.0,900.0,130.0,3040.0,68850.0,4650.0,108300.0
8,2008,3850.0,3980.0,9710.0,140.0,540.0,80.0,1510.0,39350.0,1930.0,61090.0
9,2008,12310.0,31020.0,77570.0,1250.0,2630.0,3520.0,18960.0,67810.0,13200.0,228270.0
10,2008,30920.0,19340.0,41690.0,780.0,1820.0,900.0,9120.0,81300.0,8029.999999999999,193900.0
11,2008,57330.0,14640.0,38100.0,1460.0,1780.0,700.0,11250.0,50120.0,7520.0,182900.0
12,2008,32450.000000000004,21560.0,45800.0,1800.0,2190.0,730.0,14270.0,84310.0,12400.0,215510.0
13,2008,36620.0,22720.0,33110.0,790.0,1850.0,730.0,9420.0,37580.0,5360.0,148180.0
14,2008,21960.0,13580.0,24100.0,400.0,1230.0,310.0,6010.0,44190.0,5920.0,117700.0
15,2008,6830.0,4280.0,8990.0,160.0,570.0,130.0,1790.0,18730.0,2590.0,44070.0
16,2008,18710.0,11600.0,22880.0,330.0,980.0,450.0,4730.0,39470.0,5800.0,104950.0
17,2008,17480.0,9340.0,19790.0,340.0,1090.0,210.0,3090.0,44750.0,4550.0,100640.0
18,2008,129210.0,113070.0,398290.0,44830.0,45790.0,11190.0,238500.0,333170.0,104860.0,1418910.0
19,2008,4880.0,5500.0,9960.0,130.0,440.0,190.0,3050.0,18420.0,2280.0,44850.0
20,2008,4840.0,5100.0,10110.0,200.0,610.0,120.0,2190.0,31460.0,2650.0,57280.0
21,2008,18700.0,10500.0,28170.0,400.0,1250.0,360.0,6470.0,47550.0,5240.0,118640.0
22,2008,6170.0,3880.0,10550.0,150.0,600.0,140.0,1850.0,24080.0,3560.0,50980.0
23,2008,11550.0,6460.0,15500.0,340.0,970.0,250.0,3650.0,40250.0,4680.0,83650.0
24,2008,9920.0,14430.0,25940.0,880.0,1350.0,260.0,6060.0,52090.0,8510.0,119440.0
25,2008,9480.0,15130.0,34890.0,890.0,1410.0,990.0,8270.0,56870.0,7500.0,135430.0
1,2009,20450.0,12980.0,20480.0,310.0,1110.0,360.0,4420.0,33110.0,5160.0,98380.0
2,2009,50740.0,27750.0,37950.0,1440.0,1910.0,990.0,9460.0,56000.0,10650.0,196890.0
3,2009,80010.0,16079.999999999998,34620.0,540.0,1560.0,780.0,8060.000000000001,38100.0,7830.0,187580.0
4,2009,184120.0,60130.0,199240.0,10090.0,15540.0,4620.0,92740.0,185580.0,43950.0,796010.0
5,2009,3360.0,3300.0,6300.0,100.0,390.0,100.0,810.0,19420.0,1440.0,35220.0
6,2009,61960.0,33490.0,29300.0,330.0,1260.0,730.0,4880.0,37950.0,8790.0,178690.0
7,2009,7090.0,7190.0,15670.0,260.0,970.0,150.0,3130.0,69040.0,4620.0,108120.0
8,2009,3730.0,3800.0,9430.0,150.0,570.0,90.0,1620.0,39340.0,1930.0,60660.0
9,2009,11310.0,26600.0,73460.0,1240.0,2750.0,3170.0,18240.0,68600.0,12590.0,217960.0
10,2009,27790.0,17140.0,41320.0,820.0,1880.0,890.0,8870.0,81680.0,7920.0,188310.0
11,2009,52870.0,13510.0,36290.0,1600.0,1870.0,660.0,11060.0,50350.0,7330.0,175540.0
12,2009,29960.0,19600.0,44870.0,1850.0,2280.0,730.0,15740.0,82780.0,12200.0,210010.0
13,2009,34330.0,20880.0,32750.0,840.0,1920.0,730.0,9470.0,37880.0,5280.0,144080.0
14,2009,20230.0,12720.0,23940.0,410.0,1310.0,310.0,5990.0,43820.0,5860.0,114590.0
15,2009,6250.0,3980.0,8770.0,190.0,600.0,130.0,1990.0,18890.0,2500.0,43300.0
16,2009,17300.0,10280.0,22280.0,310.0,1010.0,450.0,4990.0,40130.0,5730.0,102480.0
17,2009,15490.0,8900.0,19120.0,390.0,1150.0,220.0,3540.0,44660.0,4530.0,98000.0
18,2009,122060.0,102680.0,382430.0,46340.0,47620.0,10970.0,236040.0,339210.0,104310.0,1391660.0
19,2009,4740.0,4580.0,9540.0,130.0,470.0,210.0,3070.0,18110.0,2300.0,43150.0
20,2009,4840.0,4720.0,9680.0,190.0,660.0,130.0,2200.0,30690.0,2670.0,55780.0
21,2009,17690.0,9360.0,27190.0,420.0,1330.0,410.0,6650.0,46410.0,4940.0,114400.0
22,2009,5510.0,3490.0,10100.0,140.0,630.0,140.0,1750.0,23840.0,3540.0,49140.0
23,2009,10440.0,5580.0,15020.0,350.0,990.0,260.0,3640.0,38860.0,4650.0,79790.0
