ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,side_lag_2,side_lag_3,growth_1y,growth_2y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1,mask_target,mask_sector_a10,mask_employment,mask_tensor,mask_eu_signals,flag_target_concept,flag_has_national_employment,flag_has_eurostat_bd,eu_employment_rate_lag1,eu_unemployment_rate_lag1,eu_sts_turnover_lag1,eu_esi_lag1,eu_eei_lag1,eu_credit_standards_lag1,eu_gdp_growth_lag1
1,2008,0,3015.0,3015.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
2,2008,1,5881.0,5881.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
3,2008,2,5548.0,5548.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
4,2008,3,29857.0,29857.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
5,2008,4,1070.0,1070.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
6,2008,5,4515.0,4515.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
7,2008,6,2429.0,2429.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
8,2008,7,1469.0,1469.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
9,2008,8,11126.0,11126.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
10,2008,9,5906.0,5906.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
11,2008,10,5687.0,5687.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
12,2008,11,7143.0,7143.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
13,2008,12,4553.0,4553.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
14,2008,13,3332.0,3332.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
15,2008,14,995.0,995.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
16,2008,15,3149.0,3149.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
17,2008,16,2571.0,2571.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
18,2008,17,61998.0,61998.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
19,2008,18,1685.0,1685.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
20,2008,19,1778.0,1778.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
21,2008,20,3677.0,3677.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
22,2008,21,1590.0,1590.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
23,2008,22,2677.0,2677.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
24,2008,23,4190.0,4190.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
25,2008,24,3452.0,3452.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,1,,,,108.02500000000002,,,2.5
1,2009,0,2728.0,2728.0,3015.0,,,,,0,0,0,1,0,0,24573.0,1.0,1.0,1.0,1.0,0.4285714285714285,enterprise_birth,1,1,,,,98.70833333333331,,3.333333333333333,0.3
2,2009,1,5211.0,5211.0,5881.0,,,,,0,0,0,1,0,0,43294.0,1.0,1.0,1.0,1.0,0.4285714285714285,enterprise_birth,1,1,,,,98.70833333333331,,3.333333333333333,0.3
3,2009,2,4584.0,4584.0,5548.0,,,,,0,0,0,1,0,0,39572.0,1.0,1.0,1.0,1.0,0.4285714285714285,enterprise_birth,1,1,,,,98.70833333333331,,3.333333333333333,0.3
4,2009,3,24506.0,24506.0,29857.0,,,,,0,0,0,1,0,0,205304.0,1.0,1.0,1.0,1.0,0.4285714285714285,enterprise_birth,1,1,,,,98.70833333333331,,3.333333333333333,0.3
5,2009,4,960.0,960.0,1070.0,,,,,0,0,0,1,0,0,8816.0,1.0,1.0,1.0,1.0,0.4285714285714285,enterprise_birth,1,1,,,,98.70833333333331,,3.333333333333333,0.3
6,2009,5,4077.0,4077.0,4515.0,,,,,0,0,0,1,0,0,35107.0,1.0,1.0,1.0,1.0,0.4285714285714285,enterprise_birth,1,1,,,,98.70833333333331,,3.333333333333333,0.3
7,2009,6,2160.0,2160.0,2429.0,,,,,0,0,0,1,0,0,19651.0,1.0,1.0,1.0,1.0,0.4285714285714285,enterprise_birth,1,1,,,,98.70833333333331,,3.333333333333333,0.3
8,2009,7,1321.0,1321.0,1469.0,,,,,0,0,0,1,0,0,12405.0,1.0,1.0,1.0,1.0,0.4285714285714285,enterprise_birth,1,1,,,,98.70833333333331,,3.333333333333333,0.3
9,2009,8,8712.0,8712.0,11126.0,,,,,0,0,0,1,0,0,67602.0,1.0,1.0,1.0,1.0,0.4285714285714285,enterprise_birth,1,1,,,,98.70833333333331,,3.333333333333333,0.3
10,2009,9,4786.0,4786.0,5906.0,,,,,0,0,0,1,0,0,45835.0,1.0,1.0,1.0,1.0,0.4285714285714285,enterprise_birth,1,1,,,,98.70833333333331,,3.333333333333333,0.3
11,2009,10,4895.0,4895.0,5687.0,,,,,0,0,0,1,0,0,42807.0,1.0,1.0,1.0,1.0,0.4285714285714285,enterprise_birth,1,1,,,,98.70833333333331,,3.333333333333333,0.3
12,2009,11,6067.0,6067.0,7143.0,,,,,0,0,0,1,0,0,55017.0,1.0,1.0,1.0,1.0,0.4285714285714285,enterprise_birth,1,1,,,,98.70833333333331,,3.333333333333333,0.3
13,2009,12,3778.0,3778.0,4553.0,,,,,0,0,0,1,0,0,38391.0,1.0,1.0,1.0,1.0,0.4285714285714285,enterprise_birth,1,1,,,,98.70833333333331,,3.333333333333333,0.3
14,2009,13,2856.0,2856.0,3332.0,,,,,0,0,0,1,0,0,26323.0,1.0,1.0,1.0,1.0,0.4285714285714285,enterprise_birth,1,1,,,,98.70833333333331,,3.333333333333333,0.3
