task_id,country,scenario,window_start,window_end,source_sector,target_sector,n_samples,beta,delta_r2,p_perm,bootstrap_sign_stability,panel_checksum,commit_sha,hostname,runtime_seconds,q_fdr,promoted,label
0,NL,main,2007,2012,BE,JZ,1303,-0.07299375174833155,0.005294298898980365,0.017,0.958,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode40,2873.563,0.04371428571428572,False,EXPLORATORY_FINE_GRAIN
0,NL,main,2007,2012,BE,KZ,1300,0.11544488832396688,0.013306536723849405,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode40,2873.563,0.006000000000000001,True,ROBUST_ORIGINAL
0,NL,main,2007,2012,BE,MN,1308,-0.15813935773359933,0.024563675503243343,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode40,2873.563,0.006000000000000001,True,ROBUST_ORIGINAL
0,NL,main,2007,2012,BE,OQ,1297,0.0919450614422204,0.008344615695603075,0.003,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode40,2873.563,0.0144,False,FINE_GRAIN_SUPPORTED
0,NL,main,2007,2012,BE,RU,1308,-0.14183556348016962,0.020117210035936917,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode40,2873.563,0.006000000000000001,True,ROBUST_ORIGINAL
1,NL,main,2007,2012,FZ,JZ,1303,-0.12213132027042616,0.014915998153177457,0.001,0.912,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode40,2685.669,0.006000000000000001,True,ROBUST_ORIGINAL
1,NL,main,2007,2012,FZ,OQ,1297,0.07905346206616978,0.006243015750483472,0.008,0.998,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode40,2685.669,0.028800000000000003,False,EXPLORATORY_FINE_GRAIN
1,NL,main,2007,2012,FZ,RU,1311,-0.11537849570026554,0.012663391800644574,0.001,0.988,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode40,2685.669,0.006000000000000001,True,ROBUST_ORIGINAL
2,NL,main,2007,2012,GI,BE,1308,-0.07657527759005034,0.005602554116222569,0.004,0.998,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode38,2729.694,0.016941176470588237,False,EXPLORATORY_FINE_GRAIN
2,NL,main,2007,2012,GI,FZ,1311,0.07857850160058044,0.006031375291227659,0.004,0.986,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode38,2729.694,0.016941176470588237,False,EXPLORATORY_FINE_GRAIN
2,NL,main,2007,2012,GI,LZ,1302,0.09164473151174775,0.008328701259909144,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode38,2729.694,0.006000000000000001,False,FINE_GRAIN_SUPPORTED
2,NL,main,2007,2012,GI,OQ,1297,0.07143391273154565,0.005100859953815373,0.014,0.998,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode38,2729.694,0.03876923076923077,False,EXPLORATORY_FINE_GRAIN
3,NL,main,2007,2012,JZ,BE,1303,0.09676660768631073,0.00930439452266707,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode38,2765.309,0.006000000000000001,False,FINE_GRAIN_SUPPORTED
3,NL,main,2007,2012,JZ,FZ,1305,0.08153103155704561,0.006647282241136199,0.011,0.948,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode38,2765.309,0.032999999999999995,False,EXPLORATORY_FINE_GRAIN
3,NL,main,2007,2012,JZ,KZ,1301,-0.16639260507465065,0.027477909506723464,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode38,2765.309,0.006000000000000001,True,ROBUST_ORIGINAL
