task_id,country,scenario,window_start,window_end,source_sector,target_sector,n_samples,beta,delta_r2,p_perm,bootstrap_sign_stability,panel_checksum,commit_sha,hostname,runtime_seconds,q_fdr,promoted
0,NL,main,2007,2012,BE,KZ,1300,0.11544488832396688,0.013306536723849405,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode40,2873.563,0.006000000000000001,True
0,NL,main,2007,2012,BE,MN,1308,-0.15813935773359933,0.024563675503243343,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode40,2873.563,0.006000000000000001,True
0,NL,main,2007,2012,BE,RU,1308,-0.14183556348016962,0.020117210035936917,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode40,2873.563,0.006000000000000001,True
1,NL,main,2007,2012,FZ,JZ,1303,-0.12213132027042616,0.014915998153177457,0.001,0.912,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode40,2685.669,0.006000000000000001,True
1,NL,main,2007,2012,FZ,RU,1311,-0.11537849570026554,0.012663391800644574,0.001,0.988,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode40,2685.669,0.006000000000000001,True
3,NL,main,2007,2012,JZ,KZ,1301,-0.16639260507465065,0.027477909506723464,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode38,2765.309,0.006000000000000001,True
5,NL,main,2007,2012,LZ,RU,1304,-0.10333458629339981,0.010666469810574175,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode38,2764.476,0.006000000000000001,True
6,NL,main,2007,2012,MN,FZ,1311,0.1144042043350067,0.012758227693891566,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode01,3220.365,0.006000000000000001,True
7,NL,main,2007,2012,OQ,FZ,1298,0.17147815070647407,0.029374842957798908,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode01,3130.125,0.006000000000000001,True
8,NL,main,2007,2012,RU,BE,1308,0.1650863746509446,0.02725335254910699,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode01,3162.921,0.006000000000000001,True
9,NL,main,2008,2013,BE,KZ,1634,0.14200351585995252,0.020124628196205085,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode01,3495.528,0.006545454545454546,True
9,NL,main,2008,2013,BE,MN,1643,-0.12103783827103978,0.014337440221679376,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode01,3495.528,0.006545454545454546,True
9,NL,main,2008,2013,BE,RU,1643,-0.11755894118475857,0.013787443125692356,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode01,3495.528,0.006545454545454546,True
10,NL,main,2008,2013,FZ,RU,1646,-0.12599166729387884,0.015140398331445759,0.001,0.998,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode01,3498.326,0.006545454545454546,True
11,NL,main,2008,2013,GI,BE,1643,-0.10605249961922986,0.01059353731063939,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode01,3548.88,0.006545454545454546,True
11,NL,main,2008,2013,GI,LZ,1634,0.10470982120040831,0.010944506661677567,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode01,3548.88,0.006545454545454546,True
12,NL,main,2008,2013,JZ,MN,1639,0.10486110387544843,0.010806257976759825,0.006,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode01,3550.318,0.025411764705882352,True
13,NL,main,2008,2013,KZ,LZ,1634,0.11896482681098836,0.014127261777065359,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode02,3562.691,0.006545454545454546,True
14,NL,main,2008,2013,LZ,FZ,1636,-0.11086772358648145,0.01229114725908087,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode02,3559.377,0.006545454545454546,True
14,NL,main,2008,2013,LZ,RU,1636,-0.1412253839496993,0.01993752585996411,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode02,3559.377,0.006545454545454546,True
16,NL,main,2008,2013,OQ,FZ,1629,0.10914275573706977,0.011905867169200834,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode02,3732.595,0.006545454545454546,True
18,NL,main,2009,2014,BE,KZ,1969,0.12925401439684317,0.016688068771727682,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode02,3783.918,0.005538461538461539,True
18,NL,main,2009,2014,BE,MN,1979,-0.10565362447224365,0.010727465490213639,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode02,3783.918,0.005538461538461539,True
18,NL,main,2009,2014,BE,RU,1979,-0.10680134302228361,0.011236996915326203,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode02,3783.918,0.005538461538461539,True
20,NL,main,2009,2014,GI,FZ,1982,0.13518236792918903,0.016779756613087393,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode03,3822.962,0.005538461538461539,True
20,NL,main,2009,2014,GI,LZ,1967,0.12246936454070664,0.014816806831462359,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode03,3822.962,0.005538461538461539,True
22,NL,main,2009,2014,KZ,LZ,1967,0.11351619186970685,0.012874271687504435,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode03,3832.002,0.005538461538461539,True
23,NL,main,2009,2014,LZ,RU,1969,-0.11386808430072348,0.012941710905490678,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode03,3799.666,0.005538461538461539,True
25,NL,main,2009,2014,OQ,BE,1958,0.11236142948926725,0.012218092514811318,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode03,4060.085,0.005538461538461539,True
25,NL,main,2009,2014,OQ,FZ,1958,0.1528076083860892,0.021723005154682284,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode03,4060.085,0.005538461538461539,True
26,NL,main,2009,2014,RU,BE,1979,0.12590266182182352,0.015615887002617734,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode03,3798.89,0.005538461538461539,True
27,NL,main,2010,2015,BE,KZ,1983,0.19821902180813772,0.039166674315481376,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode04,3801.033,0.005538461538461539,True
27,NL,main,2010,2015,BE,RU,1991,-0.10755090826382524,0.011397453392566925,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode04,3801.033,0.005538461538461539,True
29,NL,main,2010,2015,GI,FZ,1993,0.11475169765313657,0.012409128279549764,0.001,0.998,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode04,3867.114,0.005538461538461539,True
30,NL,main,2010,2015,JZ,MN,1986,0.10733386971715425,0.01135846546013497,0.004,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode04,3920.906,0.016941176470588237,True
31,NL,main,2010,2015,KZ,LZ,1978,0.12882926567841593,0.016505994498687837,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode04,3800.17,0.005538461538461539,True
34,NL,main,2010,2015,OQ,BE,1968,0.11472056976747004,0.01276889373094292,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode05,4096.974,0.005538461538461539,True
34,NL,main,2010,2015,OQ,FZ,1968,0.15807661878840848,0.02322130921895138,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode05,4096.974,0.005538461538461539,True
35,NL,main,2010,2015,RU,KZ,1985,0.11635202209038531,0.013184718329180334,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode05,3887.757,0.005538461538461539,True
36,NL,main,2011,2016,BE,KZ,1997,0.2188052643414201,0.04728873839569547,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode05,3730.758,0.014400000000000001,True
39,NL,main,2011,2016,JZ,MN,1999,0.12028311019232943,0.014278510478282769,0.003,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode05,3715.655,0.027,True
40,NL,main,2011,2016,KZ,LZ,1990,0.10886205041650393,0.011825901055457222,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode05,3823.491,0.014400000000000001,True
44,NL,main,2011,2016,RU,KZ,1998,0.17334314362595055,0.029670590395680096,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode05,3534.04,0.014400000000000001,True
45,NL,main,2012,2017,BE,KZ,2010,0.18762521411804056,0.034840488436472805,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode06,3771.701,0.018000000000000002,True
48,NL,main,2012,2017,JZ,FZ,2011,-0.10876031018831475,0.011735863767569965,0.007,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode06,3810.062,0.036,True
49,NL,main,2012,2017,KZ,LZ,2002,0.11335145585226006,0.012842722677544494,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode06,3840.318,0.018000000000000002,True
53,NL,main,2012,2017,RU,GI,2015,0.14113500121352546,0.019301812184335576,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode06,3610.197,0.018000000000000002,True
