scenario,country,window_start,window_end,source_sector,target_sector,n_samples,beta,delta_r2,p_perm,bootstrap_sign_stability,q_fdr,promoted_exploratory_edge
main,PT,2018,2023,BE,FZ,1577,0.03759605574144692,0.0013839482726325514,0.3,0.85,0.6461538461538462,False
main,PT,2018,2023,BE,GI,1613,0.06893007566635523,0.0046208469690071086,0.1,1.0,0.4307692307692308,False
main,PT,2018,2023,BE,JZ,1098,0.03208975941026597,0.0010292123698099065,0.2,0.85,0.5894736842105264,False
main,PT,2018,2023,BE,LZ,1294,-0.05153144894569067,0.0026518165281786965,0.2,0.95,0.5894736842105264,False
main,PT,2018,2023,BE,MN,1613,0.0007663194030484988,5.818673959323561e-07,1.0,0.4,1.0,False
main,PT,2018,2023,BE,OQ,1613,0.04020704336099773,0.0016136348776121245,0.1,1.0,0.4307692307692308,False
main,PT,2018,2023,BE,RU,1576,0.043180257612054046,0.0018643922563568172,0.1,0.95,0.4307692307692308,False
main,PT,2018,2023,FZ,BE,1549,-0.03152900998612507,0.0009756594394353391,0.1,0.9,0.4307692307692308,False
main,PT,2018,2023,FZ,GI,1646,-0.025175467063997647,0.0006055162947801174,0.5,0.6,0.7368421052631579,False
main,PT,2018,2023,FZ,JZ,1103,-0.006492140542388447,4.214656495826752e-05,0.6,0.65,0.7466666666666667,False
main,PT,2018,2023,FZ,LZ,1307,-0.013133633264932873,0.00017244193668786156,0.6,0.6,0.7466666666666667,False
main,PT,2018,2023,FZ,MN,1648,-0.003154350346213579,9.879400336476607e-06,0.8,0.4,0.9142857142857144,False
main,PT,2018,2023,FZ,OQ,1648,0.03136352078951048,0.0009798827454813308,0.3,0.9,0.6461538461538462,False
main,PT,2018,2023,FZ,RU,1605,-0.01723919642438035,0.0002946514513576526,0.7,0.5,0.8521739130434781,False
main,PT,2018,2023,GI,BE,1562,-0.08350216713692554,0.006803069814103946,0.1,1.0,0.4307692307692308,False
main,PT,2018,2023,GI,FZ,1626,-0.011788250554565116,0.00013369794927409195,0.8,0.75,0.9142857142857144,False
main,PT,2018,2023,GI,JZ,1105,-0.00123233187632249,1.518441444137153e-06,1.0,0.45,1.0,False
main,PT,2018,2023,GI,LZ,1313,0.03293766085203359,0.0010785113078517483,0.4,0.9,0.7225806451612904,False
main,PT,2018,2023,GI,MN,1667,-0.005316905085482548,2.804714669801811e-05,1.0,0.6,1.0,False
main,PT,2018,2023,GI,OQ,1667,0.0321464967038505,0.0010224324834519072,0.2,1.0,0.5894736842105264,False
main,PT,2018,2023,GI,RU,1622,-0.02982039110927389,0.0008774766932287958,0.4,0.95,0.7225806451612904,False
main,PT,2018,2023,JZ,BE,1237,0.05402406270872517,0.0029153906851387967,0.1,1.0,0.4307692307692308,False
main,PT,2018,2023,JZ,FZ,1255,0.016005535706220764,0.0002560482317297552,0.6,0.6,0.7466666666666667,False
main,PT,2018,2023,JZ,GI,1273,0.04959278172180154,0.0024571834659079528,0.3,0.95,0.6461538461538462,False
main,PT,2018,2023,JZ,LZ,1119,0.01891373692160775,0.00035693100588740645,0.5,0.7,0.7368421052631579,False
main,PT,2018,2023,JZ,MN,1273,0.04793391168644995,0.00229332230978041,0.2,1.0,0.5894736842105264,False
main,PT,2018,2023,JZ,OQ,1273,0.03499739547612335,0.0012246419225603322,0.4,0.9,0.7225806451612904,False
main,PT,2018,2023,JZ,RU,1262,0.012465288561869181,0.0001553669606185748,0.6,0.7,0.7466666666666667,False
main,PT,2018,2023,LZ,BE,1369,0.07480895359353901,0.005589471658892786,0.1,0.9,0.4307692307692308,False
main,PT,2018,2023,LZ,FZ,1413,-0.018998262201206755,0.00036091914023439475,0.4,0.75,0.7225806451612904,False
main,PT,2018,2023,LZ,GI,1432,0.049146863033749766,0.002407119669206037,0.1,0.95,0.4307692307692308,False
main,PT,2018,2023,LZ,JZ,1055,-0.019620653118456954,0.00038404361459665193,0.6,0.65,0.7466666666666667,False
main,PT,2018,2023,LZ,MN,1432,-0.02005996281030059,0.00040224771898678124,0.5,0.65,0.7368421052631579,False
main,PT,2018,2023,LZ,OQ,1432,0.004356649257160283,1.897848514931244e-05,0.9,0.85,1.0,False
main,PT,2018,2023,LZ,RU,1409,0.03285688158556577,0.0010794887725774638,0.4,0.9,0.7225806451612904,False
main,PT,2018,2023,MN,BE,1562,-0.02891414787262725,0.0008307200337935861,0.6,1.0,0.7466666666666667,False
main,PT,2018,2023,MN,FZ,1627,0.019272388028329753,0.0003687462068507896,0.6,0.6,0.7466666666666667,False
main,PT,2018,2023,MN,GI,1666,0.07780968351982231,0.006007109739306404,0.1,1.0,0.4307692307692308,False
main,PT,2018,2023,MN,JZ,1105,-0.0005274659091796773,2.777441912016343e-07,1.0,0.6,1.0,False
main,PT,2018,2023,MN,LZ,1313,-0.01464280331910875,0.0002144071880950671,0.8,0.8,0.9142857142857144,False
main,PT,2018,2023,MN,OQ,1668,0.029851300017391336,0.000891086278493658,0.3,0.85,0.6461538461538462,False
main,PT,2018,2023,MN,RU,1622,-0.025405897854053117,0.0006453862644013597,0.5,0.55,0.7368421052631579,False
main,PT,2018,2023,OQ,BE,1562,-0.03518745746399793,0.0012366164959549675,0.1,1.0,0.4307692307692308,False
main,PT,2018,2023,OQ,FZ,1627,-0.05085320006748495,0.0025763155490805545,0.2,1.0,0.5894736842105264,False
main,PT,2018,2023,OQ,GI,1666,-0.005468722428663447,2.9611819840513753e-05,1.0,0.6,1.0,False
main,PT,2018,2023,OQ,JZ,1105,-0.06265668961638123,0.003921801981696782,0.1,1.0,0.4307692307692308,False
main,PT,2018,2023,OQ,LZ,1313,0.018056621988482957,0.00032604119549073385,0.5,0.9,0.7368421052631579,False
main,PT,2018,2023,OQ,MN,1668,0.03957128321211667,0.0015658621448325638,0.1,0.85,0.4307692307692308,False
main,PT,2018,2023,OQ,RU,1622,-0.03576533419909833,0.001264175224531372,0.3,0.9,0.6461538461538462,False
main,PT,2018,2023,RU,BE,1547,0.03804963608006684,0.0014474061281507522,0.3,0.9,0.6461538461538462,False
main,PT,2018,2023,RU,FZ,1606,-0.017454963395425627,0.0003016079069996236,0.5,0.55,0.7368421052631579,False
main,PT,2018,2023,RU,GI,1641,-0.01764693763338586,0.0003074558351155998,0.5,0.65,0.7368421052631579,False
main,PT,2018,2023,RU,JZ,1103,0.043646959452788514,0.001904141550172711,0.3,0.75,0.6461538461538462,False
main,PT,2018,2023,RU,LZ,1307,0.0015528598517961234,2.4105493542370127e-06,1.0,0.6,1.0,False
main,PT,2018,2023,RU,MN,1643,0.0746864559873975,0.005577338163552215,0.1,1.0,0.4307692307692308,False
