task_id,country,scenario,window_start,window_end,source_sector,target_sector,n_samples,beta,delta_r2,p_perm,bootstrap_sign_stability,panel_checksum,commit_sha,hostname,runtime_seconds,q_fdr,promoted,promoted_without_2020
0,PT,main,2006,2011,BE,FZ,520,0.03280742536649243,0.001066761413653028,0.465,0.69,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1791.127,0.8096,False,False
0,PT,main,2006,2011,BE,GI,527,-0.05641879545500894,0.003175219169558874,0.193,0.84,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1791.127,0.772,False,False
0,PT,main,2006,2011,BE,JZ,318,-0.03290845599332533,0.0010674108247624714,0.625,0.652,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1791.127,0.8760888888888889,False,False
0,PT,main,2006,2011,BE,LZ,354,0.05879101983264361,0.0033697183746934645,0.269,0.768,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1791.127,0.8096,False,False
0,PT,main,2006,2011,BE,MN,527,0.06457388355450311,0.004164158337194079,0.106,0.918,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1791.127,0.672,False,False
0,PT,main,2006,2011,BE,OQ,527,0.10243754117988352,0.010423520034273048,0.088,0.946,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1791.127,0.672,False,False
0,PT,main,2006,2011,BE,RU,505,-0.04633077514532957,0.00214654060646835,0.373,0.764,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1791.127,0.8096,False,False
1,PT,main,2006,2011,FZ,BE,491,-0.033287781382408954,0.0011011868756304333,0.455,0.612,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1724.3,0.8096,False,False
1,PT,main,2006,2011,FZ,GI,553,0.04321675107267653,0.001845582281120528,0.309,0.774,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1724.3,0.8096,False,False
1,PT,main,2006,2011,FZ,JZ,321,-0.05632226973577373,0.0031397451778781837,0.434,0.866,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1724.3,0.8096,False,False
1,PT,main,2006,2011,FZ,LZ,358,0.029363959618401422,0.0008578855930159168,0.575,0.598,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1724.3,0.8760888888888889,False,False
1,PT,main,2006,2011,FZ,MN,553,-0.018081641452438235,0.00032661075912610027,0.65,0.654,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1724.3,0.8760888888888889,False,False
1,PT,main,2006,2011,FZ,OQ,553,-0.04497651940718242,0.0020178089133494614,0.43,0.728,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1724.3,0.8096,False,False
1,PT,main,2006,2011,FZ,RU,527,-0.06962415235863995,0.004740989640296789,0.178,0.834,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1724.3,0.7667692307692308,False,False
2,PT,main,2006,2011,GI,BE,493,0.03885875537767092,0.0015049276393030997,0.374,0.76,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1583.595,0.8096,False,False
2,PT,main,2006,2011,GI,FZ,543,-0.019633177297853743,0.0003850338402012765,0.682,0.612,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1583.595,0.8760888888888889,False,False
2,PT,main,2006,2011,GI,JZ,321,-0.01259628362793593,0.00015720455829593138,0.872,0.558,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1583.595,0.9689056603773586,False,False
2,PT,main,2006,2011,GI,LZ,358,-0.08350656565566411,0.006948129853252771,0.121,0.888,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1583.595,0.672,False,False
2,PT,main,2006,2011,GI,MN,556,0.04017674790909942,0.0016025219123436685,0.288,0.634,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1583.595,0.8096,False,False
2,PT,main,2006,2011,GI,OQ,556,0.1561154949612128,0.024293924935175126,0.01,0.99,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1583.595,0.28,False,False
2,PT,main,2006,2011,GI,RU,529,0.013063968834155892,0.00016793024381944743,0.779,0.544,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1583.595,0.9088333333333334,False,False
3,PT,main,2006,2011,JZ,BE,378,-0.039397173257961104,0.0015077088186599141,0.481,0.796,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1608.223,0.8096,False,False
3,PT,main,2006,2011,JZ,FZ,398,-0.031773052840826654,0.001008147287982486,0.589,0.684,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1608.223,0.8760888888888889,False,False
3,PT,main,2006,2011,JZ,GI,398,0.04970461168254159,0.0024342886436123923,0.413,0.774,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1608.223,0.8096,False,False
3,PT,main,2006,2011,JZ,LZ,318,-0.019227970992696686,0.00036851862208631125,0.744,0.614,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1608.223,0.8971914893617021,False,False
3,PT,main,2006,2011,JZ,MN,398,0.03933729584080986,0.0015461532009665158,0.487,0.702,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1608.223,0.8096,False,False
3,PT,main,2006,2011,JZ,OQ,398,-0.04770033780251004,0.0022590033088180084,0.506,0.758,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1608.223,0.8096,False,False
3,PT,main,2006,2011,JZ,RU,395,0.027396805482673647,0.0007437318442830021,0.648,0.674,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode06,1608.223,0.8760888888888889,False,False
4,PT,main,2006,2011,LZ,BE,404,0.048521408870664584,0.002294383240535658,0.45,0.79,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1285.126,0.8096,False,False
4,PT,main,2006,2011,LZ,FZ,435,-0.0003180397372499755,9.928180655371932e-08,0.995,0.5,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1285.126,0.995,False,False
4,PT,main,2006,2011,LZ,GI,437,-0.07413519502635305,0.005491686779998561,0.144,0.918,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1285.126,0.672,False,False
4,PT,main,2006,2011,LZ,JZ,299,0.006927265444460526,4.783284670983878e-05,0.917,0.524,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1285.126,0.9689056603773586,False,False
4,PT,main,2006,2011,LZ,MN,437,-0.07255426895871363,0.005248289211223112,0.144,0.898,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1285.126,0.672,False,False
4,PT,main,2006,2011,LZ,OQ,437,-0.05571380433617757,0.0030979175524898928,0.427,0.828,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1285.126,0.8096,False,False
4,PT,main,2006,2011,LZ,RU,427,-0.008662465796282909,7.499397682098063e-05,0.886,0.524,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1285.126,0.9689056603773586,False,False
5,PT,main,2006,2011,MN,BE,493,0.002826288540993538,7.975013968652966e-06,0.954,0.538,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1270.239,0.9893333333333333,False,False
5,PT,main,2006,2011,MN,FZ,543,-0.07391986624574895,0.005449781365884476,0.108,0.96,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1270.239,0.672,False,False
5,PT,main,2006,2011,MN,GI,556,-0.11755438612912955,0.013719304406671906,0.009,0.972,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1270.239,0.28,False,False
5,PT,main,2006,2011,MN,JZ,321,0.031544767417611974,0.0009947876963048996,0.688,0.724,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1270.239,0.8760888888888889,False,False
5,PT,main,2006,2011,MN,LZ,358,0.0008420160517599307,7.084980540028596e-07,0.982,0.528,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1270.239,0.995,False,False
5,PT,main,2006,2011,MN,OQ,556,-0.04743481298824394,0.002248633117690524,0.338,0.706,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1270.239,0.8096,False,False
5,PT,main,2006,2011,MN,RU,529,0.05832602859478109,0.003384168707278201,0.311,0.744,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1270.239,0.8096,False,False
6,PT,main,2006,2011,OQ,BE,493,0.09871268682810891,0.009667038489784341,0.04,0.96,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1185.661,0.56,False,False
6,PT,main,2006,2011,OQ,FZ,543,0.09606029980479375,0.009226787951824966,0.038,0.94,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1185.661,0.56,False,False
6,PT,main,2006,2011,OQ,GI,556,0.03320825524476792,0.001099253308741277,0.444,0.806,19c4675bbf8323e0daab3ca1ca57e287ec7abd791cb9cedfce16c85db5008794,10a7890f5d56f412da68555ce3636d4e50fafe00,hpcnode38,1185.661,0.8096,False,False
