country,window_start,window_end,source_sector,target_sector,beta,abs_beta,q_fdr,delta_r2,bootstrap_sign_stability,n_samples,covid_robust,n_windows_at_009,n_windows_at_008,passes_010,passes_009,passes_008,passes_007,label
FR,2020,2025,KZ,FZ,0.080632,0.080632,0.024,0.006502,0.998,1680,True,0,1,False,False,True,True,EXPLORATORY_FINE_GRAIN
FR,2018,2023,OQ,MN,0.075791,0.075791,0.036,0.005732,0.97,1680,False,1,1,False,False,False,True,EXPLORATORY_FINE_GRAIN
FR,2019,2024,MN,BE,0.087654,0.087654,0.036,0.007651,1.0,1680,False,2,3,False,False,True,True,EXPLORATORY_FINE_GRAIN
FR,2020,2025,OQ,MN,0.090432,0.090432,0.036,0.008166,0.982,1680,False,1,1,False,True,True,True,EXPLORATORY_FINE_GRAIN
FR,2019,2024,OQ,MN,0.077482,0.077482,0.048,0.005996,0.978,1680,False,1,1,False,False,False,True,EXPLORATORY_FINE_GRAIN
FR,2020,2025,MN,BE,0.093949,0.093949,0.024,0.008794,1.0,1680,False,2,3,False,True,True,True,FINE_GRAIN_SUPPORTED
FR,2018,2023,MN,BE,0.096588,0.096588,0.036,0.009289,1.0,1680,False,2,3,False,True,True,True,FINE_GRAIN_SUPPORTED
FR,2019,2024,RU,MN,-0.095096,0.095096,0.036,0.008941,0.998,1680,False,2,2,False,True,True,True,FINE_GRAIN_SUPPORTED
FR,2020,2025,RU,MN,-0.107982,0.107982,0.024,0.011479,1.0,1680,False,2,2,True,True,True,True,ROBUST_ORIGINAL
NL,2009,2014,BE,MN,-0.221948,0.221948,0.028,0.047766,1.0,240,False,1,1,True,True,True,True,ROBUST_ORIGINAL
NL,2009,2014,BE,RU,-0.204853,0.204853,0.028,0.041862,0.986,240,False,1,1,True,True,True,True,ROBUST_ORIGINAL
NL,2014,2019,FZ,GI,0.195324,0.195324,0.0432,0.038018,0.994,240,True,1,1,True,True,True,True,ROBUST_ORIGINAL
NL,2014,2019,FZ,RU,0.169714,0.169714,0.0432,0.028147,0.964,240,True,1,1,True,True,True,True,ROBUST_ORIGINAL
NL,2014,2019,JZ,FZ,-0.230103,0.230103,0.0432,0.052532,0.936,240,True,1,1,True,True,True,True,ROBUST_ORIGINAL
NL,2014,2019,JZ,RU,-0.180023,0.180023,0.0432,0.032272,0.996,240,False,1,1,True,True,True,True,ROBUST_ORIGINAL
NL,2014,2019,LZ,RU,0.175072,0.175072,0.0432,0.030618,0.964,239,False,1,1,True,True,True,True,ROBUST_ORIGINAL
NL,2014,2019,OQ,JZ,-0.285503,0.285503,0.048,0.081205,0.804,120,False,1,1,True,True,True,True,ROBUST_ORIGINAL
PT_MUNI,2015,2020,OQ,GI,0.076459,0.076459,0.028,0.005699,1.0,1668,False,0,0,False,False,False,True,EXPLORATORY_FINE_GRAIN
PT_MUNI,2015,2020,GI,OQ,0.130297,0.130297,0.028,0.016552,1.0,1668,True,1,1,True,True,True,True,ROBUST_ORIGINAL
PT_MUNI,2015,2020,MN,JZ,-0.104154,0.104154,0.037333,0.010831,1.0,999,True,1,1,True,True,True,True,ROBUST_ORIGINAL
PT_NUTS3,2015,2020,FZ,BE,0.254723,0.254723,0.0112,0.035816,0.998,150,False,1,1,True,True,True,True,ROBUST_ORIGINAL
PT_NUTS3,2015,2020,GI,BE,0.361736,0.361736,0.0112,0.077635,0.998,150,True,2,2,True,True,True,True,ROBUST_ORIGINAL
PT_NUTS3,2015,2020,MN,JZ,-0.288617,0.288617,0.0112,0.078307,0.996,150,True,2,2,True,True,True,True,ROBUST_ORIGINAL
PT_NUTS3,2015,2020,MN,OQ,-0.286915,0.286915,0.0112,0.06137,1.0,150,True,2,2,True,True,True,True,ROBUST_ORIGINAL
PT_NUTS3,2015,2020,OQ,JZ,-0.26672,0.26672,0.0112,0.071116,0.966,150,True,2,2,True,True,True,True,ROBUST_ORIGINAL
PT_NUTS3,2014,2019,BE,MN,-0.280696,0.280696,0.018667,0.064976,0.992,150,True,2,2,True,True,True,True,ROBUST_ORIGINAL
PT_NUTS3,2014,2019,MN,JZ,-0.310533,0.310533,0.018667,0.093147,0.992,150,True,2,2,True,True,True,True,ROBUST_ORIGINAL
PT_NUTS3,2014,2019,OQ,JZ,-0.327666,0.327666,0.018667,0.106934,0.966,150,True,2,2,True,True,True,True,ROBUST_ORIGINAL
PT_NUTS3,2014,2019,MN,OQ,-0.244957,0.244957,0.028,0.053912,0.998,150,False,2,2,True,True,True,True,ROBUST_ORIGINAL
PT_NUTS3,2015,2020,JZ,MN,0.213438,0.213438,0.037333,0.042826,1.0,150,False,1,1,True,True,True,True,ROBUST_ORIGINAL
PT_NUTS3,2017,2022,BE,MN,-0.227856,0.227856,0.042,0.041024,0.998,150,True,2,2,True,True,True,True,ROBUST_ORIGINAL
PT_NUTS3,2017,2022,GI,BE,0.231411,0.231411,0.042,0.03472,0.946,150,False,2,2,True,True,True,True,ROBUST_ORIGINAL
PT_NUTS3,2017,2022,GI,FZ,0.211907,0.211907,0.042,0.019195,0.952,150,False,1,1,True,True,True,True,ROBUST_ORIGINAL
PT_NUTS3,2017,2022,MN,BE,0.205038,0.205038,0.042,0.033219,1.0,150,False,1,1,True,True,True,True,ROBUST_ORIGINAL
PT_NUTS3,2017,2022,GI,JZ,-0.220134,0.220134,0.0448,0.048112,0.998,150,True,1,1,True,True,True,True,ROBUST_ORIGINAL
PT_NUTS3,2015,2020,JZ,BE,0.193822,0.193822,0.048,0.037542,0.94,150,False,1,1,True,True,True,True,ROBUST_ORIGINAL
