ze2020,libze2020,reg,PMUN2023,PMUN2022,PMUN2021,PMUN2020,PMUN2019,PMUN2018,PMUN2017,PMUN2016,PMUN2015,PMUN2014,PMUN2013,PMUN2012,PMUN2011,PMUN2010,PMUN2009,PMUN2008,PMUN2007,PMUN2006,PSDC1999,PSDC1990,PSDC1982,PSDC1975,PSDC1968,PSDC1962,PTOT1954,PTOT1936,PTOT1931,PTOT1926,PTOT1921,PTOT1911,PTOT1906,PTOT1901,PTOT1896,PTOT1891,PTOT1886,PTOT1881,PTOT1876
0051,Alençon,52,123814.0,124291.0,124267.0,124646.0,125216.0,125695.0,126561.0,127379.0,127951.0,128256.0,128654.0,128674.0,128874.0,129086.0,129567.0,129478.0,129344.0,129247.0,126854.0,125579.0,126867.0,124315.0,120983.0,116126.0,114157.0,109785.0,109128.0,111155.0,111748.0,125510.0,129391.0,132723.0,137527.0,143884.0,149172.0,152712.0,159800.0
0052,Arles,93,142322.0,141292.0,139840.0,139958.0,139963.0,139812.0,141086.0,140850.0,141827.0,140355.0,138757.0,137698.0,136732.0,136194.0,135357.0,134574.0,133233.0,132710.0,126241.0,122943.0,115937.0,106585.0,99352.0,89701.0,81887.0,72453.0,75271.0,70100.0,68550.0,70609.0,68583.0,68504.0,63600.0,63008.0,64003.0,63883.0,65769.0
0053,Avignon,93,290589.0,288353.0,284909.0,283184.0,282435.0,281660.0,281434.0,281198.0,279655.0,278502.0,275375.0,273542.0,272755.0,270593.0,269845.0,269474.0,269981.0,268555.0,247838.0,233714.0,216822.0,198121.0,177642.0,149689.0,128226.0,118015.0,115230.0,106861.0,98206.0,104102.0,102431.0,99894.0,96190.0,94850.0,94077.0,91551.0,94680.0
0054,Beauvais,32,285835.0,286478.0,286982.0,287355.0,287479.0,286628.0,286131.0,285668.0,284418.0,283341.0,282612.0,280448.0,278619.0,277609.0,275820.0,274213.0,272858.0,271845.0,260743.0,242679.0,219976.0,204668.0,188116.0,170535.0,158885.0,155481.0,159118.0,163081.0,159900.0,168992.0,171166.0,171068.0,172798.0,174552.0,175888.0,176087.0,176436.0
0055,Bollène-Pierrelatte,84,79887.0,79350.0,78756.0,78820.0,78159.0,78011.0,77915.0,77826.0,77316.0,77147.0,76790.0,76757.0,76134.0,75686.0,75139.0,74397.0,73270.0,72270.0,68553.0,65482.0,60516.0,50412.0,50502.0,34982.0,31761.0,27200.0,28963.0,29815.0,29836.0,33785.0,34107.0,34524.0,35949.0,36150.0,37687.0,38591.0,40031.0
0056,Cosne-Cours-sur-Loire,24,66152.0,66439.0,66025.0,66160.0,66612.0,67353.0,68172.0,69058.0,69792.0,70441.0,70937.0,71169.0,71570.0,71881.0,72036.0,72412.0,72544.0,72606.0,72257.0,74363.0,75716.0,77410.0,79792.0,81043.0,83143.0,91670.0,94762.0,98866.0,102612.0,117943.0,123589.0,127358.0,132894.0,142458.0,141645.0,142862.0,143628.0
0057,Dreux,28,147117.0,147414.0,146035.0,145708.0,145431.0,145474.0,145858.0,145772.0,145503.0,145567.0,144973.0,144152.0,143012.0,142740.0,141342.0,140910.0,140969.0,140599.0,133591.0,131080.0,111868.0,98848.0,85157.0,74949.0,68382.0,63767.0,64286.0,64602.0,63050.0,67041.0,66887.0,66728.0,68493.0,69991.0,70779.0,70063.0,70955.0
0058,La Vallée de la Bresle-Vimeu,28,75793.0,76247.0,76633.0,76966.0,77651.0,78385.0,79339.0,79996.0,80654.0,81054.0,81329.0,81565.0,81870.0,82130.0,82493.0,82916.0,83108.0,82988.0,83191.0,84435.0,85193.0,86076.0,82082.0,79660.0,74006.0,70924.0,71257.0,71536.0,69795.0,70237.0,70564.0,69454.0,68470.0,67845.0,68469.0,67806.0,67298.0
0059,Mâcon,84,168596.0,167619.0,166657.0,166288.0,165226.0,164511.0,163559.0,162893.0,161976.0,161597.0,160912.0,159694.0,159601.0,158853.0,157448.0,156167.0,154102.0,152818.0,144509.0,142317.0,139951.0,135286.0,128007.0,121273.0,116540.0,116870.0,117418.0,121128.0,123542.0,137833.0,141507.0,142247.0,144296.0,147011.0,155128.0,159499.0,160394.0
0060,Nevers,24,155668.0,156329.0,156665.0,156838.0,158266.0,159248.0,160114.0,161441.0,163291.0,164555.0,165797.0,167109.0,168377.0,169230.0,169829.0,169738.0,170185.0,170824.0,172963.0,177554.0,180713.0,182964.0,182692.0,179673.0,171016.0,170473.0,174222.0,173850.0,178879.0,190617.0,197683.0,202639.0,207437.0,210983.0,212837.0,211539.0,211162.0
0061,Nogent-le-Rotrou,24,63469.0,63647.0,63774.0,64117.0,64558.0,65119.0,65759.0,66509.0,66999.0,67623.0,68300.0,68690.0,68867.0,68890.0,68993.0,68968.0,68968.0,68915.0,67459.0,66183.0,65764.0,65074.0,64378.0,63689.0,64152.0,64886.0,66982.0,68450.0,68056.0,76033.0,78523.0,81144.0,82941.0,86688.0,87603.0,89065.0,93616.0
0062,Redon,53,85799.0,85017.0,84524.0,84292.0,84204.0,84087.0,83963.0,83846.0,83685.0,83523.0,83413.0,83341.0,83071.0,82501.0,81448.0,80596.0,79821.0,78990.0,73742.0,72901.0,71893.0,70109.0,69980.0,70429.0,71378.0,76202.0,77766.0,79985.0,80851.0,88740.0,90719.0,90385.0,90372.0,89892.0,88399.0,87649.0,84785.0
0063,Ussel,84,78889.0,79049.0,79208.0,79486.0,80107.0,80649.0,81233.0,81576.0,81921.0,82302.0,82751.0,83277.0,83772.0,84550.0,84871.0,85281.0,85546.0,85737.0,88365.0,95548.0,101815.0,106855.0,113106.0,118286.0,125000.0,146206.0,147893.0,153316.0,154706.0,176872.0,181345.0,182453.0,185731.0,189943.0,191832.0,186551.0,183274.0
0064,Valréas,84,62246.0,62154.0,62299.0,62397.0,62671.0,62856.0,63147.0,63337.0,63225.0,62961.0,62785.0,62663.0,63017.0,63259.0,63614.0,63501.0,63132.0,62502.0,58871.0,55331.0,51746.0,47563.0,45561.0,42865.0,40724.0,43516.0,44678.0,46100.0,48077.0,56002.0,58343.0,58607.0,60876.0,62394.0,65151.0,67884.0,71021.0
1101,Cergy-Vexin,11,653208.0,647954.0,640039.0,637316.0,633388.0,627411.0,620439.0,615705.0,611048.0,605179.0,598505.0,594037.0,589796.0,584050.0,581848.0,579242.0,577050.0,574684.0,552490.0,516231.0,419051.0,351920.0,280920.0,228417.0,186960.0,155496.0,152070.0,134317.0,115702.0,105722.0,97920.0,92382.0,87997.0,82032.0,81247.0,77154.0,75714.0
1102,Coulommiers,11,76400.0,75538.0,74981.0,74526.0,73848.0,73440.0,73150.0,72999.0,72959.0,72475.0,72009.0,71593.0,71002.0,70406.0,69279.0,68107.0,67363.0,67061.0,62698.0,55734.0,47724.0,42621.0,39811.0,38115.0,37110.0,36013.0,36537.0,36651.0,35348.0,39978.0,40117.0,39877.0,40030.0,40329.0,41777.0,40936.0,41503.0
1103,Étampes,11,111261.0,110492.0,110371.0,109327.0,108354.0,108043.0,108164.0,107381.0,107038.0,106865.0,106149.0,105143.0,104070.0,102687.0,101064.0,100376.0,99955.0,99794.0,94499.0,88141.0,76880.0,68921.0,54926.0,48509.0,44887.0,41331.0,42053.0,41841.0,40462.0,42062.0,42124.0,41883.0,41492.0,40377.0,39512.0,38649.0,38703.0
1104,Évry-Courcouronnes,11,626010.0,620425.0,614986.0,612518.0,610715.0,607772.0,608151.0,607273.0,601251.0,596718.0,590188.0,582017.0,573919.0,569120.0,566271.0,564277.0,561022.0,556443.0,521437.0,493648.0,414156.0,360640.0,242931.0,170114.0,130843.0,111757.0,106641.0,90752.0,76088.0,72678.0,69047.0,67008.0,64375.0,60317.0,58039.0,55065.0,52542.0
