country,source_sector,target_sector,mean_score,median_score,std_score,stability_score,sign_consistency,dominant_sign,n_windows,n_covid_windows,n_non_covid_windows,n_above_threshold
FR,BE,FZ,0.966,0.9781,0.0306,0.9694,1.0,negative,7,5,2,7
FR,BE,GI,0.9661,0.9771,0.0272,0.9728,1.0,negative,7,5,2,7
FR,BE,JZ,0.9414,0.9623,0.0567,0.9433,1.0,negative,7,5,2,7
FR,BE,KZ,0.9537,0.9727,0.0457,0.9543,1.0,negative,7,5,2,7
FR,BE,LZ,0.9461,0.9627,0.0526,0.9474,1.0,negative,7,5,2,7
FR,BE,MN,0.9521,0.9691,0.0459,0.9541,1.0,negative,7,5,2,7
FR,BE,OQ,0.9693,0.9835,0.0287,0.9713,1.0,negative,7,5,2,7
FR,BE,RU,0.952,0.9721,0.0481,0.9519,1.0,negative,7,5,2,7
FR,FZ,BE,0.9799,0.9783,0.0171,0.9829,1.0,negative,7,5,2,7
FR,FZ,GI,0.9922,0.9935,0.0034,0.9966,1.0,negative,7,5,2,7
FR,FZ,JZ,0.9884,0.9899,0.0071,0.9929,1.0,negative,7,5,2,7
FR,FZ,KZ,0.9906,0.9918,0.0061,0.9939,1.0,negative,7,5,2,7
FR,FZ,LZ,0.9882,0.9918,0.0082,0.9918,1.0,negative,7,5,2,7
FR,FZ,MN,0.9907,0.9907,0.005,0.995,1.0,negative,7,5,2,7
FR,FZ,OQ,0.9933,0.9939,0.0029,0.9971,1.0,negative,7,5,2,7
FR,FZ,RU,0.9901,0.9914,0.0062,0.9938,1.0,negative,7,5,2,7
FR,GI,BE,0.9777,0.9854,0.0145,0.9855,1.0,negative,7,5,2,7
FR,GI,FZ,0.991,0.9897,0.0027,0.9973,1.0,negative,7,5,2,7
FR,GI,JZ,0.9862,0.9881,0.0054,0.9946,1.0,negative,7,5,2,7
FR,GI,KZ,0.9881,0.9883,0.0043,0.9957,1.0,negative,7,5,2,7
FR,GI,LZ,0.9853,0.9854,0.0067,0.9933,1.0,negative,7,5,2,7
FR,GI,MN,0.9883,0.9886,0.0035,0.9965,1.0,negative,7,5,2,7
FR,GI,OQ,0.9911,0.9912,0.0025,0.9975,1.0,negative,7,5,2,7
FR,GI,RU,0.9882,0.9894,0.0051,0.9949,1.0,negative,7,5,2,7
FR,JZ,BE,0.9524,0.9564,0.0475,0.9525,1.0,negative,7,5,2,7
FR,JZ,FZ,0.9853,0.9864,0.0107,0.9893,1.0,negative,7,5,2,7
FR,JZ,GI,0.9851,0.9891,0.0098,0.9902,1.0,negative,7,5,2,7
FR,JZ,KZ,0.9814,0.9814,0.0152,0.9848,1.0,negative,7,5,2,7
FR,JZ,LZ,0.9751,0.9836,0.022,0.978,1.0,negative,7,5,2,7
FR,JZ,MN,0.9811,0.9791,0.0136,0.9864,1.0,negative,7,5,2,7
FR,JZ,OQ,0.9872,0.9874,0.0082,0.9918,1.0,negative,7,5,2,7
FR,JZ,RU,0.9795,0.9807,0.0175,0.9825,1.0,negative,7,5,2,7
FR,KZ,BE,0.9705,0.9717,0.0219,0.9781,1.0,negative,7,5,2,7
FR,KZ,FZ,0.9887,0.9898,0.0046,0.9954,1.0,negative,7,5,2,7
FR,KZ,GI,0.9883,0.9889,0.0035,0.9965,1.0,negative,7,5,2,7
FR,KZ,JZ,0.9833,0.9828,0.0083,0.9917,1.0,negative,7,5,2,7
FR,KZ,LZ,0.9834,0.9858,0.0093,0.9907,1.0,negative,7,5,2,7
FR,KZ,MN,0.9859,0.9868,0.0057,0.9943,1.0,negative,7,5,2,7
FR,KZ,OQ,0.9898,0.9903,0.0032,0.9968,1.0,negative,7,5,2,7
FR,KZ,RU,0.9852,0.9883,0.0083,0.9917,1.0,negative,7,5,2,7
FR,LZ,BE,0.9571,0.9584,0.0415,0.9585,1.0,negative,7,5,2,7
FR,LZ,FZ,0.9852,0.9895,0.01,0.99,1.0,negative,7,5,2,7
FR,LZ,GI,0.9839,0.9845,0.0096,0.9904,1.0,negative,7,5,2,7
FR,LZ,JZ,0.976,0.9823,0.0184,0.9816,1.0,negative,7,5,2,7
FR,LZ,KZ,0.982,0.9865,0.0137,0.9863,1.0,negative,7,5,2,7
FR,LZ,MN,0.981,0.9837,0.0126,0.9874,1.0,negative,7,5,2,7
FR,LZ,OQ,0.9872,0.9888,0.0072,0.9928,1.0,negative,7,5,2,7
FR,LZ,RU,0.9797,0.985,0.0165,0.9835,1.0,negative,7,5,2,7
FR,MN,BE,0.9639,0.9635,0.0286,0.9714,1.0,negative,7,5,2,7
FR,MN,FZ,0.988,0.9878,0.0051,0.9949,1.0,negative,7,5,2,7
FR,MN,GI,0.9873,0.9892,0.0043,0.9957,1.0,negative,7,5,2,7
FR,MN,JZ,0.9813,0.9785,0.01,0.99,1.0,negative,7,5,2,7
FR,MN,KZ,0.9846,0.9854,0.0076,0.9924,1.0,negative,7,5,2,7
FR,MN,LZ,0.9809,0.9852,0.0113,0.9887,1.0,negative,7,5,2,7
FR,MN,OQ,0.9888,0.9902,0.0039,0.9961,1.0,negative,7,5,2,7
FR,MN,RU,0.9836,0.9866,0.0095,0.9905,1.0,negative,7,5,2,7
FR,OQ,BE,0.9812,0.9852,0.0095,0.9905,1.0,negative,7,5,2,7
FR,OQ,FZ,0.9917,0.9914,0.0017,0.9983,1.0,negative,7,5,2,7
FR,OQ,GI,0.9908,0.9905,0.0022,0.9978,1.0,negative,7,5,2,7
FR,OQ,JZ,0.9882,0.9897,0.0028,0.9972,1.0,negative,7,5,2,7
FR,OQ,KZ,0.9896,0.9895,0.0029,0.9971,1.0,negative,7,5,2,7
FR,OQ,LZ,0.9882,0.9894,0.0038,0.9962,1.0,negative,7,5,2,7
FR,OQ,MN,0.9897,0.99,0.0019,0.9981,1.0,negative,7,5,2,7
FR,OQ,RU,0.9897,0.9905,0.0033,0.9967,1.0,negative,7,5,2,7
FR,RU,BE,0.9653,0.9702,0.0353,0.9647,1.0,negative,7,5,2,7
FR,RU,FZ,0.9888,0.9891,0.0077,0.9923,1.0,negative,7,5,2,7
FR,RU,GI,0.9883,0.9904,0.0074,0.9926,1.0,negative,7,5,2,7
FR,RU,JZ,0.9815,0.9807,0.0147,0.9853,1.0,negative,7,5,2,7
FR,RU,KZ,0.9852,0.9871,0.0121,0.9879,1.0,negative,7,5,2,7
FR,RU,LZ,0.981,0.987,0.0166,0.9834,1.0,negative,7,5,2,7
FR,RU,MN,0.985,0.9854,0.0107,0.9893,1.0,negative,7,5,2,7
FR,RU,OQ,0.99,0.9922,0.0064,0.9936,1.0,negative,7,5,2,7
NL,BE,FZ,0.9793,0.9772,0.0051,0.9949,1.0,negative,6,5,1,6
NL,BE,GI,0.9832,0.9827,0.0051,0.9949,1.0,negative,6,5,1,6
NL,BE,JZ,0.9851,0.9862,0.0049,0.9951,1.0,negative,6,5,1,6
NL,BE,KZ,0.9809,0.9871,0.012,0.988,1.0,negative,6,5,1,6
NL,BE,LZ,0.9835,0.9864,0.0081,0.9919,1.0,negative,6,5,1,6
NL,BE,MN,0.9847,0.9844,0.0036,0.9964,1.0,negative,6,5,1,6
NL,BE,OQ,0.769,0.8807,0.2959,0.7041,0.8333,negative,6,5,1,5
NL,BE,RU,0.9872,0.9883,0.0048,0.9952,1.0,negative,6,5,1,6
NL,FZ,BE,0.981,0.984,0.0103,0.9897,1.0,negative,6,5,1,6
NL,FZ,GI,0.9829,0.9828,0.0098,0.9902,1.0,negative,6,5,1,6
NL,FZ,JZ,0.9866,0.9882,0.0058,0.9942,1.0,negative,6,5,1,6
NL,FZ,KZ,0.9824,0.9892,0.0143,0.9857,1.0,negative,6,5,1,6
NL,FZ,LZ,0.9848,0.9892,0.0102,0.9898,1.0,negative,6,5,1,6
NL,FZ,MN,0.9853,0.9879,0.0073,0.9927,1.0,negative,6,5,1,6
NL,FZ,OQ,0.7512,0.8495,0.2796,0.7204,0.8333,negative,6,5,1,5
NL,FZ,RU,0.9879,0.9895,0.0045,0.9955,1.0,negative,6,5,1,6
NL,GI,BE,0.9875,0.989,0.0063,0.9937,1.0,negative,6,5,1,6
NL,GI,FZ,0.9857,0.987,0.006,0.994,1.0,negative,6,5,1,6
NL,GI,JZ,0.9906,0.9913,0.0032,0.9968,1.0,negative,6,5,1,6
NL,GI,KZ,0.9856,0.9911,0.0145,0.9855,1.0,negative,6,5,1,6
NL,GI,LZ,0.9889,0.9911,0.0063,0.9937,1.0,negative,6,5,1,6
NL,GI,MN,0.9897,0.9909,0.0038,0.9962,1.0,negative,6,5,1,6
NL,GI,OQ,0.8133,0.9242,0.2792,0.7208,0.8333,negative,6,5,1,5
NL,GI,RU,0.9917,0.9919,0.0022,0.9978,1.0,negative,6,5,1,6
NL,JZ,BE,0.9884,0.9889,0.0033,0.9967,1.0,negative,6,5,1,6
NL,JZ,FZ,0.9877,0.9873,0.0019,0.9981,1.0,negative,6,5,1,6
NL,JZ,GI,0.9895,0.9904,0.0031,0.9969,1.0,negative,6,5,1,6
NL,JZ,KZ,0.9876,0.9934,0.0101,0.9899,1.0,negative,6,5,1,6
NL,JZ,LZ,0.9909,0.9925,0.0032,0.9968,1.0,negative,6,5,1,6
NL,JZ,MN,0.9917,0.9919,0.0011,0.9989,1.0,negative,6,5,1,6
NL,JZ,OQ,0.8,0.9291,0.2979,0.7021,0.8333,negative,6,5,1,5
NL,JZ,RU,0.9926,0.993,0.0015,0.9985,1.0,negative,6,5,1,6
NL,KZ,BE,0.9842,0.9881,0.0142,0.9858,1.0,negative,6,5,1,6
NL,KZ,FZ,0.984,0.9878,0.0127,0.9873,1.0,negative,6,5,1,6
NL,KZ,GI,0.9859,0.9874,0.0106,0.9894,1.0,negative,6,5,1,6
NL,KZ,JZ,0.9874,0.9914,0.0118,0.9882,1.0,negative,6,5,1,6
NL,KZ,LZ,0.9854,0.9904,0.0137,0.9863,1.0,negative,6,5,1,6
NL,KZ,MN,0.9879,0.9916,0.0113,0.9887,1.0,negative,6,5,1,6
NL,KZ,OQ,0.7843,0.9361,0.3185,0.6815,0.8333,negative,6,5,1,5
NL,KZ,RU,0.9876,0.9921,0.0126,0.9874,1.0,negative,6,5,1,6
NL,LZ,BE,0.9868,0.9902,0.0068,0.9932,1.0,negative,6,5,1,6
NL,LZ,FZ,0.986,0.9871,0.0048,0.9952,1.0,negative,6,5,1,6
NL,LZ,GI,0.9886,0.9899,0.006,0.994,1.0,negative,6,5,1,6
NL,LZ,JZ,0.9909,0.9931,0.0038,0.9962,1.0,negative,6,5,1,6
NL,LZ,KZ,0.9834,0.9916,0.0158,0.9842,1.0,negative,6,5,1,6
NL,LZ,MN,0.9904,0.9912,0.0031,0.9969,1.0,negative,6,5,1,6
NL,LZ,OQ,0.7831,0.9175,0.3105,0.6895,0.8333,negative,6,5,1,5
NL,LZ,RU,0.9917,0.9932,0.0032,0.9968,1.0,negative,6,5,1,6
NL,MN,BE,0.9883,0.9888,0.0036,0.9964,1.0,negative,6,5,1,6
NL,MN,FZ,0.9871,0.9868,0.0042,0.9958,1.0,negative,6,5,1,6
NL,MN,GI,0.9896,0.9895,0.0037,0.9963,1.0,negative,6,5,1,6
NL,MN,JZ,0.9923,0.9925,0.0015,0.9985,1.0,negative,6,5,1,6
NL,MN,KZ,0.9888,0.9933,0.0094,0.9906,1.0,negative,6,5,1,6
NL,MN,LZ,0.9914,0.9929,0.0033,0.9967,1.0,negative,6,5,1,6
NL,MN,OQ,0.7991,0.9176,0.285,0.715,0.8333,negative,6,5,1,5
NL,MN,RU,0.9927,0.9931,0.0014,0.9986,1.0,negative,6,5,1,6
NL,OQ,BE,0.547,0.5865,0.4461,0.5539,1.0,negative,6,5,1,3
NL,OQ,FZ,0.5342,0.5679,0.4556,0.5444,1.0,negative,6,5,1,3
NL,OQ,GI,0.5332,0.5603,0.4577,0.5423,1.0,negative,6,5,1,3
NL,OQ,JZ,0.5364,0.5682,0.4579,0.5421,1.0,negative,6,5,1,3
NL,OQ,KZ,0.5452,0.5799,0.4447,0.5553,1.0,negative,6,5,1,3
NL,OQ,LZ,0.5283,0.5525,0.4641,0.5359,1.0,negative,6,5,1,3
NL,OQ,MN,0.5371,0.5703,0.4564,0.5436,1.0,negative,6,5,1,3
NL,OQ,RU,0.54,0.5758,0.4558,0.5442,1.0,negative,6,5,1,3
NL,RU,BE,0.9895,0.9896,0.0024,0.9976,1.0,negative,6,5,1,6
NL,RU,FZ,0.9883,0.988,0.0014,0.9986,1.0,negative,6,5,1,6
NL,RU,GI,0.9905,0.9901,0.0022,0.9978,1.0,negative,6,5,1,6
NL,RU,JZ,0.9925,0.9931,0.0019,0.9981,1.0,negative,6,5,1,6
NL,RU,KZ,0.9872,0.9932,0.0104,0.9896,1.0,negative,6,5,1,6
NL,RU,LZ,0.9913,0.9929,0.0029,0.9971,1.0,negative,6,5,1,6
