task_id,country,scenario,window_start,window_end,source_sector,target_sector,n_samples,beta,delta_r2,p_perm,bootstrap_sign_stability,panel_checksum,commit_sha,hostname,runtime_seconds,q_fdr,promoted
0,FR,main,2010,2015,BE,FZ,560,0.021152224893138838,0.00044702243702188227,0.589,0.71,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpclogin01,865.862,0.8835000000000001,False
0,FR,main,2010,2015,BE,GI,560,0.015312600572679913,0.0002320577320986672,0.756,0.632,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpclogin01,865.862,0.9225762711864407,False
0,FR,main,2010,2015,BE,JZ,560,-0.006302102097582862,3.963959221242597e-05,0.877,0.516,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpclogin01,865.862,0.986625,False
0,FR,main,2010,2015,BE,KZ,560,0.057488644371552766,0.003302777443469296,0.171,0.902,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpclogin01,865.862,0.684,False
0,FR,main,2010,2015,BE,LZ,560,0.07313899278414937,0.00534114698944177,0.074,0.968,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpclogin01,865.862,0.432,False
0,FR,main,2010,2015,BE,MN,560,-0.01912232766569022,0.00036520291880204336,0.651,0.656,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpclogin01,865.862,0.8866666666666667,False
0,FR,main,2010,2015,BE,OQ,560,-0.007768356622396444,6.02323957468176e-05,0.859,0.522,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpclogin01,865.862,0.986625,False
0,FR,main,2010,2015,BE,RU,560,0.08279966152154394,0.006841486988107381,0.047,0.97,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpclogin01,865.862,0.3384,False
1,FR,main,2010,2015,FZ,BE,560,0.002255770479360125,5.084017408507613e-06,0.941,0.53,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpclogin01,886.838,0.996,False
1,FR,main,2010,2015,FZ,GI,560,0.04815633730750963,0.0021817794138756508,0.303,0.842,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpclogin01,886.838,0.7584,False
1,FR,main,2010,2015,FZ,JZ,560,0.10290590768668945,0.010514945551105659,0.018,0.976,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpclogin01,886.838,0.261,False
1,FR,main,2010,2015,FZ,KZ,560,0.0018684599809865032,3.4764740187709364e-06,0.952,0.528,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpclogin01,886.838,0.996,False
1,FR,main,2010,2015,FZ,LZ,560,0.0593230326089379,0.0035171793922615935,0.152,0.862,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpclogin01,886.838,0.6734117647058824,False
1,FR,main,2010,2015,FZ,MN,560,0.019871948362425326,0.00039344781173256127,0.62,0.644,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpclogin01,886.838,0.8866666666666667,False
