task_id,country,scenario,window_start,window_end,source_sector,target_sector,n_samples,beta,delta_r2,p_perm,bootstrap_sign_stability,panel_checksum,commit_sha,hostname,runtime_seconds,q_fdr,promoted
98,FR,main,2020,2025,RU,MN,1680,-0.10798176476658389,0.011478599383525134,0.001,1.0,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode26,1539.506,0.024000000000000004,True
234,NL,main,2009,2014,BE,MN,240,-0.22194794890325092,0.04776574559381552,0.001,1.0,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,simatlabnode04,182.48,0.028,True
234,NL,main,2009,2014,BE,RU,240,-0.2048528799572212,0.04186166020232018,0.001,0.986,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,simatlabnode04,182.48,0.028,True
280,NL,main,2014,2019,FZ,GI,240,0.1953236916762181,0.03801766960699049,0.002,0.994,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,simatlabnode07,214.675,0.0432,True
280,NL,main,2014,2019,FZ,RU,240,0.16971372576479038,0.028147183435649814,0.003,0.964,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,simatlabnode07,214.675,0.0432,True
282,NL,main,2014,2019,JZ,FZ,240,-0.23010324533709853,0.05253220588957408,0.002,0.936,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,simatlabnode07,216.066,0.0432,True
282,NL,main,2014,2019,JZ,RU,240,-0.18002328929013592,0.03227195363097812,0.003,0.996,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,simatlabnode07,216.066,0.0432,True
284,NL,main,2014,2019,LZ,RU,239,0.17507150238130328,0.030618412128698758,0.003,0.964,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,simatlabnode07,257.33,0.0432,True
286,NL,main,2014,2019,OQ,JZ,120,-0.2855031155113106,0.08120497812747485,0.004,0.804,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,simatlabnode07,199.387,0.04800000000000001,True
550,PT,main,2014,2019,BE,MN,150,-0.2806957415036843,0.06497611080091903,0.001,0.992,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode41,105.511,0.018666666666666668,True
555,PT,main,2014,2019,MN,JZ,150,-0.3105327112403854,0.09314709012298705,0.001,0.992,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode42,103.173,0.018666666666666668,True
555,PT,main,2014,2019,MN,OQ,150,-0.24495659123762853,0.053911990525731146,0.002,0.998,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode42,103.173,0.028,True
556,PT,main,2014,2019,OQ,JZ,150,-0.32766633100931736,0.10693420130852027,0.001,0.966,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode42,106.417,0.018666666666666668,True
559,PT,main,2015,2020,FZ,BE,150,0.25472255424323886,0.035816459885955276,0.001,0.998,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,simatlabnode01,147.028,0.0112,True
560,PT,main,2015,2020,GI,BE,150,0.36173598270211377,0.07763538053600827,0.001,0.998,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,simatlabnode01,143.946,0.0112,True
561,PT,main,2015,2020,JZ,BE,150,0.19382202923055433,0.037542204460913164,0.006,0.94,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,simatlabnode01,152.071,0.048,True
561,PT,main,2015,2020,JZ,MN,150,0.21343836837038882,0.04282566694653478,0.004,1.0,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,simatlabnode01,152.071,0.037333333333333336,True
563,PT,main,2015,2020,MN,JZ,150,-0.2886169835543657,0.07830742035018812,0.001,0.996,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,simatlabnode01,148.167,0.0112,True
