year,ze2020,libze2020,side_enterprise_creations_official,side_establishment_creations_official,communes_count
2012,0051,Alençon,668.0,825.0,184
2012,0052,Arles,1511.0,1832.0,20
2012,0053,Avignon,3330.0,3762.0,36
2012,0054,Beauvais,1747.0,1923.0,327
2012,0055,Bollène-Pierrelatte,663.0,750.0,29
2012,0056,Cosne-Cours-sur-Loire,436.0,487.0,119
2012,0057,Dreux,1000.0,1093.0,115
2012,0058,La Vallée de la Bresle-Vimeu,353.0,401.0,93
2012,0059,Mâcon,1247.0,1373.0,159
2012,0060,Nevers,856.0,990.0,180
2012,0061,Nogent-le-Rotrou,410.0,449.0,82
2012,0062,Redon,514.0,550.0,43
2012,0063,Ussel,404.0,499.0,186
2012,0064,Valréas,667.0,741.0,114
2012,0101,Côte sous le vent,198.0,216.0,3
2012,0102,Est Grande Terre,680.0,704.0,6
2012,0103,Marie-Galante,71.0,80.0,3
2012,0104,Région Pointoise,3424.0,3643.0,10
2012,0105,Sud Basse-Terre,639.0,707.0,10
2012,0201,Le Centre-Atlantique,478.0,538.0,4
2012,0202,Le Centre agglomération,2866.0,2951.0,4
2012,0203,Le Nord-Atlantique,101.0,108.0,6
2012,0204,Le Nord-Caraibe,182.0,193.0,8
2012,0205,Le Sud,454.0,490.0,5
2012,0206,Le Sud-Caraibe,837.0,934.0,7
2012,0301,Est-littoral,1829.0,1957.0,10
2012,0302,Ouest-Guyanais,205.0,225.0,8
2012,0303,Savanes,225.0,264.0,4
2012,0401,L'Est,812.0,861.0,6
2012,0402,L'Ouest,2061.0,2254.0,5
2012,0403,Le Nord,1883.0,1948.0,3
2012,0404,Le Sud,2474.0,2740.0,10
2012,0601,Mayotte,896.0,997.0,17
2012,1101,Cergy-Vexin,4918.0,5415.0,120
2012,1102,Coulommiers,567.0,603.0,54
2012,1103,Étampes,795.0,838.0,64
2012,1104,Évry-Courcouronnes,4585.0,5180.0,68
2012,1105,Fontainebleau-Nemours,1638.0,1803.0,106
2012,1106,Marne-la-Vallée,3948.0,4412.0,69
2012,1107,Meaux,1578.0,1729.0,102
2012,1108,Melun,1436.0,1617.0,71
2012,1109,Paris,89925.0,102158.0,122
2012,1110,Provins,443.0,476.0,81
2012,1111,Rambouillet,668.0,719.0,36
2012,1112,Roissy,7068.0,7910.0,87
2012,1113,Saclay,3998.0,4518.0,62
2012,1114,Seine-Yvelinoise,6620.0,7369.0,121
2012,1115,Versailles-Saint-Quentin,4908.0,5599.0,103
2012,2401,Blois,1133.0,1291.0,104
2012,2402,Bourges,1170.0,1351.0,170
2012,2403,Chartres,1296.0,1440.0,150
2012,2404,Châteaudun,318.0,342.0,63
2012,2405,Châteauroux,1199.0,1345.0,213
2012,2406,Chinon,286.0,320.0,42
2012,2407,Gien,452.0,543.0,67
2012,2408,Loches,340.0,393.0,78
2012,2409,Montargis,959.0,1033.0,96
2012,2410,Orléans,2851.0,3308.0,133
