target_year,ZE2020,BE,FZ,GI,JZ,KZ,LZ,MN,OQ,RU,total
2012,51,57.0,154.0,232.0,20.0,26.0,34.0,109.0,85.0,108.0,825.0
2013,51,54.0,147.0,240.0,29.0,21.0,17.0,81.0,77.0,89.0,755.0
2014,51,59.0,125.0,216.0,11.0,32.0,25.0,102.0,81.0,90.0,741.0
2015,51,56.0,107.0,226.0,17.0,22.0,28.0,117.0,82.0,78.0,733.0
2016,51,57.0,121.0,242.0,10.0,24.0,37.0,116.0,94.0,76.0,777.0
2017,51,60.0,89.0,252.0,12.0,30.0,25.0,112.0,83.0,79.0,742.0
2018,51,56.0,91.0,273.0,14.0,32.0,31.0,130.0,99.0,108.0,834.0
2019,51,71.0,114.0,326.0,27.0,35.0,41.0,150.0,97.0,116.0,977.0
2020,51,66.0,94.0,386.0,31.0,25.0,33.0,174.0,102.0,98.0,1009.0
2021,51,100.0,97.0,390.0,30.0,35.0,55.0,181.0,120.0,141.0,1149.0
2022,51,112.0,138.0,331.0,48.0,49.0,44.0,231.0,110.0,145.0,1208.0
2023,51,151.0,105.0,324.0,44.0,69.0,44.0,220.0,104.0,159.0,1220.0
2024,51,190.0,115.0,341.0,59.0,43.0,40.0,293.0,108.0,188.0,1377.0
2025,51,201.0,121.0,404.0,61.0,39.0,53.0,274.0,111.0,184.0,1448.0
2012,52,298.0,271.0,524.0,46.0,27.0,55.0,273.0,128.0,210.0,1832.0
2013,52,150.0,209.0,570.0,33.0,40.0,40.0,284.0,127.0,196.0,1649.0
2014,52,133.0,258.0,517.0,32.0,39.0,40.0,230.0,129.0,174.0,1552.0
2015,52,111.0,180.0,500.0,42.0,50.0,41.0,278.0,170.0,175.0,1547.0
2016,52,119.0,222.0,578.0,18.0,47.0,44.0,275.0,185.0,172.0,1660.0
2017,52,120.0,209.0,580.0,35.0,53.0,50.0,282.0,174.0,174.0,1677.0
2018,52,146.0,189.0,597.0,33.0,41.0,70.0,341.0,194.0,177.0,1788.0
2019,52,152.0,216.0,698.0,52.0,53.0,87.0,399.0,181.0,242.0,2080.0
2020,52,189.0,234.0,656.0,59.0,75.0,65.0,424.0,164.0,238.0,2104.0
2021,52,250.0,268.0,805.0,79.0,87.0,98.0,544.0,204.0,280.0,2615.0
2022,52,223.0,275.0,711.0,84.0,83.0,109.0,609.0,211.0,362.0,2667.0
2023,52,190.0,234.0,702.0,73.0,84.0,106.0,608.0,261.0,361.0,2619.0
2024,52,215.0,250.0,875.0,93.0,66.0,136.0,660.0,212.0,330.0,2837.0
2025,52,207.0,247.0,836.0,116.0,71.0,110.0,730.0,243.0,332.0,2892.0
2012,53,231.0,633.0,1125.0,120.0,91.0,109.0,614.0,379.0,460.0,3762.0
2013,53,176.0,558.0,1091.0,99.0,110.0,84.0,596.0,354.0,366.0,3434.0
2014,53,212.0,574.0,1093.0,81.0,95.0,83.0,651.0,374.0,400.0,3563.0
2015,53,184.0,471.0,1109.0,89.0,118.0,67.0,617.0,417.0,363.0,3435.0
2016,53,198.0,457.0,1104.0,102.0,111.0,87.0,588.0,435.0,350.0,3432.0
2017,53,184.0,453.0,1201.0,89.0,124.0,97.0,643.0,428.0,396.0,3615.0
2018,53,163.0,571.0,1398.0,118.0,125.0,107.0,825.0,448.0,414.0,4169.0
2019,53,282.0,647.0,1580.0,132.0,128.0,158.0,915.0,424.0,499.0,4765.0
2020,53,271.0,575.0,1722.0,149.0,122.0,140.0,986.0,442.0,464.0,4871.0
2021,53,306.0,672.0,1996.0,177.0,161.0,204.0,1207.0,502.0,593.0,5818.0
2022,53,355.0,662.0,1733.0,247.0,174.0,194.0,1375.0,486.0,719.0,5945.0
2023,53,326.0,651.0,1673.0,220.0,160.0,196.0,1335.0,537.0,672.0,5770.0
2024,53,413.0,667.0,1935.0,265.0,194.0,206.0,1517.0,537.0,729.0,6463.0
2025,53,370.0,609.0,2021.0,288.0,146.0,274.0,1509.0,589.0,737.0,6543.0
2012,54,114.0,365.0,550.0,54.0,28.0,75.0,333.0,175.0,229.0,1923.0
2013,54,110.0,332.0,569.0,61.0,41.0,40.0,309.0,154.0,235.0,1851.0
2014,54,119.0,389.0,603.0,53.0,46.0,55.0,302.0,182.0,200.0,1949.0
2015,54,112.0,316.0,645.0,41.0,64.0,66.0,325.0,167.0,195.0,1931.0
2016,54,124.0,285.0,738.0,44.0,66.0,73.0,339.0,205.0,162.0,2036.0
2017,54,154.0,297.0,723.0,53.0,65.0,98.0,380.0,187.0,206.0,2163.0
2018,54,136.0,276.0,799.0,60.0,61.0,109.0,407.0,211.0,228.0,2287.0
2019,54,148.0,312.0,837.0,66.0,71.0,144.0,461.0,222.0,305.0,2566.0
2020,54,137.0,315.0,983.0,83.0,68.0,147.0,442.0,210.0,239.0,2624.0
2021,54,259.0,372.0,1108.0,107.0,76.0,182.0,570.0,294.0,352.0,3320.0
2022,54,296.0,376.0,901.0,128.0,116.0,184.0,697.0,316.0,415.0,3429.0
2023,54,339.0,362.0,1015.0,129.0,85.0,126.0,777.0,284.0,401.0,3518.0
2024,54,423.0,345.0,1134.0,178.0,93.0,108.0,802.0,288.0,408.0,3779.0
2025,54,382.0,325.0,1166.0,187.0,88.0,137.0,856.0,307.0,423.0,3871.0
2012,55,53.0,147.0,201.0,21.0,18.0,21.0,105.0,89.0,95.0,750.0
2013,55,97.0,115.0,260.0,20.0,9.0,20.0,112.0,84.0,83.0,800.0
2014,55,71.0,130.0,215.0,10.0,17.0,13.0,107.0,85.0,87.0,735.0
2015,55,60.0,96.0,199.0,14.0,9.0,19.0,104.0,86.0,81.0,668.0
2016,55,78.0,100.0,275.0,17.0,7.0,18.0,117.0,83.0,80.0,775.0
2017,55,60.0,95.0,237.0,14.0,14.0,18.0,109.0,74.0,75.0,696.0
2018,55,72.0,101.0,254.0,9.0,23.0,27.0,156.0,82.0,125.0,849.0
2019,55,96.0,108.0,280.0,26.0,19.0,30.0,171.0,91.0,126.0,947.0
2020,55,84.0,113.0,309.0,28.0,16.0,40.0,160.0,76.0,105.0,931.0
2021,55,112.0,114.0,325.0,27.0,31.0,47.0,217.0,95.0,163.0,1131.0
2022,55,126.0,131.0,380.0,34.0,31.0,48.0,253.0,121.0,160.0,1284.0
2023,55,125.0,98.0,372.0,39.0,28.0,51.0,274.0,98.0,161.0,1246.0
2024,55,137.0,120.0,361.0,36.0,28.0,57.0,273.0,124.0,171.0,1307.0
2025,55,165.0,96.0,381.0,42.0,22.0,48.0,298.0,113.0,152.0,1317.0
2012,56,39.0,78.0,161.0,10.0,7.0,21.0,58.0,41.0,72.0,487.0
2013,56,30.0,83.0,180.0,7.0,21.0,9.0,73.0,42.0,50.0,495.0
2014,56,54.0,75.0,187.0,8.0,10.0,13.0,62.0,55.0,46.0,510.0
2015,56,42.0,58.0,167.0,9.0,12.0,9.0,74.0,49.0,42.0,462.0
2016,56,48.0,39.0,168.0,5.0,10.0,13.0,65.0,46.0,43.0,437.0
