ZE2020,source_year,side_stock_total_t_minus_1,side_stock_be_t_minus_1,side_stock_fz_t_minus_1,side_stock_gi_t_minus_1,side_stock_jz_t_minus_1,side_stock_kz_t_minus_1,side_stock_lz_t_minus_1,side_stock_mn_t_minus_1,side_stock_oq_t_minus_1,side_stock_ru_t_minus_1,side_stock_growth_1y_t_minus_1,target_year
0051,2014,6620,569,999,1971,99,292,477,771,814,628,,2015
0051,2015,6614,553,959,1973,105,304,457,772,870,621,-0.0009063444108761143,2016
0051,2016,6648,560,977,1952,97,311,459,795,876,621,0.005140610825521641,2017
0051,2017,6615,552,942,1925,103,323,461,811,887,611,-0.0049638989169674685,2018
0051,2018,6761,558,956,1925,101,327,464,842,932,656,0.022071050642479273,2019
0051,2019,7105,585,979,1981,107,372,455,929,999,698,0.05088004733027662,2020
0051,2020,7265,602,973,2036,120,383,450,980,994,727,0.022519352568613593,2021
0051,2021,7624,632,1018,2092,135,393,481,1043,1028,802,0.049415003441156236,2022
0051,2022,7912,656,1031,2144,156,419,483,1135,1032,856,0.03777544596012583,2023
0051,2023,7825,652,1037,2101,164,446,332,1194,1021,878,-0.010995955510616828,2024
0052,2014,11276,805,1479,3656,211,358,686,1590,1422,1069,,2015
0052,2015,11566,859,1455,3669,216,389,688,1669,1534,1087,0.02571833983682148,2016
0052,2016,11842,876,1499,3745,221,405,683,1720,1578,1115,0.023863046861490655,2017
0052,2017,12020,857,1505,3796,211,440,687,1758,1633,1133,0.015031244722175208,2018
0052,2018,12532,909,1500,3840,231,470,733,1918,1725,1206,0.0425956738768718,2019
0052,2019,13029,943,1548,3948,237,489,768,2038,1774,1284,0.03965847430577729,2020
0052,2020,13451,977,1570,4041,243,522,791,2154,1817,1336,0.032389285440171944,2021
0052,2021,14444,1059,1676,4259,300,570,805,2394,1917,1464,0.07382350754590727,2022
0052,2022,15183,1120,1737,4350,321,625,852,2610,1932,1636,0.05116311271116025,2023
0052,2023,15582,1123,1738,4388,324,672,785,2797,2026,1729,0.026279391424619547,2024
0053,2014,23224,1426,3126,6910,494,973,1278,3697,3291,2029,,2015
0053,2015,23733,1441,3155,7058,498,1020,1226,3800,3432,2103,0.021916982431966936,2016
0053,2016,24134,1448,3173,7142,517,1061,1220,3837,3579,2157,0.016896304723380995,2017
0053,2017,24533,1477,3199,7138,538,1121,1248,3950,3686,2176,0.016532692467059018,2018
0053,2018,25764,1484,3392,7466,582,1214,1255,4215,3845,2311,0.05017731219174171,2019
0053,2019,27005,1567,3540,7684,627,1245,1254,4547,4050,2491,0.04816798633752528,2020
0053,2020,27850,1650,3682,7799,660,1261,1323,4810,4071,2594,0.03129050175893355,2021
0053,2021,30217,1791,3943,8397,740,1341,1421,5409,4329,2846,0.08499102333931785,2022
0053,2022,31530,1872,4080,8453,788,1434,1448,5854,4488,3113,0.04345236125359886,2023
0053,2023,32075,1973,4143,8423,803,1500,1383,6137,4480,3233,0.01728512527751347,2024
0054,2014,13149,1042,2281,3813,273,523,771,1802,1424,1220,,2015
0054,2015,13408,1069,2261,3925,269,533,763,1857,1495,1236,0.019697315385200476,2016
0054,2016,13714,1073,2264,3993,266,557,775,1916,1615,1255,0.022822195704057302,2017
0054,2017,14012,1087,2303,4017,267,596,804,2002,1619,1317,0.021729619367070185,2018
0054,2018,14510,1113,2347,4056,283,639,823,2113,1756,1380,0.03554096488723957,2019
0054,2019,15169,1146,2420,4184,293,662,859,2259,1827,1519,0.04541695382494826,2020
0054,2020,15606,1176,2477,4260,321,672,893,2427,1885,1495,0.028808754697079664,2021
0054,2021,16806,1279,2639,4508,377,715,971,2664,2006,1647,0.07689350249903892,2022
0054,2022,17649,1339,2671,4588,406,775,967,2948,2097,1858,0.050160656908247114,2023
0054,2023,18132,1394,2721,4663,444,799,855,3103,2187,1966,0.027366989631140592,2024
0055,2014,4891,425,761,1433,62,171,283,641,656,459,,2015
0055,2015,4965,430,758,1434,68,175,273,676,680,471,0.015129830300552038,2016
0055,2016,5125,453,766,1463,73,169,269,722,728,482,0.03222557905337364,2017
0055,2017,5128,452,736,1488,74,178,267,712,733,488,0.0005853658536585371,2018
0055,2018,5383,465,782,1504,77,199,263,783,773,537,0.04972698907956308,2019
0055,2019,5595,478,798,1550,77,208,274,862,754,594,0.03938324354449185,2020
0055,2020,5862,517,831,1605,91,209,303,911,803,592,0.04772117962466482,2021
0055,2021,6321,559,875,1727,99,219,343,1013,833,653,0.07830092118730803,2022
0055,2022,6637,583,909,1755,108,233,344,1111,866,728,0.04999208985919945,2023
0055,2023,6792,599,905,1807,111,245,306,1197,876,746,0.023353924966099227,2024
0056,2014,4223,394,584,1285,61,150,418,457,446,428,,2015
0056,2015,4219,410,581,1274,61,162,402,480,453,396,-0.0009471939379588346,2016
0056,2016,4181,414,560,1263,67,149,390,482,473,383,-0.009006873666745685,2017
0056,2017,4193,426,536,1246,67,162,397,491,461,407,0.002870126763932168,2018
0056,2018,4324,437,545,1267,65,168,398,523,494,427,0.031242547102313445,2019
0056,2019,4439,455,555,1298,70,187,404,553,489,428,0.02659574468085113,2020
0056,2020,4496,457,564,1294,69,181,393,592,509,437,0.012840729894120217,2021
0056,2021,4808,506,591,1349,80,194,403,646,535,504,0.06939501779359425,2022
0056,2022,5057,549,603,1364,94,210,415,729,565,528,0.05178868552412652,2023
0056,2023,4962,553,602,1373,104,209,254,768,558,541,-0.018785841407949366,2024
0057,2014,7062,627,1148,2093,169,278,366,993,702,686,,2015
0057,2015,7163,646,1180,2112,165,282,352,1020,724,682,0.014301897479467529,2016
0057,2016,7209,618,1185,2114,168,282,352,1056,753,681,0.006421890269440178,2017
0057,2017,7291,614,1195,2110,177,283,356,1093,778,685,0.011374670550700516,2018
0057,2018,7562,633,1197,2140,191,315,367,1159,828,732,0.037169112604581,2019
0057,2019,7945,643,1252,2229,210,342,384,1255,849,781,0.050647976725733956,2020
0057,2020,8380,645,1296,2309,244,374,393,1364,911,844,0.05475141598489608,2021
0057,2021,9039,694,1365,2451,264,404,456,1502,974,929,0.0786396181384248,2022
0057,2022,9566,733,1449,2493,282,428,478,1646,1058,999,0.05830290961389539,2023
0057,2023,9746,772,1486,2513,310,456,403,1722,1054,1030,0.018816642274722906,2024
0058,2014,3853,515,427,1203,27,197,305,367,434,378,,2015
0058,2015,3894,521,420,1198,28,204,289,386,453,395,0.010641058915131119,2016
0058,2016,3912,504,421,1221,29,197,293,395,457,395,0.0046224961479199855,2017
0058,2017,3869,497,421,1173,32,204,282,395,473,392,-0.010991820040899825,2018
0058,2018,3954,506,407,1189,35,216,300,418,480,403,0.021969501163091154,2019
0058,2019,4080,517,428,1227,35,230,303,433,505,402,0.03186646433990892,2020
0058,2020,4161,517,427,1245,44,238,313,467,490,420,0.019852941176470518,2021
0058,2021,4471,536,477,1316,49,244,324,538,523,464,0.0745013217976449,2022
0058,2022,4629,554,480,1359,53,265,313,590,515,500,0.03533885036904505,2023
0058,2023,4626,557,491,1336,64,273,244,633,512,516,-0.0006480881399870686,2024
0059,2014,10788,891,1393,3314,175,475,739,1489,1338,974,,2015
0059,2015,10902,866,1396,3316,192,473,731,1528,1414,986,0.010567296996663034,2016
0059,2016,10942,864,1350,3306,192,456,765,1571,1435,1003,0.0036690515501742738,2017
0059,2017,11261,867,1369,3392,207,489,772,1610,1522,1033,0.029153719612502238,2018
0059,2018,11783,905,1436,3463,220,540,793,1783,1571,1072,0.04635467542847005,2019
0059,2019,12257,953,1523,3549,231,545,809,1877,1642,1128,0.04022744632097086,2020
0059,2020,12701,1000,1564,3622,265,543,821,1977,1739,1170,0.0362241984172309,2021
0059,2021,13683,1085,1705,3786,290,595,873,2236,1815,1298,0.07731674671285726,2022
0059,2022,14320,1120,1754,3823,320,638,876,2448,1900,1441,0.04655411824892197,2023
0059,2023,14621,1152,1856,3841,361,688,676,2637,1931,1479,0.021019553072625596,2024
0060,2014,8140,662,1075,2505,107,300,578,970,1080,863,,2015
0060,2015,8224,664,1055,2529,108,322,564,969,1153,860,0.010319410319410416,2016
0060,2016,8263,679,1042,2538,111,313,550,990,1172,868,0.004742217898832779,2017
0060,2017,8348,669,1044,2523,110,336,565,1026,1215,860,0.010286820767275717,2018
0060,2018,8683,709,1093,2561,119,365,552,1083,1299,902,0.04012937230474356,2019
0060,2019,8692,702,1062,2551,130,361,588,1101,1281,916,0.0010365081193135506,2020
0060,2020,8839,718,1075,2604,145,355,606,1143,1287,906,0.01691210308329505,2021
0060,2021,9299,785,1112,2669,148,356,630,1264,1333,1002,0.052042086208847094,2022
0060,2022,9680,846,1132,2669,161,378,652,1369,1383,1090,0.04097214754274647,2023
0060,2023,9723,899,1160,2667,176,386,471,1466,1382,1116,0.004442148760330555,2024
0061,2014,3763,381,580,1080,72,162,273,452,367,396,,2015
0061,2015,3827,387,586,1087,76,168,252,470,401,400,0.017007706617060858,2016
0061,2016,3839,370,574,1090,79,151,259,503,419,394,0.003135615364515232,2017
0061,2017,3904,379,588,1104,91,150,260,507,414,411,0.016931492576191642,2018
0061,2018,3980,374,573,1105,96,157,266,539,438,432,0.01946721311475419,2019
0061,2019,4058,382,591,1097,111,158,269,557,444,449,0.019597989949748706,2020
0061,2020,4190,393,592,1120,129,172,272,613,451,448,0.032528339083292224,2021
0061,2021,4544,438,642,1172,136,183,284,698,497,494,0.08448687350835327,2022
0061,2022,4659,450,627,1184,131,189,290,744,504,540,0.025308098591549255,2023
0061,2023,4620,453,633,1173,133,193,221,774,478,562,-0.00837089504185451,2024
0062,2014,4336,406,635,1208,64,182,354,534,549,404,,2015
0062,2015,4320,416,610,1203,62,196,349,535,555,394,-0.0036900369003689537,2016
0062,2016,4442,422,601,1249,65,209,370,535,591,400,0.02824074074074079,2017
0062,2017,4500,437,601,1226,70,221,353,552,629,411,0.013057181449797284,2018
0062,2018,4662,455,626,1242,83,213,338,593,646,466,0.03600000000000003,2019
0062,2019,4878,477,660,1243,90,230,338,640,685,515,0.04633204633204624,2020
0062,2020,5100,496,690,1262,117,231,330,698,739,537,0.045510455104551095,2021
0062,2021,5475,534,704,1306,143,254,342,799,763,630,0.07352941176470584,2022
0062,2022,5786,577,749,1320,143,255,346,907,792,697,0.05680365296803647,2023
0062,2023,5885,612,767,1338,159,275,254,951,801,728,0.017110266159695797,2024
0063,2014,5190,532,729,1708,53,140,615,436,595,382,,2015
0063,2015,5229,546,736,1690,59,139,617,445,607,390,0.007514450867051936,2016
0063,2016,5260,550,723,1677,63,141,618,478,614,396,0.005928475807993827,2017
0063,2017,5256,552,717,1640,67,169,606,471,641,393,-0.0007604562737643095,2018
0063,2018,5441,560,733,1700,75,185,607,502,674,405,0.03519786910197875,2019
0063,2019,5530,585,730,1683,80,186,590,537,705,434,0.0163572872633706,2020
0063,2020,5643,609,733,1684,88,181,586,562,748,452,0.020433996383363517,2021
0063,2021,5997,664,765,1753,95,182,596,623,801,518,0.06273258904837853,2022
0063,2022,6218,708,763,1794,100,190,620,695,806,542,0.036851759212939816,2023
0063,2023,5934,743,769,1703,104,198,283,738,825,571,-0.04567385011257641,2024
0064,2014,5571,437,830,1790,85,170,458,589,665,547,,2015
0064,2015,5733,474,826,1807,96,175,467,620,708,560,0.029079159935379684,2016
0064,2016,5842,484,826,1858,96,169,459,668,723,559,0.01901273329844755,2017
0064,2017,5952,486,813,1873,90,185,463,693,767,582,0.018829168093118742,2018
0064,2018,6217,519,817,1916,105,198,457,747,826,632,0.04452284946236551,2019
0064,2019,6350,515,840,1935,105,203,472,795,834,651,0.02139295480135117,2020
0064,2020,6485,547,856,1896,105,215,483,877,828,678,0.021259842519685046,2021
0064,2021,6934,605,911,1965,124,224,497,957,901,750,0.06923670007710103,2022
0064,2022,7223,642,922,2033,132,219,486,1053,921,815,0.04167868474185177,2023
0064,2023,7197,645,940,2012,148,234,331,1127,926,834,-0.003599612349439285,2024
0101,2014,836,52,154,296,11,8,22,84,151,58,,2015
0101,2015,869,58,173,308,12,7,24,90,144,53,0.03947368421052633,2016
0101,2016,898,53,159,339,14,11,26,90,150,56,0.03337169159953968,2017
0101,2017,882,57,147,338,15,9,24,90,150,52,-0.017817371937639215,2018
0101,2018,900,55,152,328,12,10,22,99,164,58,0.020408163265306145,2019
0101,2019,969,59,168,358,15,9,20,105,171,64,0.07666666666666666,2020
0101,2020,1047,70,173,397,13,8,22,117,172,75,0.08049535603715174,2021
0101,2021,1184,77,192,433,16,9,23,137,200,97,0.13085004775549192,2022
0101,2022,1303,79,202,484,24,14,31,168,201,100,0.1005067567567568,2023
0101,2023,1361,99,210,472,21,13,37,181,207,121,0.044512663085187976,2024
0102,2014,2974,267,406,1167,34,44,67,355,467,167,,2015
0102,2015,3129,278,426,1201,40,51,69,404,501,159,0.05211835911230667,2016
0102,2016,3274,295,427,1246,42,56,73,415,537,183,0.046340683924576576,2017
0102,2017,3241,288,410,1198,42,51,82,442,553,175,-0.010079413561392747,2018
0102,2018,3344,290,421,1228,44,59,84,444,595,179,0.031780314717679836,2019
0102,2019,3468,309,406,1279,44,71,89,469,628,173,0.037081339712918604,2020
0102,2020,3826,341,457,1402,49,74,92,536,656,219,0.1032295271049597,2021
0102,2021,4317,388,529,1516,61,80,109,623,720,291,0.12833246210141147,2022
0102,2022,4723,432,557,1596,73,84,114,733,778,356,0.09404679175353259,2023
0102,2023,5005,454,585,1642,81,88,132,825,783,415,0.05970781283082793,2024
0103,2014,543,50,71,241,8,5,13,61,70,24,,2015
0103,2015,554,60,68,236,6,5,13,65,75,26,0.0202578268876612,2016
0103,2016,552,54,70,232,5,5,15,68,76,27,-0.0036101083032491488,2017
0103,2017,543,57,68,232,7,5,11,67,73,23,-0.016304347826086918,2018
0103,2018,559,59,60,224,10,7,16,75,85,23,0.02946593001841613,2019
0103,2019,580,65,60,237,9,7,13,76,88,25,0.0375670840787119,2020
0103,2020,653,67,69,263,12,6,16,80,106,34,0.12586206896551722,2021
0103,2021,731,70,91,283,14,11,17,100,105,40,0.119448698315467,2022
0103,2022,822,75,104,318,13,10,19,114,115,54,0.12448700410396718,2023
0103,2023,855,78,115,326,11,10,19,130,100,66,0.04014598540145986,2024
