target_year,ze2020,target_proxy_establishment_creations_year
2000,0051,1055
2000,0052,1651
2000,0053,3318
2000,0054,1768
2000,0055,665
2000,0056,604
2000,0057,943
2000,0058,546
2000,0059,1388
2000,0060,1300
2000,0061,548
2000,0062,578
2000,0063,900
2000,0064,820
2000,1101,4004
2000,1102,519
2000,1103,715
2000,1104,3538
2000,1105,1584
2000,1106,3256
2000,1107,1318
2000,1108,1274
2000,1109,40191
2000,1110,364
2000,1111,652
2000,1112,6071
2000,1113,3884
2000,1114,5655
2000,1115,5028
2000,2401,1297
2000,2402,1621
2000,2403,1513
2000,2404,361
2000,2405,1585
2000,2406,345
2000,2407,589
2000,2408,487
2000,2409,920
2000,2410,3333
2000,2411,416
2000,2412,759
2000,2413,4101
2000,2414,478
2000,2415,346
2000,2701,311
2000,2702,1601
2000,2703,495
2000,2704,922
2000,2705,1287
2000,2706,2608
2000,2707,1286
2000,2708,727
2000,2709,546
2000,2710,612
2000,2711,3187
2000,2712,597
2000,2713,1373
2000,2714,1027
2000,2715,922
2000,2716,464
2000,2717,840
2000,2718,1027
2000,2801,348
2000,2802,740
2000,2803,501
2000,2804,4288
2000,2805,1220
2000,2806,475
2000,2807,928
2000,2808,1383
2000,2809,722
2000,2810,528
2000,2811,1046
2000,2812,413
2000,2813,2069
2000,2814,680
2000,2815,4883
2000,2816,733
2000,2817,835
2000,2818,270
2000,2819,593
2000,3201,667
2000,3202,2460
2000,3203,1221
2000,3204,1028
2000,3205,1334
2000,3206,1204
2000,3207,919
2000,3208,922
2000,3209,518
2000,3210,1456
2000,3211,1911
2000,3212,1131
2000,3213,1537
2000,3214,642
2000,3215,1785
2000,3216,7713
2000,3217,1219
2000,3218,2880
2000,3219,947
2000,3220,1668
2000,3221,989
2000,3222,2041
2000,4401,508
2000,4402,838
2000,4403,1112
2000,4404,962
2000,4405,1691
2000,4406,1176
2000,4407,1477
2000,4408,599
2000,4409,1534
2000,4410,3555
2000,4411,3452
2000,4412,4396
2000,4413,2841
2000,4414,792
2000,4415,608
2000,4416,780
2000,4417,846
2000,4418,534
2000,4419,706
2000,4420,773
2000,4421,604
2000,4422,730
2000,4423,6447
2000,4424,1730
2000,4425,2202
2000,4426,548
2000,4427,809
2000,5201,592
2000,5202,2881
2000,5203,1546
2000,5204,308
2000,5205,404
2000,5206,1259
2000,5207,914
2000,5208,500
2000,5209,465
2000,5210,1085
2000,5211,1222
2000,5212,2574
2000,5213,786
2000,5214,952
2000,5215,580
2000,5216,8061
2000,5217,705
2000,5218,352
2000,5219,2284
2000,5220,809
2000,5221,348
2000,5301,988
2000,5302,2853
2000,5303,697
2000,5304,858
2000,5305,601
2000,5306,530
2000,5307,580
2000,5308,1369
2000,5309,1986
2000,5310,1102
2000,5311,478
2000,5312,871
2000,5313,2740
2000,5314,422
2000,5315,5507
2000,5316,1607
2000,5317,1578
2000,5318,2208
2000,5319,625
2000,7501,1379
2000,7502,1963
2000,7503,4326
2000,7504,1203
2000,7505,11332
2000,7506,797
2000,7507,1279
2000,7508,598
2000,7509,1095
2000,7510,1580
2000,7511,1111
2000,7512,2844
2000,7513,1756
2000,7514,1146
2000,7515,680
2000,7516,1381
2000,7517,2409
2000,7518,917
2000,7519,1195
2000,7520,1484
2000,7521,763
2000,7522,2923
2000,7523,1943
2000,7524,2255
2000,7525,722
2000,7526,1690
2000,7527,705
2000,7528,979
2000,7529,816
2000,7530,474
2000,7531,769
2000,7532,945
2000,7601,1308
2000,7602,2108
2000,7603,1772
2000,7604,1901
2000,7605,631
2000,7606,2545
2000,7607,987
2000,7608,2163
2000,7609,657
2000,7610,1377
2000,7611,920
2000,7612,1412
2000,7613,836
2000,7614,776
2000,7615,1596
2000,7616,9031
2000,7617,2283
2000,7618,4295
2000,7619,585
2000,7620,6681
2000,7621,1455
2000,7622,1443
2000,7623,1261
2000,7624,2748
2000,7625,11919
2000,8401,3253
2000,8402,1324
2000,8403,796
2000,8404,427
2000,8405,1773
2000,8406,1678
2000,8407,2347
2000,8408,4129
2000,8409,6497
2000,8410,753
2000,8411,840
2000,8412,710
2000,8413,2911
2000,8414,808
2000,8415,1155
2000,8416,2360
2000,8417,760
2000,8418,1230
2000,8419,1259
2000,8420,659
2000,8421,10319
2000,8422,1034
2000,8423,913
2000,8424,839
2000,8425,476
2000,8426,1185
2000,8427,890
2000,8428,4555
2000,8429,350
2000,8430,482
2000,8431,2743
2000,8432,1317
2000,8433,1941
2000,8434,1549
2000,8435,1557
2000,9301,5072
2000,9302,874
2000,9303,1336
2000,9304,7587
2000,9305,1165
2000,9306,1744
2000,9307,966
2000,9308,1402
2000,9309,2018
2000,9310,1342
2000,9311,980
2000,9312,3659
2000,9313,2471
2000,9314,1201
2000,9315,9714
2000,9316,640
2000,9317,1769
2000,9318,6949
2001,0051,1040
2001,0052,1751
2001,0053,3475
2001,0054,1805
2001,0055,723
2001,0056,530
2001,0057,899
2001,0058,489
2001,0059,1364
2001,0060,1190
2001,0061,552
2001,0062,572
2001,0063,763
2001,0064,871
2001,1101,4136
2001,1102,550
2001,1103,687
2001,1104,3901
2001,1105,1545
2001,1106,3351
2001,1107,1457
2001,1108,1287
2001,1109,41840
2001,1110,356
2001,1111,678
2001,1112,6242
2001,1113,3880
2001,1114,5788
2001,1115,4925
2001,2401,1440
2001,2402,1607
2001,2403,1493
2001,2404,345
2001,2405,1564
2001,2406,354
2001,2407,640
2001,2408,459
2001,2409,965
2001,2410,3191
2001,2411,426
2001,2412,747
2001,2413,4130
2001,2414,466
2001,2415,359
2001,2701,360
2001,2702,1617
2001,2703,520
2001,2704,887
2001,2705,1277
2001,2706,2643
2001,2707,1212
2001,2708,716
2001,2709,565
2001,2710,589
2001,2711,3372
2001,2712,511
2001,2713,1300
2001,2714,965
2001,2715,930
2001,2716,420
2001,2717,885
2001,2718,972
2001,2801,319
2001,2802,700
2001,2803,539
2001,2804,4277
2001,2805,1194
2001,2806,489
2001,2807,1081
2001,2808,1464
2001,2809,663
2001,2810,499
2001,2811,967
2001,2812,398
2001,2813,2045
2001,2814,691
2001,2815,5017
2001,2816,819
2001,2817,847
2001,2818,333
2001,2819,666
2001,3201,667
2001,3202,2441
2001,3203,1120
2001,3204,1032
2001,3205,1389
2001,3206,1157
2001,3207,1025
2001,3208,843
2001,3209,515
2001,3210,1476
2001,3211,1848
2001,3212,1188
2001,3213,1517
2001,3214,609
2001,3215,1780
2001,3216,7870
2001,3217,1162
2001,3218,3416
2001,3219,920
2001,3220,1851
2001,3221,1122
2001,3222,1985
2001,4401,492
2001,4402,794
2001,4403,1156
2001,4404,888
2001,4405,1719
2001,4406,1139
2001,4407,1524
2001,4408,599
2001,4409,1562
2001,4410,3648
2001,4411,3378
2001,4412,4327
2001,4413,2948
2001,4414,791
2001,4415,630
2001,4416,791
2001,4417,707
2001,4418,578
2001,4419,747
2001,4420,740
2001,4421,666
2001,4422,776
2001,4423,6911
2001,4424,1745
2001,4425,2111
2001,4426,526
2001,4427,818
2001,5201,597
2001,5202,2987
2001,5203,1435
2001,5204,293
2001,5205,397
2001,5206,1322
2001,5207,863
