year_month,ze2020,target_proxy_establishment_creations_count
2000-01,0051,214
2000-01,0052,299
2000-01,0053,565
2000-01,0054,295
2000-01,0055,135
2000-01,0056,89
2000-01,0057,140
2000-01,0058,104
2000-01,0059,289
2000-01,0060,242
2000-01,0061,101
2000-01,0062,96
2000-01,0063,237
2000-01,0064,151
2000-01,1101,614
2000-01,1102,73
2000-01,1103,112
2000-01,1104,527
2000-01,1105,256
2000-01,1106,471
2000-01,1107,209
2000-01,1108,207
2000-01,1109,6176
2000-01,1110,65
2000-01,1111,105
2000-01,1112,912
2000-01,1113,616
2000-01,1114,907
2000-01,1115,795
2000-01,2401,211
2000-01,2402,243
2000-01,2403,255
2000-01,2404,52
2000-01,2405,316
2000-01,2406,65
2000-01,2407,110
2000-01,2408,88
2000-01,2409,150
2000-01,2410,537
2000-01,2411,67
2000-01,2412,120
2000-01,2413,647
2000-01,2414,95
2000-01,2415,51
2000-01,2701,56
2000-01,2702,319
2000-01,2703,97
2000-01,2704,204
2000-01,2705,179
2000-01,2706,476
2000-01,2707,208
2000-01,2708,203
2000-01,2709,101
2000-01,2710,98
2000-01,2711,521
2000-01,2712,117
2000-01,2713,242
2000-01,2714,175
2000-01,2715,246
2000-01,2716,88
2000-01,2717,133
2000-01,2718,159
2000-01,2801,73
2000-01,2802,151
2000-01,2803,93
2000-01,2804,683
2000-01,2805,261
2000-01,2806,92
2000-01,2807,168
2000-01,2808,267
2000-01,2809,167
2000-01,2810,80
2000-01,2811,190
2000-01,2812,75
2000-01,2813,322
2000-01,2814,120
2000-01,2815,812
2000-01,2816,155
2000-01,2817,162
2000-01,2818,65
2000-01,2819,97
2000-01,3201,121
2000-01,3202,423
2000-01,3203,202
2000-01,3204,171
2000-01,3205,233
2000-01,3206,164
2000-01,3207,152
2000-01,3208,120
2000-01,3209,76
2000-01,3210,275
2000-01,3211,326
2000-01,3212,200
2000-01,3213,228
2000-01,3214,98
2000-01,3215,266
2000-01,3216,1129
2000-01,3217,207
2000-01,3218,413
2000-01,3219,159
2000-01,3220,264
2000-01,3221,160
2000-01,3222,360
2000-01,4401,100
2000-01,4402,141
2000-01,4403,188
2000-01,4404,156
2000-01,4405,343
2000-01,4406,398
2000-01,4407,290
2000-01,4408,91
2000-01,4409,275
2000-01,4410,605
2000-01,4411,553
2000-01,4412,776
2000-01,4413,484
2000-01,4414,176
2000-01,4415,125
2000-01,4416,130
2000-01,4417,246
2000-01,4418,118
2000-01,4419,133
2000-01,4420,128
2000-01,4421,103
2000-01,4422,132
2000-01,4423,1041
2000-01,4424,265
2000-01,4425,357
2000-01,4426,129
2000-01,4427,122
