target_year,ze2020,node_idx,libze2020,side_enterprise_creations_official,side_establishment_creations_official,communes_count
2012,51,0,Alençon,668,825,184
2013,51,0,Alençon,668,755,184
2014,51,0,Alençon,642,741,184
2015,51,0,Alençon,631,733,184
2016,51,0,Alençon,690,777,184
2017,51,0,Alençon,666,742,184
2018,51,0,Alençon,745,834,184
2019,51,0,Alençon,874,977,184
2020,51,0,Alençon,907,1009,184
2021,51,0,Alençon,1019,1149,184
2022,51,0,Alençon,1067,1208,184
2023,51,0,Alençon,1082,1220,184
2024,51,0,Alençon,1192,1377,184
2025,51,0,Alençon,1222,1448,184
2012,52,1,Arles,1511,1832,20
2013,52,1,Arles,1437,1649,20
2014,52,1,Arles,1448,1552,20
2015,52,1,Arles,1372,1547,20
2016,52,1,Arles,1453,1660,20
2017,52,1,Arles,1484,1677,20
2018,52,1,Arles,1604,1788,20
2019,52,1,Arles,1782,2080,20
2020,52,1,Arles,1896,2104,20
2021,52,1,Arles,2304,2615,20
2022,52,1,Arles,2359,2667,20
2023,52,1,Arles,2358,2619,20
2024,52,1,Arles,2425,2837,20
2025,52,1,Arles,2495,2892,20
2012,53,2,Avignon,3330,3762,36
2013,53,2,Avignon,3115,3434,36
2014,53,2,Avignon,3225,3563,36
2015,53,2,Avignon,2997,3435,36
2016,53,2,Avignon,2986,3432,36
2017,53,2,Avignon,3229,3615,36
2018,53,2,Avignon,3716,4169,36
2019,53,2,Avignon,4325,4765,36
2020,53,2,Avignon,4440,4871,36
2021,53,2,Avignon,5321,5818,36
2022,53,2,Avignon,5362,5945,36
2023,53,2,Avignon,5239,5770,36
2024,53,2,Avignon,5706,6463,36
2025,53,2,Avignon,5732,6543,36
2012,54,3,Beauvais,1747,1923,327
2013,54,3,Beauvais,1681,1851,327
2014,54,3,Beauvais,1773,1949,327
2015,54,3,Beauvais,1720,1931,327
2016,54,3,Beauvais,1795,2036,327
2017,54,3,Beauvais,1929,2163,327
2018,54,3,Beauvais,2095,2287,327
2019,54,3,Beauvais,2350,2566,327
2020,54,3,Beauvais,2425,2624,327
2021,54,3,Beauvais,3034,3320,327
2022,54,3,Beauvais,3165,3429,327
2023,54,3,Beauvais,3266,3518,327
2024,54,3,Beauvais,3395,3779,327
2025,54,3,Beauvais,3469,3871,327
2012,55,4,Bollène-Pierrelatte,663,750,29
2013,55,4,Bollène-Pierrelatte,656,800,29
2014,55,4,Bollène-Pierrelatte,654,735,29
2015,55,4,Bollène-Pierrelatte,607,668,29
2016,55,4,Bollène-Pierrelatte,652,775,29
2017,55,4,Bollène-Pierrelatte,602,696,29
2018,55,4,Bollène-Pierrelatte,770,849,29
2019,55,4,Bollène-Pierrelatte,851,947,29
2020,55,4,Bollène-Pierrelatte,837,931,29
2021,55,4,Bollène-Pierrelatte,1020,1131,29
2022,55,4,Bollène-Pierrelatte,1164,1284,29
2023,55,4,Bollène-Pierrelatte,1142,1246,29
2024,55,4,Bollène-Pierrelatte,1152,1307,29
2025,55,4,Bollène-Pierrelatte,1137,1317,29
2012,56,5,Cosne-Cours-sur-Loire,436,487,119
2013,56,5,Cosne-Cours-sur-Loire,435,495,119
2014,56,5,Cosne-Cours-sur-Loire,460,510,119
2015,56,5,Cosne-Cours-sur-Loire,408,462,119
2016,56,5,Cosne-Cours-sur-Loire,400,437,119
2017,56,5,Cosne-Cours-sur-Loire,434,484,119
2018,56,5,Cosne-Cours-sur-Loire,475,517,119
2019,56,5,Cosne-Cours-sur-Loire,539,632,119
2020,56,5,Cosne-Cours-sur-Loire,531,622,119
2021,56,5,Cosne-Cours-sur-Loire,653,764,119
2022,56,5,Cosne-Cours-sur-Loire,653,786,119
2023,56,5,Cosne-Cours-sur-Loire,658,760,119
2024,56,5,Cosne-Cours-sur-Loire,669,815,119
2025,56,5,Cosne-Cours-sur-Loire,755,951,119
2012,57,6,Dreux,1000,1093,115
2013,57,6,Dreux,978,1038,115
2014,57,6,Dreux,1027,1095,115
2015,57,6,Dreux,947,1052,115
2016,57,6,Dreux,947,1038,115
2017,57,6,Dreux,1036,1146,115
2018,57,6,Dreux,1149,1223,115
2019,57,6,Dreux,1368,1466,115
2020,57,6,Dreux,1486,1569,115
2021,57,6,Dreux,1719,1837,115
2022,57,6,Dreux,1884,2006,115
2023,57,6,Dreux,1863,1973,115
2024,57,6,Dreux,1969,2164,115
2025,57,6,Dreux,1971,2214,115
2012,58,7,La Vallée de la Bresle-Vimeu,353,401,93
2013,58,7,La Vallée de la Bresle-Vimeu,367,398,93
2014,58,7,La Vallée de la Bresle-Vimeu,397,425,93
2015,58,7,La Vallée de la Bresle-Vimeu,375,410,93
2016,58,7,La Vallée de la Bresle-Vimeu,344,390,93
2017,58,7,La Vallée de la Bresle-Vimeu,353,368,93
2018,58,7,La Vallée de la Bresle-Vimeu,396,433,93
2019,58,7,La Vallée de la Bresle-Vimeu,468,513,93
2020,58,7,La Vallée de la Bresle-Vimeu,506,544,93
2021,58,7,La Vallée de la Bresle-Vimeu,570,646,93
2022,58,7,La Vallée de la Bresle-Vimeu,573,640,93
2023,58,7,La Vallée de la Bresle-Vimeu,552,621,93
2024,58,7,La Vallée de la Bresle-Vimeu,634,749,93
2025,58,7,La Vallée de la Bresle-Vimeu,619,732,93
2012,59,8,Mâcon,1247,1373,159
2013,59,8,Mâcon,1269,1371,159
2014,59,8,Mâcon,1150,1268,159
2015,59,8,Mâcon,1135,1257,159
