ze2020,libze2020,communes_count,zan_naf09art24_total,zan_art09act24_total,zan_art09hab24_total,zan_art09mix24_total,zan_art09inc24_total,zan_art09rou24_total,zan_art09fer24_total,zan_artcom0924_total,zan_pop15_total,zan_pop21_total,zan_men15_total,zan_men21_total,zan_emp15_total,zan_emp21_total,zan_surfcom2024_total,zan_artif_per_pop21,zan_artif_per_surface
0051,Alençon,184,10805853.0,2633917.0,6964969.0,122110.0,312336.0,771346.0,1175.0,89.83,127951.0,124267.0,57219.0,58058.0,48747.0,47290.0,2373150722.0,86.956738,0.004553
0052,Arles,20,7810627.0,1737074.0,4934924.0,237536.0,294182.0,606911.0,0.0,15.65,141827.0,139840.0,62227.0,62798.0,49071.0,49513.0,1916180935.0,55.854026,0.004076
0053,Avignon,36,11734725.0,3100395.0,6717546.0,294535.0,415389.0,1087214.0,119646.0,60.11,279655.0,284909.0,123710.0,130362.0,115092.0,119896.0,671809946.0,41.187625,0.017467
0054,Beauvais,326,20469318.0,7458726.0,10409101.0,221609.0,1180200.0,1195840.0,3842.0,210.42,284418.0,286982.0,114968.0,120225.0,94413.0,94491.0,2906722540.0,71.326139,0.007042
0055,Bollène-Pierrelatte,29,7517654.0,2214750.0,4158869.0,118760.0,169774.0,528402.0,327099.0,28.25,77316.0,78756.0,32671.0,34723.0,31252.0,31123.0,679578378.0,95.455,0.011062
0056,Cosne-Cours-sur-Loire,119,4528181.0,972131.0,3191568.0,85215.0,161573.0,117694.0,0.0,19.79,69792.0,66025.0,33581.0,32683.0,25080.0,23856.0,2743674900.0,68.582825,0.00165
0057,Dreux,115,5515533.0,1433758.0,3359439.0,49507.0,294930.0,377784.0,115.0,47.92,145503.0,146035.0,57508.0,59611.0,39706.0,38507.0,1434043382.0,37.768569,0.003846
0058,La Vallée de la Bresle-Vimeu,93,5389226.0,1057329.0,3594010.0,156775.0,402168.0,177644.0,1300.0,70.59,80654.0,76633.0,35599.0,35550.0,31686.0,30181.0,841804869.0,70.325134,0.006402
0059,Mâcon,159,12744394.0,2490795.0,9057635.0,232104.0,318370.0,643883.0,1607.0,131.0,161976.0,166657.0,71448.0,75692.0,65893.0,68168.0,1669107929.0,76.470799,0.007635
0060,Nevers,180,9236673.0,2410691.0,6360135.0,94327.0,168123.0,202466.0,931.0,41.76,163291.0,156665.0,77432.0,77447.0,57958.0,55791.0,4147016841.0,58.958114,0.002227
0061,Nogent-le-Rotrou,82,4833957.0,868481.0,3426755.0,69877.0,310861.0,157983.0,0.0,28.3,66999.0,63774.0,30118.0,29705.0,23845.0,22992.0,1846191401.0,75.798241,0.002618
0062,Redon,43,10235094.0,1409505.0,8087619.0,119472.0,227297.0,391201.0,0.0,37.56,83685.0,84524.0,36212.0,38476.0,28099.0,28780.0,1314533049.0,121.09098,0.007786
0063,Ussel,186,10006510.0,2244942.0,6551176.0,151789.0,879668.0,178935.0,0.0,40.22,81921.0,79208.0,39003.0,38680.0,30816.0,30100.0,4669290161.0,126.332062,0.002143
0064,Valréas,114,4193111.0,532705.0,3096560.0,98789.0,100586.0,364471.0,0.0,22.95,63225.0,62299.0,29234.0,30030.0,21530.0,21888.0,1968815620.0,67.306233,0.00213
1101,Cergy-Vexin,120,10235011.0,4206899.0,3802789.0,321460.0,972291.0,928558.0,3014.0,152.81,611048.0,640039.0,235916.0,256311.0,187482.0,191091.0,863212078.0,15.99123,0.011857
1102,Coulommiers,54,4321077.0,1098922.0,2852612.0,125329.0,77246.0,166968.0,0.0,37.02,72959.0,74981.0,28895.0,30746.0,17990.0,17746.0,682961352.0,57.628959,0.006327
1103,Étampes,64,3855596.0,1513123.0,2020435.0,46517.0,68334.0,203014.0,4173.0,33.41,107038.0,110371.0,42547.0,46171.0,30592.0,31109.0,754906939.0,34.933053,0.005107
1104,Évry-Courcouronnes,68,14447239.0,8403549.0,3395986.0,345138.0,911194.0,1366802.0,24570.0,154.5,601251.0,614986.0,227624.0,242629.0,191215.0,199400.0,671835730.0,23.49198,0.021504
1105,Fontainebleau-Nemours,106,8872572.0,2833728.0,3964554.0,279184.0,1336229.0,458260.0,617.0,73.91,198279.0,201762.0,82225.0,87009.0,58813.0,59070.0,1500971785.0,43.975436,0.005911
1106,Marne-la-Vallée,69,18287052.0,8583026.0,5162757.0,339196.0,1578491.0,2549222.0,74360.0,255.56,464689.0,479781.0,179105.0,195512.0,172900.0,186751.0,712993200.0,38.115415,0.025648
1107,Meaux,102,8818671.0,2652180.0,3709734.0,251889.0,1093924.0,721345.0,389599.0,122.77,201876.0,211831.0,76492.0,83167.0,52333.0,52893.0,901191439.0,41.630691,0.009786
1108,Melun,71,8394181.0,3644969.0,3061733.0,164864.0,550680.0,957122.0,14813.0,83.72,196093.0,204875.0,78084.0,83201.0,65144.0,66065.0,814381413.0,40.972207,0.010307
1109,Paris,122,4750146.0,2026778.0,1671509.0,212824.0,37852.0,658848.0,142335.0,76.54,6633013.0,6701666.0,2996016.0,3095976.0,3790822.0,3950188.0,733178977.0,0.708801,0.006479
1110,Provins,81,3083615.0,945637.0,1762686.0,108359.0,164214.0,102115.0,604.0,24.08,58029.0,57585.0,23364.0,23786.0,15460.0,15385.0,1052433563.0,53.548928,0.00293
1111,Rambouillet,36,2924677.0,768617.0,1729996.0,41992.0,84961.0,298217.0,894.0,16.41,77701.0,79180.0,31856.0,34212.0,24632.0,24839.0,636341764.0,36.937067,0.004596
1112,Roissy,87,14808136.0,8604698.0,3373765.0,331657.0,1068083.0,1363818.0,66115.0,173.69,919406.0,947994.0,332554.0,354243.0,328154.0,339328.0,617887683.0,15.620495,0.023966
1113,Saclay,62,13806477.0,7600148.0,3889011.0,607243.0,397777.0,1295358.0,16940.0,182.67,532727.0,550254.0,210239.0,228539.0,216817.0,226244.0,439637490.0,25.091098,0.031404
1114,Seine-Yvelinoise,121,11537356.0,4539340.0,5400077.0,255795.0,585771.0,755536.0,837.0,156.21,787314.0,809740.0,310546.0,331247.0,233849.0,230103.0,892062632.0,14.248223,0.012933
1115,Versailles-Saint-Quentin,103,9131285.0,3106896.0,4398688.0,603281.0,450335.0,572013.0,72.0,117.46,591092.0,599855.0,237948.0,253678.0,290214.0,289846.0,787550813.0,15.222487,0.011595
2401,Blois,104,15987365.0,3290904.0,10195492.0,242851.0,658320.0,1594745.0,5053.0,86.11,172339.0,172538.0,76831.0,78843.0,71708.0,71610.0,2159400904.0,92.659965,0.007404
2402,Bourges,170,16274521.0,4776633.0,9874234.0,222749.0,674207.0,726698.0,0.0,77.75,205385.0,200420.0,94040.0,95219.0,81250.0,80575.0,3979986418.0,81.202081,0.004089
2403,Chartres,150,10790143.0,3701042.0,5101732.0,148895.0,957754.0,877773.0,2947.0,84.78,208681.0,209329.0,88735.0,92728.0,76629.0,76741.0,2163123725.0,51.546336,0.004988
2404,Châteaudun,63,3876611.0,675332.0,2780434.0,78434.0,232546.0,100335.0,9530.0,15.34,59568.0,57717.0,26347.0,26283.0,19543.0,18391.0,1487291147.0,67.165844,0.002606
2405,Châteauroux,213,24440212.0,7556790.0,14864845.0,214147.0,1014127.0,789694.0,609.0,88.66,203490.0,197591.0,95812.0,95938.0,78027.0,75891.0,6058270878.0,123.690917,0.004034
2406,Chinon,42,3302516.0,681189.0,2294740.0,32409.0,132698.0,161480.0,0.0,18.01,44365.0,43634.0,19929.0,20213.0,17364.0,17873.0,835799612.0,75.686758,0.003951
2407,Gien,67,8464663.0,2528481.0,5321639.0,122825.0,191056.0,300662.0,0.0,24.25,83302.0,79848.0,37222.0,36773.0,30441.0,29766.0,2427934198.0,106.009706,0.003486
2408,Loches,78,5708266.0,1242793.0,3853375.0,71908.0,235546.0,261293.0,43351.0,23.05,57222.0,54839.0,26356.0,26337.0,19042.0,18616.0,2193625380.0,104.091358,0.002602
2409,Montargis,96,9782109.0,1867545.0,6515255.0,216741.0,231028.0,951540.0,0.0,53.34,127604.0,127348.0,56109.0,57774.0,40367.0,39700.0,1788281228.0,76.813998,0.00547
2410,Orléans,133,33669247.0,9438083.0,20939137.0,570700.0,711643.0,1968740.0,40944.0,178.66,428714.0,442720.0,185692.0,197737.0,184618.0,192296.0,3047772849.0,76.050883,0.011047
2411,Pithiviers,78,7581370.0,1974292.0,4744952.0,78627.0,303740.0,462588.0,17171.0,47.59,67182.0,67130.0,27835.0,28678.0,22035.0,21280.0,1190471220.0,112.935647,0.006368
2412,Romorantin-Lanthenay,70,12551867.0,3123902.0,8144442.0,273602.0,310228.0,697376.0,2317.0,45.37,95865.0,93369.0,43377.0,43732.0,31398.0,30940.0,2636848331.0,134.432917,0.00476
2413,Tours,166,33680116.0,7641795.0,18645036.0,409684.0,934726.0,2975955.0,3072920.0,172.48,511440.0,521113.0,232919.0,246687.0,208004.0,216221.0,3534854802.0,64.631118,0.009528
2414,Vendôme,89,5309718.0,1183271.0,3525408.0,75803.0,250706.0,272334.0,2196.0,34.84,66819.0,64255.0,30087.0,30241.0,24233.0,23469.0,1578409459.0,82.635095,0.003364
2415,Vierzon,28,3705196.0,1049046.0,2494033.0,18567.0,64512.0,77553.0,1485.0,11.31,49889.0,47591.0,22825.0,22601.0,15550.0,14872.0,909268949.0,77.854973,0.004075
2701,Autun,66,2254323.0,339553.0,1579703.0,58175.0,164107.0,112785.0,0.0,9.81,42347.0,41152.0,20001.0,20062.0,14644.0,13670.0,1543342847.0,54.780399,0.001461
2702,Auxerre,211,7917577.0,2176618.0,4822836.0,145613.0,515953.0,252345.0,4212.0,44.12,186237.0,180825.0,83549.0,84896.0,70000.0,69607.0,3755497216.0,43.785854,0.002108
2703,Avallon,172,5373880.0,2912054.0,1882587.0,40887.0,448787.0,88884.0,681.0,24.48,53521.0,50510.0,25265.0,24804.0,18300.0,17188.0,3059943565.0,106.392398,0.001756
2704,Beaune,143,5681204.0,1600093.0,3320419.0,120943.0,327134.0,312465.0,150.0,56.85,80450.0,77892.0,35441.0,35983.0,33886.0,34886.0,1458794099.0,72.936938,0.003894
2705,Belfort,164,10124241.0,2196808.0,6520222.0,212991.0,569801.0,600055.0,24364.0,159.92,196420.0,190731.0,87491.0,87997.0,67790.0,67747.0,1287190499.0,53.081256,0.007865
