ze2020,libze2020,reg,population_2021_total,population_2022_total,active_15_64_2022_total,employed_15_64_2022_total,unemployed_15_64_2022_total,unemployment_rate_est_2022,jobs_lt_2022_total,jobs_lt_per_1000_pop_2022,side_stocks_et_2023_total,side_stocks_ul_2023_total,side_stocks_et_per_1000_pop_2023,bpe_facilities_2024_total,bpe_facilities_per_1000_pop_2024,flores_presential_unit_loc_2024_total,flores_productive_unit_loc_2024_total,filosofi_s_hh_tax_weighted_proxy_2021,filosofi_s_dir_tax_di_weighted_proxy_2021,has_population_2022,has_active_lr_2022,has_jobs_lt_2022,has_side_stocks_et_2023,has_side_stocks_ul_2023,has_bpe_2024,has_flores_2024,has_filosofi_2021,source_coverage_count,source_coverage_ratio,is_structural_anomaly,anomaly_reason,is_training_eligible_v0,filosofi_s_hh_tax_weighted_proxy_2020,filosofi_s_dir_tax_di_weighted_proxy_2020,active_15_64_2021_total,employed_15_64_2021_total,unemployed_15_64_2021_total,unemployment_rate_est_2021,jobs_lt_2021_total,jobs_lt_per_1000_pop_2021,bpe_facilities_2021_total,bpe_facilities_per_1000_pop_2021,side_stocks_et_2021_total,side_stocks_ul_2021_total,side_stocks_et_per_1000_pop_2021,bpe_facilities_2023_total,bpe_facilities_per_1000_pop_2023,bpe_evolution_commune_type_presence_2019_total,bpe_evolution_commune_type_presence_2024_total,bpe_evolution_commune_type_presence_delta_2019_2024,bpe_evolution_commune_type_presence_pct_change_2019_2024,side_stocks_et_2019_total,side_stocks_ul_2019_total,side_stocks_et_2020_total,side_stocks_ul_2020_total,flores_et_total_2019,flores_et_total_2020,flores_et_total_2021,side_creations_et_total_2019,side_creations_et_total_2020,side_creations_et_total_2021,side_creations_et_total_2022,side_creations_et_total_2023
0051,Alençon,52,124267.0,124291.0,53419.02111,47754.87817,5664.14294,0.106032,47719.52455999999,383.933869,7825.0,6873.0,62.957093,4926.0,39.632797,2918.0,1476.0,43.829413,-13.510852,1,1,1,1,1,1,1,1,8,1.0,0,,1,57.96992,-13.022808,53275.529753,47322.260805,5953.268948,0.111745,47287.178607,380.52885,4358.0,35.069648,7624.0,6587.0,61.351767,4892.0,39.359246,2067,2154,87,0.04209,7105.0,6144.0,7265.0,6266.0,4303.0,4284.0,4331.0,977,1009,1149,1208,1220
0052,Arles,93,139840.0,141292.0,60242.45477,52932.70365,7309.75112,0.121339,50958.270650000006,360.659278,15582.0,14135.0,110.282252,7294.0,51.623588,4151.0,2369.0,45.816262,-15.071627,1,1,1,1,1,1,1,1,8,1.0,0,,1,65.495795,-14.824414,58832.862446,50788.058111,8044.804335,0.13674,49512.465599,354.065114,6254.0,44.72254,14444.0,12921.0,103.289474,7191.0,50.894601,979,1030,51,0.052094,13029.0,11614.0,13451.0,12029.0,5991.0,6022.0,6283.0,2080,2104,2615,2667,2619
0053,Avignon,93,284909.0,288353.0,128252.51723,110799.78736,17452.72987,0.136081,122094.72539999998,423.421034,32075.0,28717.0,111.235187,14153.0,49.082201,7953.0,4303.0,47.728383,-15.249482,1,1,1,1,1,1,1,1,8,1.0,0,,1,68.422299,-14.949149,126919.27052,108312.11742,18607.1531,0.146606,119895.887039,420.821691,11946.0,41.929177,30217.0,26721.0,106.058426,13945.0,48.360863,1745,1820,75,0.04298,27005.0,23787.0,27850.0,24707.0,11611.0,11602.0,12006.0,4765,4871,5818,5945,5770
0054,Beauvais,32,286982.0,286478.0,135117.05171,118594.20557,16522.84614,0.122285,95349.2792099999,332.832815,18132.0,16366.0,63.292818,10332.0,36.065597,5460.0,2668.0,49.00835,-13.887629,1,1,1,1,1,1,1,1,8,1.0,0,,1,69.734877,-13.544818,134918.667731,117654.110221,17264.55751,0.127963,94497.237678,329.27932,8789.0,30.625614,16806.0,15042.0,58.561164,10221.0,35.678132,3739,4009,270,0.072212,15169.0,13428.0,15606.0,13920.0,7728.0,7711.0,7914.0,2566,2624,3320,3429,3518
0055,Bollène-Pierrelatte,84,78756.0,79350.0,34271.48691,29895.35897,4376.12794,0.12769,31661.802940000005,399.01453,6792.0,6097.0,85.595463,3311.0,41.726528,1710.0,954.0,47.178585,-13.905278,1,1,1,1,1,1,1,1,8,1.0,0,,1,66.618746,-13.50474,34467.767002,29615.880035,4851.886967,0.140766,31121.177747,395.159451,2784.0,35.349688,6321.0,5639.0,80.260552,3238.0,40.806553,826,841,15,0.01816,5595.0,4929.0,5862.0,5159.0,2498.0,2498.0,2597.0,947,931,1131,1284,1246
0056,Cosne-Cours-sur-Loire,24,66025.0,66439.0,26440.09436,23172.25015,3267.84421,0.123594,24141.155010000013,363.358193,4962.0,4501.0,74.685049,2922.0,43.980192,1544.0,1043.0,42.581036,-13.123717,1,1,1,1,1,1,1,1,8,1.0,0,,1,51.347619,-12.807143,26295.435343,23091.099143,3204.3362,0.121859,23855.728417,361.313569,2526.0,38.258236,4808.0,4329.0,72.820901,2894.0,43.558753,1431,1479,48,0.033543,4439.0,3974.0,4496.0,4047.0,2538.0,2487.0,2570.0,632,622,764,786,760
0057,Dreux,28,146035.0,147414.0,67412.01668,59145.57618,8266.4405,0.122626,39405.38741999999,267.311025,9746.0,8906.0,66.113124,5350.0,36.292347,2659.0,1210.0,46.035095,-13.284436,1,1,1,1,1,1,1,1,8,1.0,0,,1,68.714077,-12.872473,66890.247212,58372.910686,8517.336526,0.127333,38511.232706,263.712348,4402.0,30.143459,9039.0,8176.0,61.896121,5244.0,35.573283,1761,1919,158,0.089722,7945.0,7158.0,8380.0,7596.0,3633.0,3696.0,3773.0,1466,1569,1837,2006,1973
0058,La Vallée de la Bresle-Vimeu,28,76633.0,76247.0,32552.42571,28410.92407,4141.50164,0.127226,30380.165109999994,398.444071,4626.0,4155.0,60.67124,2855.0,37.444096,1509.0,865.0,42.589843,-12.944448,1,1,1,1,1,1,1,1,8,1.0,0,,1,55.191902,-12.532945,32858.803261,28481.39378,4377.409482,0.133219,30181.342417,393.842632,2484.0,32.414234,4471.0,4001.0,58.343011,2852.0,37.40475,1272,1357,85,0.066824,4080.0,3595.0,4161.0,3724.0,2335.0,2289.0,2346.0,513,544,646,640,621
0059,Mâcon,84,166657.0,167619.0,76564.43903,69544.94522,7019.49381,0.091681,68900.79293000001,411.055984,14621.0,13103.0,87.227582,7283.0,43.449728,4041.0,2392.0,50.418357,-14.753148,1,1,1,1,1,1,1,1,8,1.0,0,,1,65.805523,-14.546023,76564.414214,69444.963643,7119.450571,0.092986,68164.401188,409.01013,6104.0,36.626124,13683.0,12104.0,82.102762,7104.0,42.38183,2488,2610,122,0.049035,12257.0,10761.0,12701.0,11245.0,6117.0,6061.0,6226.0,1848,1838,2397,2396,2420
0060,Nevers,24,156665.0,156329.0,63499.37013,56238.21766,7261.15247,0.11435,56197.26909999995,359.480769,9723.0,8592.0,62.195754,5942.0,38.009582,3353.0,1488.0,46.584537,-13.654795,1,1,1,1,1,1,1,1,8,1.0,0,,1,57.49312,-13.37428,63668.491024,56134.090126,7534.400898,0.118338,55785.925196,356.084162,5068.0,32.34928,9299.0,8183.0,59.355951,5861.0,37.491444,2310,2360,50,0.021645,8692.0,7562.0,8839.0,7717.0,4783.0,4708.0,4766.0,1284,1314,1664,1665,1595
