ze2020,libze2020,reg,population_2022_total,side_stocks_et_2023_total,side_stocks_ul_2023_total,bpe_facilities_2024_total,side_stocks_et_per_1000_pop_2023,bpe_facilities_per_1000_pop_2024
0051,Alençon,52,124291.0,7825.0,6873.0,4926.0,62.957093,39.632797
0052,Arles,76,141292.0,15582.0,14135.0,7294.0,110.282252,51.623588
0053,Avignon,93,288353.0,32075.0,28717.0,14153.0,111.235187,49.082201
0054,Beauvais,28,286478.0,18132.0,16366.0,10332.0,63.292818,36.065597
0055,Bollène-Pierrelatte,93,79350.0,6792.0,6097.0,3311.0,85.595463,41.726528
0056,Cosne-Cours-sur-Loire,27,66439.0,4962.0,4501.0,2922.0,74.685049,43.980192
0057,Dreux,24,147414.0,9746.0,8906.0,5350.0,66.113124,36.292347
0058,La Vallée de la Bresle-Vimeu,32,76247.0,4626.0,4155.0,2855.0,60.67124,37.444096
0059,Mâcon,27,167619.0,14621.0,13103.0,7283.0,87.227582,43.449728
0060,Nevers,27,156329.0,9723.0,8592.0,5942.0,62.195754,38.009582
0061,Nogent-le-Rotrou,28,63647.0,4620.0,4223.0,2688.0,72.587867,42.232941
0062,Redon,53,85017.0,5885.0,5355.0,3001.0,69.22145,35.298823
0063,Ussel,84,79049.0,5934.0,5343.0,4381.0,75.067363,55.421321
0064,Valréas,93,62154.0,7197.0,6676.0,3837.0,115.79303,61.733758
0101,Côte sous le vent,01,15986.0,1361.0,1294.0,941.0,85.136995,58.864006
0102,Est Grande Terre,01,55551.0,5005.0,4731.0,3286.0,90.097388,59.152851
0103,Marie-Galante,01,10422.0,855.0,782.0,702.0,82.037997,67.357513
0104,Région Pointoise,01,232887.0,26661.0,24747.0,13339.0,114.480413,57.276705
0105,Sud Basse-Terre,01,68723.0,4429.0,4100.0,3269.0,64.447128,47.567772
0201,Le Centre-Atlantique,02,57691.0,3620.0,3343.0,2433.0,62.748089,42.172956
0202,Le Centre agglomération,02,150323.0,33211.0,31737.0,7912.0,220.930929,52.63333
0203,Le Nord-Atlantique,02,15610.0,701.0,657.0,657.0,44.907111,42.088405
0204,Le Nord-Caraibe,02,22357.0,1307.0,1231.0,962.0,58.460437,43.029029
0205,Le Sud,02,49153.0,3657.0,3417.0,2262.0,74.400342,46.019572
0206,Le Sud-Caraibe,02,65885.0,6628.0,6123.0,3201.0,100.599529,48.584655
0301,Est-littoral,03,160925.0,10385.0,9392.0,5891.0,64.533168,36.607115
0302,Ouest-Guyanais,03,98344.0,1370.0,1236.0,1233.0,13.930692,12.537623
0303,Savanes,03,29113.0,1479.0,1325.0,1068.0,50.802047,36.684643
0401,L'Est,04,128965.0,7563.0,6969.0,4859.0,58.643818,37.676889
0402,L'Ouest,04,218990.0,22308.0,20205.0,9250.0,101.867665,42.239372
0403,Le Nord,04,216588.0,18264.0,16389.0,8138.0,84.326001,37.573642
0404,Le Sud,04,316805.0,23402.0,21033.0,12272.0,73.868784,38.736762
0601,Mayotte,06,0.0,3924.0,3801.0,6875.0,,
1101,Cergy-Vexin,11,647954.0,49743.0,45511.0,23140.0,76.769339,35.712412
1102,Coulommiers,11,75538.0,5507.0,5151.0,2710.0,72.903704,35.875983
1103,Étampes,11,110492.0,7807.0,7206.0,3936.0,70.656699,35.622489
1104,Évry-Courcouronnes,11,620425.0,43211.0,39089.0,21299.0,69.647419,34.329693
1105,Fontainebleau-Nemours,11,201743.0,17116.0,15770.0,7462.0,84.840614,36.987653
1106,Marne-la-Vallée,11,486528.0,41309.0,37268.0,18506.0,84.905699,38.036865
1107,Meaux,11,214153.0,15157.0,13968.0,7478.0,70.776501,34.91896
1108,Melun,11,208003.0,14278.0,13056.0,7286.0,68.643241,35.028341
1109,Paris,11,6741720.0,965945.0,879354.0,296832.0,143.278718,44.02912
1110,Provins,11,57467.0,3944.0,3613.0,2111.0,68.630692,36.734126
1111,Rambouillet,11,79818.0,7243.0,6640.0,2840.0,90.743942,35.580947
1112,Roissy,11,956544.0,67801.0,61592.0,38023.0,70.881214,39.750393
1113,Saclay,11,555004.0,43413.0,39032.0,18990.0,78.221058,34.21597
1114,Seine-Yvelinoise,11,820478.0,66644.0,60996.0,26917.0,81.225822,32.806486
1115,Versailles-Saint-Quentin,11,605097.0,54226.0,48613.0,20695.0,89.615384,34.201128
2401,Blois,24,173252.0,13077.0,11499.0,6785.0,75.479648,39.162607
2402,Bourges,24,200628.0,13805.0,12089.0,7191.0,68.80894,35.842455
2403,Chartres,24,209665.0,15168.0,13397.0,7388.0,72.343977,35.237164
2404,Châteaudun,24,57789.0,3504.0,3118.0,2152.0,60.634377,37.238921
2405,Châteauroux,24,197109.0,13136.0,11620.0,7824.0,66.643329,39.693773
2406,Chinon,24,43856.0,3397.0,3052.0,1888.0,77.458045,43.049982
2407,Gien,24,79675.0,5053.0,4508.0,2973.0,63.420144,37.314088
2408,Loches,24,54993.0,4145.0,3757.0,2375.0,75.373229,43.187315
2409,Montargis,24,127729.0,8755.0,7862.0,4679.0,68.543557,36.632245
2410,Orléans,24,445462.0,33412.0,29214.0,14677.0,75.005275,32.947816
2411,Pithiviers,24,66968.0,4087.0,3682.0,2263.0,61.029148,33.792259
2412,Romorantin-Lanthenay,24,93357.0,6537.0,5897.0,3727.0,70.02153,39.92202
2413,Tours,24,524921.0,43614.0,38166.0,19246.0,83.086788,36.664565
2414,Vendôme,24,64040.0,4639.0,4167.0,2424.0,72.439101,37.851343
2415,Vierzon,24,47360.0,2907.0,2603.0,1713.0,61.380912,36.169764
2701,Autun,27,40983.0,3094.0,2806.0,1767.0,75.494717,43.115438
2702,Auxerre,27,180562.0,13237.0,11762.0,7282.0,73.309999,40.329637
2703,Avallon,27,50355.0,3973.0,3622.0,2556.0,78.899811,50.759607
2704,Beaune,27,78043.0,8778.0,7961.0,3957.0,112.476455,50.702818
2705,Belfort,27,191085.0,12017.0,10721.0,6965.0,62.888243,36.449747
2706,Besançon,27,321974.0,25389.0,22543.0,12803.0,78.854193,39.76408
2707,Chalon-sur-Saône,27,159954.0,12561.0,11031.0,6361.0,78.528827,39.767683
2708,Charolais,27,85605.0,6436.0,5785.0,3790.0,75.182524,44.273115
2709,Châtillon-Montbard,27,59531.0,4760.0,4311.0,2993.0,79.958341,50.276327
2710,Creusot-Montceau,27,96728.0,5791.0,5113.0,3270.0,59.868911,33.806137
