ze2020,libze2020,reg,population_2022_total,active_15_64_2022_total,unemployed_15_64_2022_total,unemployment_rate_proxy_2022,jobs_lt_2022_total,jobs_lt_per_1000_pop_2022,side_stocks_et_2023_total,side_stocks_ul_2023_total,side_stocks_et_per_1000_pop_2023,bpe_facilities_2024_total,bpe_facilities_per_1000_pop_2024,flores_presential_unit_loc_2024_total,flores_productive_unit_loc_2024_total,filosofi_s_hh_tax_weighted_proxy_2021,filosofi_s_dir_tax_di_weighted_proxy_2021
0051,Alençon,52,124291.0,53419.021109999965,0.0,0.0,47719.52455999999,383.933869,7825.0,6873.0,62.957093,4926.0,39.632797,2918.0,1476.0,43.829413,-13.510852
0052,Arles,93,141292.0,60242.45476999999,0.0,0.0,50958.270650000006,360.659278,15582.0,14135.0,110.282252,7294.0,51.623588,4151.0,2369.0,45.816262,-15.071627
0053,Avignon,93,288353.0,128252.51723000001,0.0,0.0,122094.72539999998,423.421034,32075.0,28717.0,111.235187,14153.0,49.082201,7953.0,4303.0,47.728383,-15.249482
0054,Beauvais,32,286478.0,135117.05170999997,0.0,0.0,95349.2792099999,332.832815,18132.0,16366.0,63.292818,10332.0,36.065597,5460.0,2668.0,49.00835,-13.887629
0055,Bollène-Pierrelatte,84,79350.0,34271.48690999999,0.0,0.0,31661.802940000005,399.01453,6792.0,6097.0,85.595463,3311.0,41.726528,1710.0,954.0,47.178585,-13.905278
0056,Cosne-Cours-sur-Loire,24,66439.0,26440.094360000003,0.0,0.0,24141.155010000013,363.358193,4962.0,4501.0,74.685049,2922.0,43.980192,1544.0,1043.0,42.581036,-13.123717
0057,Dreux,28,147414.0,67412.01668,0.0,0.0,39405.387419999985,267.311025,9746.0,8906.0,66.113124,5350.0,36.292347,2659.0,1210.0,46.035095,-13.284436
0058,La Vallée de la Bresle-Vimeu,28,76247.0,32552.425710000003,0.0,0.0,30380.165109999994,398.444071,4626.0,4155.0,60.67124,2855.0,37.444096,1509.0,865.0,42.589843,-12.944448
0059,Mâcon,84,167619.0,76564.43903000002,0.0,0.0,68900.79293000001,411.055984,14621.0,13103.0,87.227582,7283.0,43.449728,4041.0,2392.0,50.418357,-14.753148
0060,Nevers,24,156329.0,63499.370129999974,0.0,0.0,56197.26909999995,359.480769,9723.0,8592.0,62.195754,5942.0,38.009582,3353.0,1488.0,46.584537,-13.654795
