ze2020,libze2020,reg,population_2022_total,active_15_64_2022_total,employed_15_64_2022_total,unemployed_15_64_2022_total,unemployment_rate_est_2022,jobs_lt_2022_total,jobs_lt_per_1000_pop_2022,side_stocks_et_2023_total,side_stocks_ul_2023_total,side_stocks_et_per_1000_pop_2023,bpe_facilities_2024_total,bpe_facilities_per_1000_pop_2024,flores_presential_unit_loc_2024_total,flores_productive_unit_loc_2024_total,filosofi_s_hh_tax_weighted_proxy_2021,filosofi_s_dir_tax_di_weighted_proxy_2021
0051,Alençon,52,124291.0,53419.02111,47754.87817,5664.14294,0.106032,47719.52455999999,383.933869,7825.0,6873.0,62.957093,4926.0,39.632797,2918.0,1476.0,43.829413,-13.510852
0052,Arles,93,141292.0,60242.45477,52932.70365,7309.75112,0.121339,50958.270650000006,360.659278,15582.0,14135.0,110.282252,7294.0,51.623588,4151.0,2369.0,45.816262,-15.071627
0053,Avignon,93,288353.0,128252.51723,110799.78736,17452.72987,0.136081,122094.72539999998,423.421034,32075.0,28717.0,111.235187,14153.0,49.082201,7953.0,4303.0,47.728383,-15.249482
0054,Beauvais,32,286478.0,135117.05171,118594.20557,16522.84614,0.122285,95349.2792099999,332.832815,18132.0,16366.0,63.292818,10332.0,36.065597,5460.0,2668.0,49.00835,-13.887629
0055,Bollène-Pierrelatte,84,79350.0,34271.48691,29895.35897,4376.12794,0.12769,31661.802940000005,399.01453,6792.0,6097.0,85.595463,3311.0,41.726528,1710.0,954.0,47.178585,-13.905278
0056,Cosne-Cours-sur-Loire,24,66439.0,26440.09436,23172.25015,3267.84421,0.123594,24141.155010000013,363.358193,4962.0,4501.0,74.685049,2922.0,43.980192,1544.0,1043.0,42.581036,-13.123717
0057,Dreux,28,147414.0,67412.01668,59145.57618,8266.4405,0.122626,39405.387419999985,267.311025,9746.0,8906.0,66.113124,5350.0,36.292347,2659.0,1210.0,46.035095,-13.284436
0058,La Vallée de la Bresle-Vimeu,28,76247.0,32552.42571,28410.92407,4141.50164,0.127226,30380.165109999994,398.444071,4626.0,4155.0,60.67124,2855.0,37.444096,1509.0,865.0,42.589843,-12.944448
0059,Mâcon,84,167619.0,76564.43903,69544.94522,7019.49381,0.091681,68900.79293000001,411.055984,14621.0,13103.0,87.227582,7283.0,43.449728,4041.0,2392.0,50.418357,-14.753148
0060,Nevers,24,156329.0,63499.37013,56238.21766,7261.15247,0.11435,56197.26909999995,359.480769,9723.0,8592.0,62.195754,5942.0,38.009582,3353.0,1488.0,46.584537,-13.654795
0061,Nogent-le-Rotrou,24,63647.0,27120.79501,24155.6567,2965.13831,0.109331,23132.67542000001,363.452722,4620.0,4223.0,72.587867,2688.0,42.232941,1355.0,790.0,45.990045,-13.306166
0062,Redon,53,85017.0,37829.87833,33762.66006,4067.21827,0.107513,28939.338890000006,340.394732,5885.0,5355.0,69.22145,3001.0,35.298823,1588.0,909.0,45.178703,-12.865639
0063,Ussel,84,79049.0,33112.55842,30474.94386,2637.61456,0.079656,30208.390649999983,382.147663,5934.0,5343.0,75.067363,4381.0,55.421321,2178.0,929.0,44.65273,-13.199662
